evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
63 1061.6532123403
75 972.0701938968
79 891.4833324903
83 857.0679442761
105 776.9586581570
109 749.6072585287
117 709.5972342370
120 632.0856949286
124 594.5743864544
129 504.2934959524
144 464.6896744637
157 436.1389490263
161 353.9882849000
177 343.1052406270
193 339.5886019576
197 337.8925394860
199 324.9446277159
201 309.0991498998
202 293.1007385270
206 277.5787037488
208 226.8002938755
227 162.5056417927
237 161.4184417950
243 154.9382644394
244 153.3192585023
248 140.6496400264
255 117.8078324766
256 89.0136617143
260 82.4652675149
277 79.5132410908
297 69.8156900276
299 75.3089197003
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
96 1088.7636468330
99 951.3938547270
104 873.8054501061
105 786.1840327563
146 779.6049740998
150 743.8045308961
152 731.7811792306
153 709.8519050890
157 620.7193383019
166 566.8080798274
170 543.3086404270
175 539.2747149559
181 476.3232745631
186 414.7248858918
200 365.7752648335
202 247.4303406889
206 232.5036145489
224 227.4348952921
229 208.8288753957
232 208.7630145442
238 141.2585171144
258 121.8136589561
274 107.8916284996
286 94.1632564519
292 83.0292341170
299 124.7206927937
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
51 1035.8218371955
62 865.0275575459
77 639.5238212532
100 596.6222444730
103 521.1393180533
108 509.7075983707
110 474.0721996283
111 465.7810313524
130 456.5287292299
134 454.5602216392
140 377.1147778021
151 338.8048977858
153 279.2386795348
185 253.9634566981
186 248.8569090939
191 217.4488870976
192 215.3783899340
201 193.0029399186
222 151.9017986850
224 145.1524786127
226 135.6444463470
228 125.2653761988
241 119.7316054864
243 111.1472967433
244 109.5052363584
253 104.7283104305
256 91.8902177009
262 88.2814534534
272 68.8599893408
285 57.4746189309
296 33.1543584956
299 46.8566223882
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
71 1022.9037340779
85 949.6226242716
87 863.4407836830
89 847.0512969228
93 787.8998559654
98 711.4236516457
101 585.3443286398
128 537.7292301315
130 526.0582923272
131 517.2565026528
170 508.4247574383
172 505.0088566023
175 461.9493841801
182 442.0823721745
189 434.7695135830
190 432.3056567322
195 367.2622820922
198 314.4735264210
201 290.8045660324
203 248.4776288117
224 226.9589685614
232 207.1223143768
233 201.9985986040
251 194.1654370600
254 182.9385994330
263 171.2145793117
267 153.8974122405
283 148.9826617486
292 134.6571399466
298 120.2177053003
299 160.0119757490
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
53 1224.3661210588
68 1147.8562230126
74 1111.2348271997
77 1058.5299499339
78 1018.5746817460
91 953.5398999646
94 888.3888467332
103 810.6851690224
116 754.9409563908
121 736.5921239025
134 619.7107524833
138 545.9806711004
141 508.4169356098
152 439.8726838171
171 431.3622557557
172 430.7749395100
178 385.3697361933
183 328.8407674875
185 323.5131407337
196 313.5486499701
200 241.4183406981
214 222.9962330848
215 211.6473593367
229 191.5319524115
238 189.2164823231
248 154.2923592137
249 123.4531673977
267 115.1281832706
270 104.1896847970
276 102.1721525915
292 96.8712173111
293 71.6415121397
297 59.4207274490
299 97.8117076030
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
52 1175.4803107360
72 915.9811138781
73 788.3879103480
82 663.0104041389
91 644.0135353012
94 631.4503314591
96 532.8984766615
118 398.9117535207
139 377.9906019615
151 370.7432331111
152 352.0329337232
157 330.3529193451
162 277.3911754528
170 201.1933138606
187 164.8941424123
188 122.3750014162
202 114.4723535770
210 113.9215335119
223 111.0344547863
226 103.6837274546
243 93.0017862643
253 82.0560656452
257 79.0737875796
263 73.0965680425
274 64.3681878524
299 63.4908309663
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
100 1086.4522456440
112 1012.6408980077
114 895.5589629589
134 823.2897106352
135 788.2926930472
150 764.8661473293
151 741.3961373260
156 735.7622016507
160 726.0375725798
161 628.5843375959
162 569.8735391084
165 521.0708353000
167 515.3329267999
172 501.7809561975
174 488.8747735223
176 368.9203678563
202 330.9891165334
216 304.4051552582
218 291.7703851745
228 284.5185635307
234 282.3198629031
235 255.8727731166
242 216.9809107272
264 194.9986715116
274 189.3542456903
286 163.1124792927
294 155.2200742668
299 192.7556275735
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
107 1110.1894732251
119 1034.9401010942
121 628.5361570254
134 586.4121101154
138 542.4617255889
139 522.0250736760
140 490.5878616916
143 481.3085235020
161 469.1154847455
187 418.0564751673
188 417.3126741552
201 400.8991194444
204 398.5208489188
206 386.5829614839
208 379.7254745396
215 352.2209037314
219 311.8354863390
220 307.6286820887
225 268.6412772816
227 187.0235035730
270 153.0308117382
273 146.5038648897
298 145.8669793100
299 132.0707372530
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
56 911.4143827572
80 906.4392516591
83 865.4697763029
84 795.6263689609
101 746.3121939144
113 621.4198383982
115 458.8967586391
131 440.7423562262
141 431.8747548044
144 382.2896780356
152 313.8228525519
156 303.3785689667
166 287.9703903070
185 284.1415664173
188 274.9681677713
190 268.4341117351
198 268.2364886461
199 260.1304661380
210 241.5998950457
217 229.2045702320
228 221.6039106224
237 197.2415741621
240 195.7024262054
241 187.2740055977
244 176.9679947471
247 172.0121011050
256 152.5766984651
258 149.6047985041
264 146.7645295807
267 132.4624644710
299 145.7850152885
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
92 763.5410027317
127 716.9403807895
143 710.1881771063
147 685.9075491295
149 682.9388878390
151 678.9025886209
152 651.3485836094
160 646.5988859094
162 482.9839822535
180 444.5720243201
181 420.7259358209
188 414.9900201616
190 394.3292314658
198 359.8859742209
210 356.9518587351
212 316.4420119828
213 302.0958652578
229 294.4475476646
231 293.2424547438
234 232.1055837286
237 213.6160781437
257 195.6398505184
261 144.7816261213
280 108.9041922244
283 107.3154978702
299 113.7784525145
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
31 959.9860897763
51 904.7292173125
56 796.7733338893
67 691.7754396546
68 621.6110646790
95 549.3232738460
100 499.3560736213
105 484.2558965998
107 456.9393585091
113 343.6460453831
128 247.1781880399
149 246.5472633553
153 218.4790811354
161 198.1892580299
162 167.2595970931
183 162.4194930931
184 134.5209136924
196 126.8564359997
213 119.2999562348
216 116.7956433293
219 101.1677712057
234 78.1394472755
238 71.0382916155
247 58.1163892223
259 51.0022238494
261 50.7505576378
272 41.8005146578
281 41.4265605927
283 33.9222087169
294 33.6207656103
299 49.1799048728
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1424.0797949690
42 1414.9313134466
61 1369.3445466211
81 1199.1446323960
82 1199.0891116973
94 1134.1002417307
102 1097.5589285890
