evaluations raw_y
1 44.1380363635
5 14.5179484469
110 14.3199459152
123 13.0193212999
129 12.9477827210
131 12.3510529863
137 11.0818771363
138 10.4109753665
159 10.3254700841
163 9.3979991610
166 8.5851710223
167 8.2231908128
175 7.9929206467
177 7.2307737814
179 7.2095045274
181 6.9587907898
184 6.1895774786
186 6.1412200951
193 6.0479848567
195 5.2919936419
198 5.0998310968
203 4.8553938994
205 4.8404615186
208 3.3393809886
238 3.1416925269
239 2.7541430042
267 2.4227316317
273 2.3362585843
274 2.1452638112
275 1.8041978274
279 1.7223335028
280 1.5717145435
296 1.4079200968
299 1.8782675903
evaluations raw_y
1 44.1380363635
5 14.5179484469
31 11.2689723226
47 8.8809625166
58 8.4893932314
77 5.5351669351
87 3.9167999853
89 2.9512665891
90 2.5495223379
106 1.1458214497
137 1.0111480142
139 0.9910798955
141 0.3850586602
161 0.2857121433
167 0.2725769464
172 0.2203159238
180 0.1584088402
192 0.1467240910
195 0.1241143103
209 0.0597056446
237 0.0520406521
240 0.0298283946
243 0.0216114618
268 0.0155166897
299 0.0281378664
evaluations raw_y
1 44.1380363635
5 14.5179484469
106 11.4961283517
109 9.6272483003
111 9.4124410018
115 8.9529303665
116 8.4711339226
119 6.3373814965
127 6.2007757517
151 5.8489896070
160 3.5969830768
162 2.4615233078
181 1.8360978291
204 1.7034843690
218 1.5948028886
220 1.5469390543
221 1.3670905797
224 1.2702079527
228 1.2219978205
230 1.0880150770
233 0.8868963651
234 0.6742830925
264 0.6665215437
273 0.6558544477
281 0.5550736915
285 0.5231099032
289 0.4445145229
299 0.5772358811
evaluations raw_y
1 44.1380363635
5 14.5179484469
83 11.7718752102
90 9.5413675299
92 8.4935231537
110 6.7218136639
111 5.9206221081
112 5.8973473854
114 5.0860351427
115 4.0807394751
118 3.4122184438
137 3.1620191619
141 2.8473327921
165 2.3772436966
175 2.3371299451
181 2.1369555842
183 2.0011336380
189 1.9062277173
193 1.5824714224
198 1.5622102572
204 1.4253681640
209 0.9680518531
215 0.8051608952
219 0.7097979199
232 0.6771010117
238 0.4707408530
245 0.4172834401
254 0.3521577898
261 0.2968655850
270 0.2481265908
271 0.2095409535
275 0.1498961118
284 0.1307382354
299 0.2915369111
evaluations raw_y
1 44.1380363635
5 14.5179484469
187 13.7672905914
189 13.1566893988
192 9.7540874031
195 9.5079731755
206 7.1689500183
214 5.8411478473
221 5.7223753602
223 4.8876633018
227 4.7300824547
231 3.8741122977
235 3.7670209638
236 2.7073747171
245 2.1280598762
246 1.9922084396
280 1.8623045472
282 1.2239039773
284 1.1792014466
285 1.1127453766
299 1.1623104926
evaluations raw_y
1 117.2783298401
2 81.6449887121
4 39.6686877639
15 11.4375045405
123 11.2788548646
126 7.6991262315
137 4.6614052284
148 3.3815026495
160 3.1187903354
165 2.5589774167
167 2.2670285047
168 1.9499927463
170 1.7952772378
198 1.6076004339
209 1.5365424159
211 1.2106910842
220 1.1636568398
228 1.0910304588
229 0.9525260994
237 0.8805751134
238 0.8639931024
239 0.5834506356
243 0.3562475289
255 0.3291631909
287 0.3228996090
298 0.3203249513
299 0.5695672876
evaluations raw_y
1 117.2783298401
2 81.6449887121
4 39.6686877639
15 11.4375045405
89 5.0090060281
128 4.8346085953
136 4.3422719254
147 4.1072771791
156 3.7135805431
159 3.6085305023
161 3.2080881152
162 2.8550827119
167 2.7378845140
169 2.5925308237
171 2.5703162316
181 2.4398847895
183 2.3625278296
187 2.3213204378
189 1.9293413922
193 1.4945351939
217 1.4591496809
231 1.4294164974
238 1.1948755592
239 0.7670532209
244 0.6051651481
254 0.5173213585
258 0.5155841351
262 0.5020182860
267 0.4859848748
280 0.4243465945
290 0.3394153742
293 0.2606527557
297 0.1695795702
299 0.3373907433
evaluations raw_y
1 117.2783298401
2 81.6449887121
4 39.6686877639
15 11.4375045405
80 9.5425270101
84 9.1396099169
86 6.5042068403
90 5.3846033808
108 3.9786905382
113 3.2506131358
121 2.7628444057
139 2.3931423904
140 1.8179496456
149 1.7090534605
161 1.5685087495
164 1.2491070379
170 1.0700754822
171 0.9100417668
197 0.7254401461
203 0.4861141187
204 0.4089256162
213 0.4066874863
223 0.3759112769
232 0.3301547172
236 0.2565792779
237 0.1817287362
271 0.1762987572
273 0.1533142857
281 0.1450824647
285 0.1421482953
293 0.1313064148
294 0.1067058685
299 0.1888950813
evaluations raw_y
1 117.2783298401
2 81.6449887121
4 39.6686877639
15 11.4375045405
136 9.1875057623
144 8.7084466430
148 7.2310209447
155 7.0640973842
163 6.4608447867
170 5.9854779386
174 5.8356070871
175 4.9508789071
177 4.8658365370
186 4.5436728846
190 4.3311023591
192 4.1605766012
193 3.9508245479
205 3.5599414157
223 3.4300278645
232 3.3103831882
247 2.8354213629
249 2.2904024775
250 1.9994422784
256 1.6284836206
261 1.3257808127
279 0.8882711104
283 0.8360230425
286 0.6051437779
287 0.5676433670
299 0.8509141330
evaluations raw_y
1 117.2783298401
2 81.6449887121
4 39.6686877639
15 11.4375045405
79 10.9796728910
80 8.1939341963
87 6.6717314588
120 6.4764572514
123 6.2325981827
126 5.1441116839
127 3.6825307790
148 3.0467387740
160 2.9279705499
162 2.5328285711
175 2.2790120618
183 1.8069066958
188 1.8015536190
192 1.7147261778
196 1.5452929207
200 0.9365985744
206 0.9252632697
213 0.8182782254
214 0.8042440578
220 0.7826038186
224 0.6871831973
231 0.5661330292
237 0.3262658581
271 0.2965946385
278 0.2747701054
279 0.2612460805
286 0.2444294564
297 0.2130748894
299 0.3944379939
evaluations raw_y
1 200.9488802202
2 64.8194231329
7 51.8772823988
9 46.1628497423
11 34.5286838965
71 25.5440793818
92 24.6315465075
93 21.5245118572
95 14.8450308516
99 14.5847004944
104 12.8484504135
105 12.6890619711
106 8.8980734305
131 8.7363852794
137 7.5315236653
140 5.3450558580
154 4.9526149088
158 4.6261688534
160 2.3583867303
190 1.5372099375
195 1.1695627328
212 0.7966429836
215 0.5915555900
231 0.4844388123
254 0.4681948736
256 0.3659992327
260 0.3354897037
264 0.2976220189
272 0.1986454004
290 0.1810643989
299 0.1932646553
evaluations raw_y
1 200.9488802202
2 64.8194231329
7 51.8772823988
9 46.1628497423
11 34.5286838965
40 16.2956020405
42 15.8165905516
70 11.9137981157
73 10.9963973991
83 9.6891551766
87 8.5912119764
92 6.5068189357
95 5.6356137339
110 5.0102101574
111 4.2491786202
115 4.2139330860
128 4.1821629921
134 3.8049848538
136 3.2634883016
163 3.2186559114
170 3.1613799028
184 2.8954655689
191 2.6102819652
192 2.5777540542
197 2.3943592507
202 2.2239551556
206 2.1184091588
208 2.0546453347
215 1.9487140879
217 1.4591710648
222 1.2641542595
231 1.0648399323
249 0.9600682243
253 0.8246566289
255 0.8042707723
264 0.6448134961
275 0.4829765334
289 0.4277000234
299 0.6187582391
evaluations raw_y
1 200.9488802202
2 64.8194231329
7 51.8772823988
9 46.1628497423
11 34.5286838965
32 31.0537193782
34 27.8573173518
59 27.1527756993
69 26.9078415301
71 26.5470034386
72 24.1514812169
75 23.5714741741
78 19.4463069834
85 16.4468871081
99 14.5843467892
108 8.0169447671
131 6.9897406106
132 6.3200115279
133 5.8930996557
139 5.0796332224
147 4.4634761160
170 4.4131485685
179 3.7881187181
185 3.5983219714
187 3.3786816063
211 3.1989465203
217 3.1090695748
221 3.0434417339
228 3.0289652055
229 2.7714763116
230 2.2475491042
233 1.9277885673
234 1.8317139035
237 1.6018390870
239 1.4095895929
242 1.2621217643
248 0.9497120947
257 0.8292926975
270 0.7205734494
286 0.6138034047
288 0.5561942767
289 0.4590185774
299 0.9145351541
evaluations raw_y
1 200.9488802202
2 64.8194231329
7 51.8772823988
9 46.1628497423
11 34.5286838965
31 6.4111725257
43 4.9367834378
74 4.6716398093
78 4.0484125626
84 3.2038981298
90 3.1288116947
101 2.4990270122
106 2.3888436139
111 1.4946730225
125 1.3456346786
129 1.1648660489
133 0.7019656388
142 0.4873352891
166 0.3013548193
180 0.2660559047
194 0.1434260204
212 0.1363970755
215 0.1265560931
216 0.0999868933
217 0.0722672945
224 0.0682689728
254 0.0652510691
268 0.0460227076
276 0.0374179901
280 0.0374149319
294 0.0366537682
299 0.0498045884
evaluations raw_y
1 200.9488802202
2 64.8194231329
7 51.8772823988
9 46.1628497423
11 34.5286838965
31 26.2707589434
39 14.9118692536
62 9.5733516462
66 8.4952658949
69 7.2242733353
72 5.4050998417
78 3.2594159232
91 3.1276900861
132 2.9687020046
139 2.3720723626
147 2.0382203701
153 2.0022053468
154 1.9888201705
159 1.7238569341
164 1.3877265716
165 1.0517609248
175 1.0019767113
179 0.7947721076
194 0.6797905206
200 0.5028984995
213 0.4546689539
216 0.4529085655
219 0.3101637008
221 0.2917700924
235 0.2223463099
244 0.1472798573
273 0.1374456831
277 0.1285345002
278 0.1110590383
280 0.1076578365
281 0.0987981340
284 0.0848480353
291 0.0805653509
299 0.1387826798
evaluations raw_y
1 184.9604994702
2 50.0223631429
5 17.3770238255
6 14.4912546287
103 14.4767430351
115 14.2834347406
119 12.6837027599
120 10.7235959994
121 9.5626032508
130 8.5924335334
134 8.5599688816
136 3.9370106862
151 2.7870905531
180 2.6208930628
182 2.3924549947
184 2.1729054594
185 1.6632055960
201 1.5383025706
203 1.4619972009
204 0.9300220823
212 0.9005590529
213 0.8405200904
234 0.3453466981
266 0.2423380570
269 0.2240355475
271 0.1888679123
280 0.1581958151
283 0.1380883304
299 0.3466610119
evaluations raw_y
1 184.9604994702
2 50.0223631429
5 17.3770238255
6 14.4912546287
80 14.1996773192
85 12.6451833057
88 10.3477652084
97 7.6496194177
104 7.4560286813
105 5.5975547357
113 4.5030850176
130 3.9152297561
150 3.7340054411
151 3.7111003759
154 3.5539259872
159 3.2396365344
162 2.7936870996
173 1.9352565197
175 1.8977407850
177 1.2549952956
194 1.2001697094
199 1.1398750236
214 0.9953893543
215 0.9306499764
225 0.7730462673
226 0.6465501280
238 0.4630069340
245 0.3146209432
261 0.2016746770
283 0.1888683804
289 0.1801651289
291 0.1482506754
296 0.1086120632
299 0.2034215777
evaluations raw_y
1 184.9604994702
2 50.0223631429
5 17.3770238255
6 14.4912546287
95 12.8086052070
129 12.1944753900
131 11.7040004341
132 10.5535259506
133 10.4884596414
144 9.9615880467
147 9.3348800602
149 9.1391171103
156 7.8218652375
158 7.7254192677
160 7.6398374933
161 7.0490505174
171 6.8681030735
181 6.5321068433
188 6.4205313493
190 6.0428264397
196 5.4177233433
200 3.6054452458
210 2.9292218634
217 2.7029687361
