evaluations raw_y
1 559.1415653872
2 175.4026631707
3 63.7920019196
71 57.4224037536
73 49.6876428641
76 40.5915636611
106 34.2140119943
107 24.3177059317
112 21.1438907992
139 17.6041471663
145 14.8610337802
148 14.1537353316
149 14.0023400450
151 8.7365650879
157 8.4717591460
181 7.0638891880
193 6.6769251228
221 4.3736687301
253 4.1273889397
267 3.5460570621
275 3.5420719014
283 3.4604386827
299 4.2368154946
evaluations raw_y
1 559.1415653872
2 175.4026631707
3 63.7920019196
84 52.4739691455
93 43.0408238209
117 35.5233214518
149 32.0926014200
184 29.6937575644
211 29.3665423961
231 28.2619153930
236 27.7634919512
237 26.6247224875
241 26.5449125701
246 25.8691727405
251 25.4535493648
285 25.2819298060
299 25.4817424320
evaluations raw_y
1 559.1415653872
2 175.4026631707
3 63.7920019196
72 54.9811319940
79 39.8962837461
162 38.2131586171
188 37.7462477053
198 36.0049149052
220 34.1457222296
235 32.8095206954
262 32.6722408126
265 32.4852616356
273 32.4294616926
274 32.1281223952
286 32.0911018969
290 31.9713766957
291 31.8640295301
293 31.8583650025
294 31.6747500665
299 32.2166629816
evaluations raw_y
1 559.1415653872
2 175.4026631707
3 63.7920019196
62 41.3103987293
90 45.3456651223
110 44.7619762985
114 43.5787629257
118 33.8878555182
134 25.5915090639
193 22.5233222738
232 22.3985595060
241 21.3793421202
244 21.3683393614
248 21.1641486466
254 21.0966763487
279 20.9877872548
293 20.9834435055
294 20.9768200692
295 20.8864374449
299 21.2920441116
evaluations raw_y
1 559.1415653872
2 175.4026631707
3 63.7920019196
105 61.2059666238
110 56.6285486717
114 52.7257912765
115 38.4605880429
130 31.1887795070
148 28.0197366494
201 26.2413368729
206 22.9250790049
274 22.8598120223
279 22.8096294506
282 22.7937154851
299 23.2195005913
evaluations raw_y
1 117.7170478877
2 44.6977035683
19 34.6101465314
68 26.6477171452
79 26.3564741842
81 23.1779707112
84 21.0838571361
112 20.2912996684
118 20.2701359081
209 19.3902533768
217 19.2308367053
227 18.9509414270
233 18.6027983898
248 18.4827662865
249 18.4353698230
265 18.2133380934
271 18.1071015709
282 17.9361479487
286 17.8917450606
299 17.9370768304
evaluations raw_y
1 117.7170478877
2 44.6977035683
19 34.6101465314
74 20.2547520429
165 19.8744055066
191 19.4241984614
192 18.7443911736
216 18.5489637804
219 18.3637835922
223 17.7593719912
232 17.6716749010
240 17.6252400476
245 17.5936522066
250 17.4527746996
273 17.3833938663
284 17.3295614666
290 17.3218696444
292 17.2837581732
295 17.2491085581
297 17.2483191429
299 17.2459863918
evaluations raw_y
1 117.7170478877
2 44.6977035683
19 34.6101465314
49 31.5800968660
67 25.2905426320
81 24.5590049508
98 22.0640946843
103 19.7871603726
105 18.9921137620
106 15.4379812528
115 11.2005572707
216 10.4481528495
229 9.6930139658
233 9.6702255995
247 9.6611483341
256 9.6406172216
264 9.5375717570
267 9.3335782321
274 9.0414655455
285 9.0185156699
287 9.0148188931
299 9.1528773091
evaluations raw_y
1 117.7170478877
2 44.6977035683
19 34.6101465314
49 30.0801354023
76 29.6200315142
103 26.3487635184
106 24.1608460632
114 18.7906679625
131 17.9626220892
132 17.1224393062
153 17.0617574664
159 15.8446948595
161 12.4502730263
207 12.3805533788
209 10.9703946671
223 10.8547471224
228 10.0930672233
281 9.3391446720
299 9.9274584917
evaluations raw_y
1 117.7170478877
2 44.6977035683
19 34.6101465314
81 34.1063484286
83 25.1082436464
85 21.2609429278
103 17.2980470968
129 16.9514866675
131 16.8975941597
135 11.8842357511
165 11.1725222340
187 8.7326114733
244 8.6515849301
273 8.5867452509
282 8.4781711240
283 8.2677440013
288 8.1821021377
299 8.2022895586
