evaluations raw_y
1 56.3774303642
3 14.4200533507
31 9.0175705995
39 5.0113792713
243 4.9759521621
282 4.2080698249
297 3.4753108219
299 4.1885859655
evaluations raw_y
1 56.3774303642
3 14.4200533507
64 11.0097259099
81 10.7606753982
86 8.9033411922
131 7.1740669655
169 6.5964295929
269 6.0443837165
288 5.9693392456
299 8.9150276586
evaluations raw_y
1 56.3774303642
3 14.4200533507
31 13.8985490330
59 13.2754259281
60 12.7542508804
64 12.5889444099
69 9.3566779576
79 7.2850050277
96 6.7876979661
100 4.9956162957
155 3.9035731567
273 3.3048027810
281 3.0269586870
299 4.9190419817
evaluations raw_y
1 56.3774303642
3 14.4200533507
53 11.1194088465
77 9.1676330838
104 8.1692120038
130 7.4768067796
143 6.7643587800
170 6.7563581014
183 6.4246830015
273 6.0038393272
299 7.7459647056
evaluations raw_y
1 56.3774303642
3 14.4200533507
31 13.8730081946
38 12.0877326809
75 10.5688683388
79 10.2115469428
80 7.9628672159
83 7.8601171872
93 6.6762047195
102 6.0454355203
115 4.7103201779
299 5.7678231226
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
58 12.6248767182
81 11.5484558916
172 11.1071211337
177 9.7282385837
299 15.6239493620
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
67 9.4717545636
71 7.2819433750
100 7.1012090000
118 5.6641091617
164 4.6604751481
178 4.4190614013
200 3.8166273079
238 2.1604114542
279 1.4025496008
298 1.3900031646
299 2.9380394314
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
81 10.4629315505
103 7.8154617197
134 7.2709717893
299 13.5275814189
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
60 12.6657656706
64 9.9365396936
82 9.7727001269
89 9.4134700871
101 5.7763375073
138 5.7193572105
295 5.4695273745
299 5.2990324477
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
31 9.2080869363
36 9.0769580172
110 8.9064954474
190 6.6487577046
299 10.5780611580
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
41 15.1538764980
69 12.7599137923
86 10.3652930804
95 6.6935923220
185 6.3611983510
195 6.0775530957
296 5.8155299083
299 5.8127999665
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
31 15.8748248767
53 14.8981274795
59 14.2940864657
64 13.8636575482
81 11.2189903119
82 9.5583469353
123 8.1471758151
156 7.7041061247
226 5.2588738551
299 6.9380828850
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
48 9.1895482425
121 8.6156447450
177 8.2618237120
201 7.9965986342
233 6.5702496366
271 6.5146666361
299 10.5973537227
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
35 13.8913663246
38 11.1437646832
104 10.5087250120
299 13.9487900639
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
31 12.4476900483
64 8.8492147182
82 7.3575969742
140 6.9142374523
158 6.1508142781
183 4.5355589123
239 4.1314520491
256 2.8684553939
295 2.5924310685
299 2.4297701798
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
49 7.5950959583
101 7.2185344926
104 6.7571268557
130 5.1297597505
245 4.5980174613
247 4.3804261201
248 3.4223327234
299 9.0815553010
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
101 9.9630828575
122 7.8828030274
168 6.9380731836
173 6.2533821795
290 6.1670610711
292 4.9513477529
299 12.8287279619
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
47 9.9768255112
63 9.6074859258
69 8.4434306301
93 8.3024433236
145 7.1282660601
176 5.3881980527
185 4.8019633330
299 9.6724201410
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
93 10.6734522414
102 9.5093434904
122 7.9934306723
141 7.9526498459
146 7.4359871638
148 3.8499759661
299 6.7934478336
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
140 10.2077142615
145 9.9679521661
150 9.6995149022
169 8.3889407468
299 15.2883975168
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
41 15.0553571737
54 11.2672641605
75 8.0763106707
89 7.6740817045
160 6.6277876748
214 6.4473985635
243 4.0334261250
263 2.7380351979
299 3.4720807441
evaluations raw_y
1 77.7106504310
2 38.5921151285
