evaluations raw_y
1 7.5809250511
9 7.5414787863
17 6.7209752748
31 6.5053463364
44 5.5879452502
89 4.8835577945
118 3.3576542740
233 2.7516163439
245 2.5138873168
247 2.4581181350
254 2.1764734375
299 2.5307392023
evaluations raw_y
1 7.5809250511
9 7.5414787863
17 6.7209752748
35 5.4703144088
93 5.4022773141
110 5.3851701682
120 3.8746087890
201 2.9230666092
206 2.6374707180
219 2.1688221147
246 1.6701359790
280 1.5485428072
297 1.4444761646
299 1.6845560230
evaluations raw_y
1 7.5809250511
9 7.5414787863
17 6.7209752748
31 4.9127919188
62 3.7083288704
172 3.1738240442
207 1.9746044573
228 1.7674067101
230 1.4974282178
245 1.3825268108
276 1.2295695946
295 1.0691635957
299 1.3883805742
evaluations raw_y
1 7.5809250511
9 7.5414787863
17 6.7209752748
89 5.2761265944
102 4.8518350979
106 3.9426336007
149 3.9345263309
211 2.3923919999
263 2.3331936621
285 2.2982707747
288 2.2464912965
290 2.1088925495
291 1.8763681679
292 1.4586483607
296 1.4494932716
299 1.7532124851
evaluations raw_y
1 7.5809250511
9 7.5414787863
17 6.7209752748
76 5.5234732933
91 4.2328578944
167 4.1889569207
208 4.0047824100
212 2.7738603994
225 1.6375761937
238 1.5648767719
242 1.4591925366
258 1.3197080268
274 1.0226994126
292 0.7924589061
298 0.7919770812
299 0.9034342177
evaluations raw_y
1 11.4272638781
2 7.7652960465
6 6.2482523486
8 5.7281759628
13 4.4808876173
242 1.3713068367
255 1.3598189637
299 1.6802092953
evaluations raw_y
1 11.4272638781
2 7.7652960465
6 6.2482523486
8 5.7281759628
13 4.4808876173
163 4.2394924485
170 3.8303501455
187 2.5333212952
209 2.1602634725
266 1.7832521868
271 1.4631680450
275 1.0646855651
287 1.0152024883
299 1.2769180260
evaluations raw_y
1 11.4272638781
2 7.7652960465
6 6.2482523486
8 5.7281759628
13 4.4808876173
32 2.4018431889
194 1.7457659843
224 1.6781199471
225 1.6762183582
247 1.3586717339
260 1.3317795338
266 1.1433768739
296 1.1283745733
299 1.6549998609
evaluations raw_y
1 11.4272638781
2 7.7652960465
6 6.2482523486
8 5.7281759628
13 4.4808876173
74 3.5838154030
221 2.6853898606
222 1.2871241840
226 0.9507941130
243 0.9486136952
252 0.8450595179
268 0.5646969345
276 0.5537571483
282 0.5528898409
297 0.3760982650
299 0.6160690438
evaluations raw_y
1 11.4272638781
2 7.7652960465
6 6.2482523486
8 5.7281759628
13 4.4808876173
299 2.9566546058
evaluations raw_y
1 12.8170554353
2 7.4266870769
4 5.1371697550
22 3.0272992783
114 2.4837065036
222 1.6522911965
248 1.4436691301
262 1.3320010605
267 1.2518449995
270 1.1357194520
280 1.1325906901
281 1.1325380853
299 1.4116526056
evaluations raw_y
1 12.8170554353
2 7.4266870769
4 5.1371697550
22 3.0272992783
110 2.4267980065
267 2.1804723454
280 1.9459862990
284 1.9387222185
288 1.6406101877
299 3.3840440522
evaluations raw_y
1 12.8170554353
2 7.4266870769
4 5.1371697550
22 3.0272992783
299 3.8342108593
evaluations raw_y
1 12.8170554353
2 7.4266870769
4 5.1371697550
22 3.0272992783
146 2.7915022202
226 2.5041339097
227 1.8703570145
235 1.8244377930
240 1.1883295132
247 1.0827013860
263 0.9220497574
282 0.8685750298
284 0.8548511510
298 0.7977943688
299 1.3081242927
evaluations raw_y
1 12.8170554353
2 7.4266870769
4 5.1371697550
22 3.0272992783
241 2.9007992653
247 2.7035383194
286 2.3525451557
299 2.6075469019
evaluations raw_y
1 14.6000037113
2 12.3438111526
5 11.0915746142
7 7.1981979139
21 6.6841695547
49 5.3664796792
91 5.1136377709
124 4.3054211498
132 4.2597256517
162 3.8232750902
200 3.7859653434
204 2.8333415064
238 1.9907582838
244 1.7965007648
255 1.0956560883
291 0.9163180470
299 2.1718479743
evaluations raw_y
1 14.6000037113
2 12.3438111526
5 11.0915746142
7 7.1981979139
21 6.6841695547
66 5.9009440959
129 3.6861742843
177 3.5285314255
181 3.3396976139
194 3.0790233273
214 2.6260441679
222 2.1305991352
255 1.6178880135
272 1.4656188282
296 1.4474539743
299 3.0814694444
evaluations raw_y
1 14.6000037113
2 12.3438111526
5 11.0915746142
7 7.1981979139
21 6.6841695547
55 3.0312876244
187 2.9179423540
189 2.5544643789
190 1.5381097985
238 1.2965049203
250 1.2060826656
273 1.1470389816
291 1.1408506328
298 1.0890784499
299 0.9965954624
evaluations raw_y
1 14.6000037113
2 12.3438111526
5 11.0915746142
7 7.1981979139
21 6.6841695547
108 5.8603799081
109 4.1734794861
193 2.7658093634
214 2.6116283293
245 2.3226636588
251 2.2973072531
252 2.1728484280
273 1.9800347975
274 1.8522618551
289 1.5130563803
290 1.4842110129
299 1.7069746918
evaluations raw_y
1 14.6000037113
2 12.3438111526
5 11.0915746142
7 7.1981979139
21 6.6841695547
86 5.9233600611
168 4.5681467240
203 4.4264499533
210 4.1257581874
219 3.3870719434
246 2.8767569978
247 1.9770353782
275 1.8267193531
283 1.6205201630
288 1.4445287967
296 1.4359510146
298 0.8669251725
299 1.9419697883
evaluations raw_y
1 16.1162808529
2 15.7525713791
4 12.0921328432
10 10.4206448452
12 9.3758680210
13 9.1961596954
22 8.7927999668
27 3.4369296619
235 3.1099680992
236 2.9184636284
250 2.8532961136
253 2.5280854678
258 2.1257105289
287 1.6715886101
299 2.6434092199
evaluations raw_y
1 16.1162808529
2 15.7525713791
4 12.0921328432
10 10.4206448452
12 9.3758680210
13 9.1961596954
22 8.7927999668
27 3.4369296619
256 2.3695705018
274 2.1417367741
275 2.1385999414
284 2.0483979687
293 1.5794175551
299 2.0469055657
evaluations raw_y
1 16.1162808529
2 15.7525713791
4 12.0921328432
10 10.4206448452
12 9.3758680210
13 9.1961596954
22 8.7927999668
27 3.4369296619
153 2.7032232340
240 2.0491040311
299 1.7997865499
evaluations raw_y
1 16.1162808529
2 15.7525713791
4 12.0921328432
10 10.4206448452
12 9.3758680210
13 9.1961596954
22 8.7927999668
27 3.4369296619
127 3.2551588473
159 3.0791627356
239 2.4401373175
254 2.3986406337
271 2.2894860300
278 1.9071037122
283 1.7863426313
286 1.7829841386
292 1.2974581972
293 1.2692668117
299 1.9321459613
evaluations raw_y
1 16.1162808529
2 15.7525713791
4 12.0921328432
10 10.4206448452
12 9.3758680210
13 9.1961596954
22 8.7927999668
27 3.4369296619
223 3.3262095545
225 2.7638300797
226 2.5684514449
247 2.5237889036
254 1.9036039691
290 1.8935739496
291 1.8148810098
293 1.7361070558
299 1.7036336580
evaluations raw_y
1 21.4788349102
2 13.5770273883
7 7.6822963938
13 7.5095365596
57 4.9590416542
60 1.8967915476
263 1.8865333714
278 1.6052509820
283 1.5449821725
294 1.5350994425
299 1.6066446223
evaluations raw_y
1 21.4788349102
2 13.5770273883
7 7.6822963938
13 7.5095365596
93 4.2234274590
192 2.4766793498
219 1.8995593160
238 1.5656683329
263 1.3219342685
280 1.3133013515
299 1.9153798502
evaluations raw_y
1 21.4788349102
2 13.5770273883
7 7.6822963938
13 7.5095365596
45 3.7777216262
51 3.9944590697
192 3.1679737634
214 2.0739381619
229 1.0778951697
256 0.7582053135
275 0.6175383796
281 0.5999575289
299 0.7182136376
evaluations raw_y
1 21.4788349102
2 13.5770273883
7 7.6822963938
13 7.5095365596
109 2.3045548229
218 1.8851266009
230 1.0381890617
240 0.9590510350
243 0.9107668101
288 0.7245986404
290 0.6739773935
299 0.8670809738
evaluations raw_y
1 21.4788349102
2 13.5770273883
7 7.6822963938
13 7.5095365596
37 5.5051605992
108 2.0816569438
206 1.3948238479
216 1.1589357462
239 1.1294038351
244 0.7878081432
246 0.6962019998
261 0.6661436516
274 0.6479542910
289 0.5820928100
299 0.5951478170
evaluations raw_y
1 22.6787990260
2 14.2229858893
5 7.2261910981
7 6.1876909017
119 2.7130335181
220 2.1345083383
242 1.6024895467
245 1.5262424881
268 0.9447270015
297 0.8140567669
299 1.3860782699
evaluations raw_y
1 22.6787990260
2 14.2229858893
5 7.2261910981
7 6.1876909017
198 5.0388142608
203 3.9557769550
222 2.9547499868
244 2.7131381972
257 1.9748208921
293 1.5690263051
299 1.5963791653
evaluations raw_y
1 22.6787990260
2 14.2229858893
5 7.2261910981
7 6.1876909017
109 5.3462851958
134 4.9261949023
147 4.6967368004
159 4.5923472159
238 3.8858446674
246 3.4384252904
248 2.1454977377
258 1.1187501768
272 1.1162931822
