evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
38 206.3672287045
67 166.8880664489
101 157.8368501050
118 145.7612741214
140 141.5676669515
142 123.9332260489
155 122.0699530801
163 117.1385542456
167 110.8874232839
184 109.4943363114
204 107.9730940988
219 104.8510790355
225 102.8578782364
228 100.8701203973
231 99.6257711603
246 98.5397922010
247 96.5558599538
248 96.1899643691
261 96.1304069345
264 95.1162690299
266 94.9975127246
284 94.6355480610
295 94.1486479712
299 93.5880954594
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
78 235.9295341582
79 172.8462164558
84 163.1722364007
98 162.2225859922
100 159.2986990978
102 137.7035997858
121 103.7723804511
143 100.6516244704
152 92.8145995643
192 79.9812780795
212 74.3842966453
242 72.0584131146
246 66.0955473249
252 63.7575619221
266 63.4061416943
268 61.9467489447
273 61.6191428825
278 61.5901728583
281 61.1470480642
285 59.5292503763
286 59.3360481523
296 58.9725685458
299 64.4785066580
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
59 239.5059425909
65 220.6690988035
81 211.0722585927
82 168.9163592731
90 159.9393542813
96 127.0346106827
101 108.1740938152
189 105.7851016106
192 98.8390369890
193 97.9402945995
201 93.4220516119
202 85.9321366531
220 81.6720008517
229 81.0549915189
233 79.1455636783
251 78.1370297769
252 77.1445460594
266 73.6184369783
270 73.2943185093
274 71.9368060680
279 71.1518164812
283 69.5363033999
284 68.6964233797
288 68.6182108384
291 66.0880416956
298 64.8665351939
299 66.7315396676
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
31 191.5813891392
44 164.5792391541
60 155.3738041913
66 125.0388631808
96 121.4586797921
109 109.3454612545
120 94.6470950966
183 82.5740652265
192 80.2083389311
196 77.2532341445
202 70.8059308577
211 69.5719780899
224 66.6342912297
229 65.8870971820
239 64.9841585643
260 64.7829969897
265 64.5021011895
266 64.3907251581
270 64.1680394450
272 63.5823814565
273 60.5286872030
274 59.1663837326
299 58.6784170201
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
48 221.4878440442
52 179.9148546439
70 167.4468564697
78 155.0041543631
107 148.2594655370
148 141.4046603358
177 121.2125101120
204 117.9827219430
223 117.0663650096
227 116.1175528538
231 115.4440102039
232 112.4509829968
233 112.1829017649
249 111.9694703124
253 111.2054098098
263 109.9135684258
265 109.3951575784
271 109.1690425388
277 109.1353567473
289 108.9441831390
299 112.2123125608
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
62 347.5047512480
76 316.4474708673
88 257.2679440088
91 254.8749957631
94 241.0201006087
103 218.4986028016
113 203.6456868084
133 177.6073667879
149 172.6141066343
150 169.7584510021
154 169.2283765573
158 159.4447818436
159 144.7500787588
171 121.8432980066
175 120.8315483661
198 119.1608943036
218 108.7137106686
224 99.3990685573
227 87.0583289145
232 79.8179527439
265 68.2304609621
270 57.3740117265
279 56.7666942871
282 48.8009725240
299 57.9063796635
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
66 247.1875117367
70 213.1945645909
88 209.2761581551
101 208.5688331954
111 198.7050826921
120 183.1234723442
130 167.5840038669
