evaluations raw_y
1 813.9516769134
9 359.2455551360
62 319.6895619947
77 280.9573587834
90 273.6859006055
94 268.7154488177
97 177.3758818279
111 159.4091653676
128 147.0039804662
137 140.1999840212
138 134.2370257997
139 131.2800456323
175 124.3163156636
176 119.0991972466
189 114.9875026495
190 112.6876954229
192 111.0240006300
195 107.5201035572
200 107.2013313261
206 106.8593136047
208 106.2210525659
218 106.1699440460
249 105.9111294358
251 105.7300586539
266 105.6318339376
268 105.4168239706
271 104.9030529942
281 104.3400283898
297 103.8999399555
299 103.5769419235
evaluations raw_y
1 813.9516769134
9 359.2455551360
53 219.6830896905
69 198.8089965540
78 166.4889039630
89 51.6755504716
105 51.3105225868
106 46.3381737963
118 41.4514518736
120 29.5067933846
142 25.8072218664
146 21.4772226487
147 19.0235674689
169 13.8741947094
209 13.8048649921
213 13.7017984993
216 13.5994802541
233 13.5640765715
234 13.5461599987
239 13.5457305357
299 13.5461599987
evaluations raw_y
1 813.9516769134
9 359.2455551360
33 313.6408642437
39 213.2755555778
50 124.2594105467
77 103.4864484106
95 94.2215746528
111 85.6280562818
124 75.5566380444
129 72.3533452192
131 54.7273046475
135 52.2004751302
162 48.6121374439
172 46.6149405505
175 45.5501692488
203 45.4519211665
217 45.0679808737
222 42.2664086048
234 42.0275103812
237 41.8975955657
243 41.8679105855
256 41.8447856270
258 41.8342567770
259 41.7829822142
271 41.6992331806
297 41.6883965288
299 44.8084608006
evaluations raw_y
1 813.9516769134
9 359.2455551360
41 311.5265869300
66 308.3311590624
87 276.0776246387
97 226.1078837226
99 208.5932732565
102 190.5937468098
106 143.0425677182
119 129.4755122428
135 115.3788195913
138 80.4935543455
141 80.2062282529
144 62.6081457589
159 62.4080460677
160 52.8922007088
163 42.2167422904
176 41.7391650699
190 36.1374350679
201 33.4725041158
212 31.1412964842
227 30.1819911915
233 29.8669380963
246 29.6555276304
254 27.8931844883
256 26.2446066580
259 25.9384057813
260 25.9309665494
278 25.9104076418
283 25.8827303361
296 24.2485049869
299 27.3453188683
evaluations raw_y
1 813.9516769134
9 359.2455551360
70 250.5492851184
72 245.7159055642
73 159.5465543606
104 143.2667571172
111 134.4767230484
122 120.6368726764
125 104.4109100254
131 82.9665264839
136 68.5091378062
143 50.1573411757
157 49.6849685419
158 48.1487709559
160 41.7533278070
177 40.8040113559
179 37.2565178994
180 31.0923615732
194 30.3686566804
204 25.6365412382
226 24.1864567503
251 24.1058627377
271 24.0794225479
282 24.0620833051
292 24.0151171607
297 24.0090450031
299 25.7570332293
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
39 297.2692246003
43 180.9858072581
53 158.1315560545
79 155.7886451481
83 118.7855806728
118 112.2110277259
124 106.5726937067
140 104.2684075875
142 92.1068957323
148 87.0350429858
149 78.2451153891
154 72.1827635639
158 64.6933989797
162 58.9297453147
165 54.8131241359
170 50.0858595136
177 49.9717950211
185 43.9139488075
189 41.7574442677
190 36.9348420704
207 35.2745467746
214 29.5822694483
238 27.7590452178
239 25.2002488553
243 23.2633292793
245 22.9089711956
249 22.2851886843
251 16.3764394148
265 16.0894564692
299 24.2666253926
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
37 286.2466418391
45 213.6503155570
63 180.0982868530
113 151.4906513169
115 142.6918678172
117 116.9319971430
118 113.9613703192
124 97.4702727380
130 76.9264437336
144 57.3908043949
155 49.4412992554
163 47.8166160413
176 45.3677126910
178 44.0930011001
179 40.3411269519
186 39.6506903764
187 38.9329099859
192 38.4039730593
204 26.0368428085
213 24.4213652274
227 22.3261017495
240 19.8292723364
251 19.1573934685
257 18.3410782479
292 18.3063881304
299 18.5799953166
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
33 187.2782262137
68 174.2853910435
79 146.6842449938
89 143.2399105293
97 122.6324983615
99 122.6320069048
109 112.5965347717
111 109.8611411047
124 107.3856461903
126 103.7556176552
127 94.9645874940
148 83.7594519278
152 66.6516158849
153 57.3844674975
154 56.4124913531
170 51.1358219604
172 49.9866505790
186 45.7944877947
187 43.2533782372
199 42.5181207863
202 42.2301494116
207 39.0568783467
212 38.7427727910
221 37.5664934160
227 37.4919249284
244 35.3029036544
246 32.3836129283
248 27.7046985729
253 27.4892856413
265 25.3173429485
276 23.8489264089
278 22.9711895093
279 22.9487197945
287 17.5099458087
299 18.9224496755
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
34 285.8621985829
38 199.4081167118
62 121.3092609621
81 118.0826532775
114 95.3453761266
116 93.4026583152
125 81.8027872651
126 77.1574983152
136 75.6487567432
161 74.6158473246
212 74.5821076846
220 74.5747126595
222 74.5492519947
223 74.5059656437
228 74.4764755749
230 74.4741147468
243 74.4128879361
247 74.4117915264
259 74.4094408644
268 74.3899757401
294 74.3813004040
299 74.3862847025
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
45 274.2658982442
52 206.4936019750
79 199.6692128612
83 147.0605299967
85 139.9061226479
86 109.1016476070
90 97.6696933099
117 87.5076549994
126 53.1601727275
151 45.4723936795
162 44.1807658467
164 40.2174642339
175 32.7982406198
201 30.7169687265
202 30.0653285907
211 30.0402613685
