evaluations raw_y
1 41410882.4135989100
3 9396323.2029055599
5 1523649.4609042497
10 1215589.9198097957
20 560839.4320030620
55 520585.3817904879
116 252814.7689884912
187 60368.0904946194
290 634663.2380144408
evaluations raw_y
1 33198382.1566547118
2 8267057.0168490037
4 4088786.5655506868
11 2543892.1492047086
19 611747.8894777716
25 410839.9628641077
30 207892.2980337287
46 184912.8039567567
99 99706.4294330898
228 70837.3880567931
242 48938.0978961812
290 238819.5836217068
evaluations raw_y
1 52276281.3520860001
2 2739611.0008013244
8 1645822.0248200183
13 811513.4378794591
60 230988.6756132353
290 527184.5119489322
evaluations raw_y
1 70392329.4665766656
2 17752566.2135925479
3 2752419.6528985831
20 1641597.5343125665
21 1172108.2709382598
22 1137452.6429862264
24 958290.5558794984
31 847721.4989583506
35 702891.8434515626
40 664926.6938993341
43 138138.3532616394
200 100157.7604406799
267 79573.5964007987
290 575821.1228735491
evaluations raw_y
1 20847129.1388212852
2 16947508.7660565153
5 15687330.8224190660
6 1467926.3864291525
15 795763.3936793442
28 791872.7066992068
43 777581.1647881772
73 758286.5267828059
76 485556.8720851525
107 365438.3819982698
137 284543.6877769600
176 273120.4106973370
190 260350.1142800672
206 83405.2047880379
290 2412224.3608077387
evaluations raw_y
1 21998594.4599862695
2 14214170.0981415324
3 5815368.1308404673
4 2866505.5273528285
12 2514839.5730525828
13 2122623.6600908278
14 1570622.0714995493
24 711815.2238382981
35 339139.3335385397
51 325866.0079415987
74 234372.5667100676
89 201480.8362219761
102 113297.4653367195
195 93184.5556080849
208 76496.4109455663
216 44082.9436531029
284 38107.7409115327
290 49468.7464270368
evaluations raw_y
1 12579521.2817093227
2 4896125.1727028275
10 999993.0739597956
22 913692.7553556007
29 738987.3108194607
46 546466.0308846512
53 326426.4375595605
77 267104.3552052536
93 147912.9007809573
97 123876.7088243244
101 103875.1565010614
171 86997.8998528447
196 70736.0074785866
198 41563.5572351544
251 33837.4816707930
280 31476.5911332856
290 26339.6256970495
evaluations raw_y
1 9453127.0391132962
2 8248041.2652882272
5 5569625.7908291956
6 5443203.6213842584
7 1388521.9197467598
11 1139723.2668120139
73 537473.4139681342
103 326986.1085282381
123 84794.9712240809
191 29852.4789465980
290 606000.9468448762
evaluations raw_y
1 1202824.8184161787
65 938441.1402798641
71 544283.2073993381
78 172562.6489884297
108 68825.5484828387
163 32599.1940712141
218 28778.9725880882
235 25098.6669405377
265 16678.9979474802
290 40271.2035644184
evaluations raw_y
1 28356397.2884022184
2 1378306.1209218565
11 1310720.3808214888
30 788585.7258702560
41 89318.8069978328
131 77703.1324117204
253 63517.8928748026
257 44263.1249383357
285 39867.4346739915
290 46019.9678255268
evaluations raw_y
1 5592365.9981079632
2 2853026.0441362406
5 1657016.5811717990
6 1385235.6994811741
22 1349422.7939323941
26 1168853.7324616497
35 530154.5766507292
42 277972.1955047919
93 276902.4668148434
126 222172.7519763529
195 143346.5943388301
276 98798.5188997569
290 237629.0509256994
evaluations raw_y
1 5011736.3675816115
4 4171631.9471799317
9 3276079.1779441326
15 1916408.1559262769
31 1899327.0438187965
39 398848.0014747039
60 227937.8113014899
156 97224.4071505146
187 63078.8062742839
205 52299.6637511971
290 571785.3099977400
evaluations raw_y
1 1594249.6569633821
3 833092.1946346909
13 467030.2878554517
22 379861.8268087672
36 118966.0072168618
53 63607.5230599674
190 43104.3491239179
229 29416.3564394482
268 26656.8556271454
270 23643.1740733241
277 12725.7721058441
290 104181.1618655220
evaluations raw_y
1 7672267.8851259062
4 3363982.6822755425
15 1199762.0063387086
25 702017.0594738772
28 344353.5469711949
84 52300.4317876428
290 365642.4128327460
evaluations raw_y
1 12463918.4977207463
2 620024.5140536120
24 467905.8921220565
87 400105.3074910326
115 258072.9139639496
206 184145.9291333572
273 108686.9453232584
290 516981.7421297044
evaluations raw_y
1 58964564.0284189433
2 35494227.0468056574
3 14636588.1585567612
5 13307155.3736527022
7 9302636.4104354829
10 5578451.4340265105
12 2525865.6968601523
20 1116007.4977318284
35 721023.1964485664
52 625072.2372095801
