evaluations raw_y
1 79.7892047495
2 28.7727758701
3 15.0932861723
11 14.6016998390
21 8.3266161423
23 7.8036067741
31 6.6535090998
93 6.4626823002
94 6.1040246920
111 4.9174700786
112 4.3338823123
126 2.8578296721
172 2.4775765590
187 2.0813118487
188 1.7702825507
209 1.4446097626
230 1.2758606411
244 1.1669021907
269 1.0245616895
290 3.1400494769
evaluations raw_y
1 100.2754027590
2 18.4606203663
27 17.7671102709
28 9.8549480296
95 9.5318548008
96 9.0856378510
121 7.1004710596
131 5.4134540389
162 3.8067592237
185 3.3459203066
217 3.3292099310
258 3.2646228683
270 3.1808208212
275 2.9566200778
276 2.6856113760
284 2.5021095089
290 3.4510022341
evaluations raw_y
1 42.4572511188
4 24.9933433264
11 24.3670003452
15 8.0725363427
29 7.6370611728
72 6.3867838015
83 4.1586645504
112 3.9304363224
158 2.8897670850
185 2.8185765355
202 2.0375900706
212 1.6325484692
266 1.4029728104
289 1.3068688404
290 1.3412264450
evaluations raw_y
1 31.5337897356
3 24.6021127278
5 15.0251021171
20 11.3827530935
21 10.7654710051
32 10.3456052387
39 5.2320299078
75 4.0937265744
97 2.9022946859
157 2.5481582135
172 1.7537050521
198 1.7238518742
233 1.5426258256
241 1.5071581071
270 1.2802202799
272 1.1451038421
290 1.6623810958
evaluations raw_y
1 20.3467253522
16 18.1316892234
26 13.8486011656
32 11.2659477301
41 9.2074783214
43 10.3022177489
46 7.9204400487
55 7.7560690114
56 7.1978410433
72 6.9534832409
83 6.3671662842
93 5.5143674607
99 4.4475995198
173 4.1275538768
187 2.7611383292
271 2.7134186986
290 3.9443505203
evaluations raw_y
1 32.4344875431
2 22.0174968770
3 20.2705153682
4 9.0808350023
11 5.1906721049
31 4.1096808005
43 3.2585201223
86 2.2625044496
177 2.1546224202
234 1.7027920015
289 1.6358041445
290 2.2715229881
evaluations raw_y
1 6.4566619842
60 5.9235935730
89 5.8510615185
110 5.4217702811
111 5.0056686524
113 3.5626028512
137 3.5036796176
156 3.1790137850
172 2.1393973596
207 1.9173157573
276 1.5949358131
290 2.4580758884
evaluations raw_y
1 34.1167174793
2 11.1213758049
3 9.5292867583
34 9.4051773696
50 8.1367510218
60 7.2511509026
114 5.9201925519
132 4.7966848596
163 4.6168714302
187 3.3147310859
190 2.9041883900
229 2.7673837553
230 2.6007940990
233 2.4482275924
283 2.3907215045
287 2.3495946114
290 4.3514987743
evaluations raw_y
1 25.7987062500
2 11.9914377161
9 6.5859672242
12 5.1238509012
54 4.7445127391
93 4.0230299394
99 3.6142203517
128 2.8945531790
133 2.7280459430
153 2.6846109671
170 2.4140646810
224 1.4565948059
282 1.3845163606
290 2.1898503444
evaluations raw_y
1 23.2988435036
2 22.9545273403
3 20.0121596575
4 18.8237675614
5 16.5512944688
7 14.1191295222
8 9.1984692525
9 7.3591589868
23 7.3160369322
62 4.9755644690
81 3.9178611477
101 3.5372464435
112 3.2118386724
132 2.7730533901
147 2.2106172452
148 2.0294542829
152 1.7967808291
153 1.6551958997
180 1.6523712198
191 1.0649907869
212 0.9505625379
284 0.8223163014
290 1.6080552912
evaluations raw_y
1 19.5664855719
2 16.7339266349
8 14.6819940226
17 12.1335906213
26 6.6740229869
104 6.3645327356
122 4.1703323956
268 3.3076520122
290 7.0800216185
evaluations raw_y
1 41.9332709387
2 27.7308653741
3 16.8827570850
13 16.1205891535
14 12.3707656407
17 9.6806992296
23 8.8369819950
73 7.5417255448
76 7.3710127680
83 7.0551393046
98 5.6839834887
100 5.6563279878
114 4.8781190585
163 3.9159233369
170 3.4925812932
181 3.4298791963
192 3.1954767602
208 3.1604171744
212 2.3663170472
252 2.1474271319
265 1.3698155226
290 2.1534659074
evaluations raw_y
1 42.9226985420
2 10.1531972308
12 9.3087078614
23 8.8913633759
26 8.6144711909
47 8.1408525238
54 7.2221903376
81 5.6385423690
120 4.7153640595
128 4.3387526460
140 4.1979150761
160 3.2871915102
230 3.1258444555
236 2.4422701024
290 3.7482720962
evaluations raw_y
1 17.7824337821
3 17.4682778100
4 10.1483029400
6 14.2139201434
10 14.0653227394
12 12.7315275144
15 10.6347490573
22 8.7448130667
37 3.6079910887
165 1.9402244712
227 1.7179128577
229 1.3171812741
280 0.8626537749
290 1.5966863844
evaluations raw_y
1 17.6349743544
17 9.5939737134
25 8.0232417719
31 7.7748668427
65 6.0717176557
103 4.0263329870
131 4.0147473339
163 3.9138746797
193 3.5899133498
198 2.7569033293
235 2.6747906499
263 1.8504292448
290 3.1569569435
evaluations raw_y
1 17.5682188357
4 15.3417749852
9 14.3537130485
11 6.0196619601
90 5.8055664005
94 5.6282859779
105 4.0801373972
114 3.7085511690
130 2.6816850560
184 2.1895865231
228 1.7558937742
246 1.4128686080
256 1.3291576875
273 1.2541943453
280 1.2332601168
290 1.3222686297
evaluations raw_y
1 22.9459260003
2 22.3602132682
3 18.9317406560
5 15.2687177548
7 13.9552922298
9 12.7163587455
10 9.3523215690
13 6.9785634628
82 6.8256767939
89 6.0372552394
96 4.5099506982
