evaluations raw_y
1 56.3774303642
3 14.4200533507
33 9.5557708962
49 8.6826664785
53 8.2521455463
73 8.2355995820
104 6.9527269104
128 6.5268157598
198 5.8980116574
290 6.3157008067
evaluations raw_y
1 56.3774303642
3 14.4200533507
33 10.8025884223
50 10.4429274212
52 8.9949164631
61 8.0129915446
130 7.2624845768
146 7.1921597710
179 7.0358432951
180 6.0797589570
192 5.3778341152
253 4.3636327157
290 8.3971796293
evaluations raw_y
1 56.3774303642
3 14.4200533507
35 12.4738144223
39 11.5758713490
42 8.3028262864
100 5.0184285967
259 4.9208400048
290 12.6422226233
evaluations raw_y
1 56.3774303642
3 14.4200533507
32 11.6267060052
33 10.6242996680
56 9.1862054851
62 5.7578442500
120 2.9006584794
290 11.5660681807
evaluations raw_y
1 56.3774303642
3 14.4200533507
31 11.3469433937
44 10.1711763688
49 9.8708111905
66 9.0224742975
87 8.7338333787
90 8.5065083107
101 7.3593832600
109 6.0610513557
149 5.7243142195
161 5.4241829676
162 4.0355215358
290 10.3147578165
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
35 11.8852190286
49 9.3722429951
67 8.9041843462
88 6.0773053924
109 5.6108920116
238 4.2811101581
290 9.8582460756
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
39 12.3735315699
46 10.0999014524
67 9.4966328004
70 8.6268879712
98 7.2317403418
105 6.9852527292
129 6.2999933952
157 4.9518377482
246 4.2258103550
290 9.2694939557
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
45 12.6543170843
54 10.2011144756
76 9.6947631172
87 7.0969277539
101 4.8258114156
184 4.2349793904
290 11.3800762079
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
33 11.9786309686
39 7.2632111383
128 6.7858878246
197 5.5736288462
260 5.1345912188
290 13.3640823364
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
36 12.4386391133
45 9.2372938533
47 8.4655924472
75 7.3039463343
131 5.7298300768
160 4.3870797646
290 10.3812821887
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
33 14.3320943807
37 12.0002473018
41 11.0098575034
49 10.3718530938
51 7.3436755523
165 6.0563155079
290 13.4294321575
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
34 14.6314500279
50 11.3254301807
55 10.7984339426
56 8.4218816640
99 8.0624840481
190 7.3085299132
245 5.9542160724
286 4.9618370935
290 10.8628794709
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 8.1998252037
95 7.5263038311
107 6.6079135890
224 5.0354099280
290 10.1025696504
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
31 14.0320494573
39 13.4478658342
47 11.9133384481
48 9.9637635666
58 7.6090830363
78 5.9786515802
135 5.5326594171
290 10.7120415194
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
31 12.8504255994
44 11.1046437920
63 8.8912207649
65 5.6280882995
74 4.8242813246
290 7.7276418960
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
50 5.6754913569
272 4.5722781445
290 8.9024039532
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
48 9.3292784180
55 7.8364569584
149 5.6529049247
186 4.8336124189
290 11.0951081084
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
31 11.0052347900
34 9.7137648039
48 7.6903297531
73 7.5847668495
108 7.5628420340
112 6.4864614664
163 2.9944347745
290 6.8923360785
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
68 7.1786798409
87 6.4469567504
119 6.3980291696
137 6.3729827031
165 6.0836467383
225 4.9560027240
290 10.1533669945
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
34 7.4366898968
104 7.4114721286
114 6.5391986426
167 4.8591756520
290 11.8856157908
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
36 8.0797486515
66 6.2384920437
212 6.2062254871
278 5.4567733153
290 7.6527902863
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
34 17.3466822579
37 17.2738042834
46 8.8117885665
60 6.6012778879
145 6.3274154058
263 5.9247579998
290 6.8087024257
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
31 18.6315964594
