evaluations raw_y
1 40318.3788871666
2 30561.8805536662
3 6007.7036068461
14 1090.8950324482
31 135.7063075329
44 4.6473580754
81 4.0810674252
121 3.6090274031
125 3.4421417942
170 3.2452055483
196 3.1676759385
217 3.1341935836
233 2.9148722698
290 34.4158239403
evaluations raw_y
1 127631.7969124571
2 58820.1520029301
3 50562.4396062298
6 25625.1786186059
9 22758.0579783111
12 8082.4717387507
16 2201.6137802239
50 1923.1069856385
57 562.4574142473
76 35.2162089288
101 4.3923576687
146 4.3770583883
149 3.4895657267
184 2.6569785572
290 3.9523189942
evaluations raw_y
1 73058.7712065714
2 48019.1023347353
4 33229.1469042966
7 7213.9673828376
30 1497.5974191351
34 308.6364926790
72 3.7995814531
123 3.2744891262
182 3.1620689617
266 2.7601616214
290 3.4121611287
evaluations raw_y
1 31559.3994923948
3 25447.4161304294
5 13867.6551776566
8 1779.6507759296
35 113.8444469861
67 48.4840120212
104 4.2691155321
120 4.2121796475
122 3.8133219844
141 3.6711694536
172 3.5224415766
180 3.3909790811
227 3.3016874323
276 2.9347491203
290 3.1762222177
evaluations raw_y
1 56571.5669526193
2 11421.0706064314
6 3269.8681130962
38 2919.8866906132
46 973.0035532957
51 458.5887616352
87 158.3482543869
113 3.8150958301
120 3.5546270648
129 3.1920006804
191 3.1069583766
271 3.0322724268
289 3.0178158407
290 4.1398876097
evaluations raw_y
1 91134.9870416070
2 13193.7523374003
3 5545.6794236557
17 1769.6486239307
25 1292.2732010026
65 946.4046005997
74 498.5990532614
88 121.2676404553
92 3.2173968399
253 2.8480088573
290 75.2950918826
evaluations raw_y
1 198000.0607054736
2 74101.9769557824
3 30997.8085529232
4 18219.9917952512
6 15526.7054331137
7 7514.1088629631
11 5253.4891217552
15 2823.1261048178
53 632.1282289301
94 201.2341741453
114 13.8701087934
132 11.9159438900
143 2.6451286165
219 2.6357741975
290 4.5418893957
evaluations raw_y
1 43693.9335814425
3 34963.8194902494
4 33844.5107252477
6 24766.7567595827
11 3329.8902598237
32 2986.8996328973
33 2618.7190942513
34 3.9276482873
115 3.4204723018
119 2.9082485976
290 4.1159184138
evaluations raw_y
1 35260.3138764552
9 31511.5293500700
11 28828.3175845048
13 15638.7253604426
15 8141.3352567382
29 6827.8265944554
31 345.9447724721
121 98.9691660553
122 3.8518084122
224 3.7453391853
231 3.2558380739
290 507.0618934986
evaluations raw_y
1 3801.8318170080
22 1503.8174863710
29 1023.4709308916
62 896.9044905471
80 669.5709393017
81 443.5947729028
103 21.6568011229
136 5.4952582071
154 4.5594807173
180 3.9267433274
197 3.1881360863
290 3.5797397732
evaluations raw_y
1 68980.4835218175
2 49321.4158559060
4 17581.1009608228
11 17195.4037013530
12 7183.2100288137
27 4984.3183383798
38 1653.4819752329
46 401.4646620179
64 5.1602868734
101 4.8774386330
132 4.6805779539
164 4.6675107077
197 3.2106694886
247 3.1296961996
290 4.2224930733
evaluations raw_y
1 83647.0885872504
3 7886.3971203962
7 1160.4694240260
84 641.0043146120
98 414.0551836248
129 3.6134713617
141 3.2244783387
189 2.9213337923
290 3.8952515062
evaluations raw_y
1 32125.0701013624
2 4990.1979278184
24 2284.3403067544
33 673.5575773777
62 332.4894522537
88 4.4153759332
141 4.3563409522
168 4.0427091973
173 3.1090787774
290 4.7136246289
evaluations raw_y
1 168152.6862239854
2 109291.8030354092
4 19554.0137775939
7 3659.5524050613
20 1679.8099661529
21 856.0931845420
53 804.9429537664
57 439.2982435736
93 16.6067096783
160 3.2032172099
211 3.1760115846
253 3.1298718110
261 2.9780045358
290 4.0220630712
evaluations raw_y
1 44285.6478805290
2 29867.2505930340
3 29468.1305758727
8 11396.3532764536
14 10400.6811571593
21 5340.7604994473
31 1709.2479550668
43 1197.8033456963
55 775.4123466211
85 11.3642539397
141 4.7083771763
148 3.3640514033
290 3.9280367906
evaluations raw_y
1 44344.5619100693
3 19315.3568346483
6 18452.0125552604
7 7016.5222916061
11 526.1788153258
73 186.1263510355
81 11.5988626887
94 4.8093883513
122 4.7744410144
128 3.6463657825
154 2.8799125190
198 2.6918879305
290 4.5375928418
evaluations raw_y
1 27756.1912461954
5 5005.8865623950
25 3948.1694141814
26 2543.4435875095
58 2409.9300092034
78 2119.2043216017
90 1425.8989672222
93 1045.7645918529
122 922.4246318336
124 179.0080775229
132 145.4706585511
141 43.3593457890
