evaluations raw_y
1 81.4652279664
3 47.5256350682
25 44.9642653636
70 27.1349666124
93 19.4369801099
110 18.4864778789
147 18.2360331054
195 11.3380176701
273 9.6095627658
284 8.5298328453
290 16.2073814010
evaluations raw_y
1 84.3565186058
2 84.3269689613
4 80.9586608981
5 72.6046557942
23 54.8424530351
26 36.3368756079
54 21.3465031015
66 18.9534304387
73 17.3413245610
126 10.7787573323
131 8.0389947891
135 7.5984015267
203 7.5260189192
207 7.3130463771
216 3.9864913649
234 3.4887350458
243 3.4524229621
246 2.3790776350
258 2.2005397068
263 2.0994898013
290 2.9527425040
evaluations raw_y
1 86.0877344858
2 82.3951970683
6 77.9172056295
11 67.9333584798
18 59.6854098041
41 41.8129097696
54 39.6123174044
57 27.1672937282
73 22.4287374782
107 21.4742563400
111 11.7020679966
121 11.6300494573
134 5.3791803627
188 4.9858868271
204 4.7172337158
207 2.9517278356
242 2.4967308075
251 2.1934861005
266 2.1265468669
276 2.0947235201
281 2.0394160688
290 2.4705758229
evaluations raw_y
1 83.7909518207
2 60.0075650628
10 7.5309944852
162 7.5174998275
166 7.0995112243
169 3.6026689498
253 2.5326810952
272 2.2935426338
285 2.2405579373
290 3.9102924083
evaluations raw_y
1 77.3517643446
2 68.5918263514
16 68.2814004346
17 67.6867457303
19 63.8290724087
23 54.6329674234
56 26.6058298382
75 19.5426451343
91 18.3401867335
99 15.7185368278
142 12.3382032829
161 9.3075348297
166 8.4790803892
172 8.3695347927
179 6.3210700437
183 5.2448689621
193 5.1234322360
234 4.5265971481
242 4.2362694145
247 2.7986596942
261 2.4934902396
277 2.3046416856
285 2.0942241475
290 2.8804561848
evaluations raw_y
1 81.0437534468
2 79.0707002027
3 75.1190746895
9 72.1323195420
40 70.1957902736
58 58.5872862436
90 54.6022849706
101 41.1044419089
139 27.0729921093
243 25.6187452959
248 25.3855562091
255 21.7491098122
266 20.5321109112
273 19.3630831084
290 22.3710770404
evaluations raw_y
1 74.4464800434
13 73.7923258087
15 72.9785003237
16 65.6912108319
23 64.3859797490
38 62.2310106407
113 53.8911951894
175 42.8793974990
188 40.9118632689
222 37.7512184963
235 35.8331010548
252 33.1407836748
278 29.0673808845
290 47.9786837568
evaluations raw_y
1 86.2311144919
2 66.1947118977
70 57.7864608827
78 56.7768090541
81 51.9335327497
112 42.4140777006
138 39.2499101025
143 33.0019886913
171 30.0151189853
185 29.9495438822
199 28.2578686607
225 28.1865829078
227 28.0645424432
240 27.4229367009
242 26.8805060819
269 26.7801422158
273 26.6386556129
275 26.1704966902
289 26.0896707766
290 26.4168101622
evaluations raw_y
1 85.7159901349
2 85.2923017978
3 74.7412683891
11 42.9458031758
18 29.4501631797
93 23.9618159189
111 19.5158529762
