evaluations raw_y
1 9091117.3002112377
3 6865863.9317446677
5 2579341.8276087148
30 439058.0455487746
37 194956.5694826243
83 111140.1660218483
231 105379.6303700878
245 98416.4680797577
271 98260.3781152758
276 96189.5004182790
290 97392.1108673141
evaluations raw_y
1 9091117.3002112377
3 6865863.9317446677
5 2579341.8276087148
30 439058.0455487746
38 342570.7308487055
53 279145.1546464536
81 230740.2801235302
88 129962.0406216346
123 119823.2963480767
150 55844.9311063162
290 516175.3558683246
evaluations raw_y
1 9091117.3002112377
3 6865863.9317446677
5 2579341.8276087148
30 439058.0455487746
41 196227.2812055284
48 35990.4183302723
172 35607.8521095976
229 21285.5795891224
235 11646.6831717989
249 11077.9280730656
290 135723.0972779080
evaluations raw_y
1 9091117.3002112377
3 6865863.9317446677
5 2579341.8276087148
30 439058.0455487746
72 392154.4346405237
85 364108.0189924559
101 147170.2082300060
105 138175.9245806140
131 78465.2033732391
290 524444.2675455393
evaluations raw_y
1 9091117.3002112377
3 6865863.9317446677
5 2579341.8276087148
30 439058.0455487746
60 328221.2405513067
81 279342.8290236742
92 146121.1729010421
102 104061.6790247265
208 91708.7742730156
290 699022.4808766562
evaluations raw_y
1 16851918.2855813801
4 1214053.4822241988
10 626465.9475459137
33 428712.2469962878
59 239539.0989517060
67 44786.0750362343
138 36047.8740657203
222 31029.9205246622
239 6629.4287204345
290 302489.4386922558
evaluations raw_y
1 16851918.2855813801
4 1214053.4822241988
10 626465.9475459137
90 504614.9117596336
92 475114.2296641074
97 115585.1624382121
255 95370.7005577801
290 173637.3807933632
evaluations raw_y
1 16851918.2855813801
4 1214053.4822241988
10 626465.9475459137
45 247719.3949989613
88 222386.5611362794
140 222342.7394122513
176 150055.8835178199
191 125479.0147234678
223 97651.5689144282
290 1041809.4951935483
evaluations raw_y
1 16851918.2855813801
4 1214053.4822241988
10 626465.9475459137
40 347203.9593635863
45 276658.5523000309
50 246456.5554099732
89 163223.7290772488
290 1332078.6057268924
evaluations raw_y
1 16851918.2855813801
4 1214053.4822241988
10 626465.9475459137
42 574869.2114548862
45 273696.6230783389
50 84832.4121165574
174 24858.5365101576
279 19075.5238539592
290 153820.1325781246
evaluations raw_y
1 37083837.4124590605
2 20715322.4558538273
5 11417418.4592753742
6 9152971.4457159322
15 7375322.5026001148
16 3314463.8561509782
19 580283.3487367450
54 319164.7797939760
157 270900.9187929513
290 386696.7154684679
evaluations raw_y
1 37083837.4124590605
2 20715322.4558538273
5 11417418.4592753742
6 9152971.4457159322
15 7375322.5026001148
16 3314463.8561509782
19 580283.3487367450
52 505358.4841907598
147 439328.1894392029
165 233778.1944594444
189 143969.2309887850
227 86361.8989475871
281 76041.7395276865
290 688428.8005782519
evaluations raw_y
1 37083837.4124590605
2 20715322.4558538273
5 11417418.4592753742
6 9152971.4457159322
15 7375322.5026001148
16 3314463.8561509782
19 580283.3487367450
74 242629.4146778634
81 129337.7239901961
215 113268.6772373588
217 79358.9104013852
290 153193.5599690500
evaluations raw_y
1 37083837.4124590605
2 20715322.4558538273
5 11417418.4592753742
6 9152971.4457159322
15 7375322.5026001148
16 3314463.8561509782
19 580283.3487367450
66 572506.0225449266
149 70300.7574882861
276 68040.4908428043
282 35610.3260197099
290 238045.7010293457
evaluations raw_y
1 37083837.4124590605
2 20715322.4558538273
5 11417418.4592753742
6 9152971.4457159322
15 7375322.5026001148
16 3314463.8561509782
19 580283.3487367450
78 96860.5368304240
290 274210.6209230282
evaluations raw_y
1 22267249.3895462900
2 17801925.1637200490
4 994479.3186553352
36 977213.6729983343
68 873652.3875533295
71 607103.6337226024
85 383261.6635241183
213 245197.3580035793
262 155727.3537027707
290 394666.0793949739
evaluations raw_y
1 22267249.3895462900
2 17801925.1637200490
4 994479.3186553352
42 768479.3101466139
48 458103.8901699748
89 202588.0083156737
100 165944.2501327401
120 121106.4265632540
290 501497.1301980786
evaluations raw_y
1 22267249.3895462900
2 17801925.1637200490
4 994479.3186553352
69 799066.5911904342
80 708801.1348181880
95 704606.9918872707
114 409263.5755176030
166 399708.5256310587
213 164735.3965451701
287 138018.1384136147
290 349760.3166513850
evaluations raw_y
1 22267249.3895462900
2 17801925.1637200490
4 994479.3186553352
36 285868.0638621469
66 240619.9527979776
116 220385.7479377030
147 164513.9240353540
154 86966.8572119481
188 83760.5338629598
205 70252.1231747079
213 68077.8708922709
290 901520.3370475926
evaluations raw_y
1 22267249.3895462900
2 17801925.1637200490
4 994479.3186553352
42 589955.0266815674
68 80446.7910210675
116 76646.4305869129
244 72790.5419404268
290 201842.3378390372
evaluations raw_y
1 2511335.2138086064
6 1644626.0356643230
46 1454815.3400721641
56 1063353.0852334811
73 613965.5596339065
81 437119.2535732564
104 354755.6543589032
110 336224.8496408359
122 248298.9890542453
162 35359.3823527648
290 1005453.8283972743
evaluations raw_y
1 2511335.2138086064
6 1644626.0356643230
33 1428293.6118207609
51 689558.1841527475
80 653737.2389702890
92 586741.4972146415
111 246820.3588421192
129 99600.1563699944
221 83395.5805919686
290 318479.1251551181
evaluations raw_y
1 2511335.2138086064
6 1644626.0356643230
69 1011583.5218260931
75 894725.4812504628
96 292503.2787143853
144 290257.1555954239
145 272749.0155954608
174 134545.5431984089
187 101869.5041412279
210 90717.2380507963
232 60224.2283544142
278 59126.4012239398
290 648286.8420396309
evaluations raw_y
1 2511335.2138086064
6 1644626.0356643230
54 1317665.9236179707
57 1039559.0129209330
73 633030.7376440021
82 241705.7531230921
161 168394.5868938718
206 119094.1591063476
220 54006.6059576655
242 52079.8055774882
290 2082841.5455441568
evaluations raw_y
1 2511335.2138086064
6 1644626.0356643230
40 1635570.7008747959
42 1595372.1967227759
45 594960.5497300972
60 587739.1693362619
61 510894.4753125032
111 381322.0004358187
123 217938.0731272694
177 54543.0389057499
221 42953.9915992698
290 146470.9914301795
evaluations raw_y
1 30746304.9990663193
2 11303966.3664489202
4 8608967.5787321515
5 4226538.3800983010
6 2872876.1060497602
8 2604443.0383940572
24 2082890.5541818603
40 1252846.4864677673
60 339506.2036829177
63 126384.9811365866
264 63299.9664021099
290 5277928.6101835268
evaluations raw_y
1 30746304.9990663193
2 11303966.3664489202
4 8608967.5787321515
5 4226538.3800983010
6 2872876.1060497602
8 2604443.0383940572
24 2082890.5541818603
35 1751658.7031524430
36 1586521.5717644675
41 1381846.7961030803
45 1235294.0643715942
52 996189.0459529384
53 838490.2070886145
56 527617.4382953861
60 292748.3870099836
110 263773.1478779385
290 1676726.2311635334
evaluations raw_y
1 30746304.9990663193
2 11303966.3664489202
4 8608967.5787321515
5 4226538.3800983010
6 2872876.1060497602
8 2604443.0383940572
24 2082890.5541818603
32 1115785.3643299181
46 353468.6798524661
62 311302.0915084501
75 245586.1830023230
77 205851.6535805829
152 96547.1875931353
250 48418.2093167101
290 144907.0032545101
evaluations raw_y
1 30746304.9990663193
2 11303966.3664489202
4 8608967.5787321515
5 4226538.3800983010
6 2872876.1060497602
8 2604443.0383940572
24 2082890.5541818603
33 1233752.4632138205
40 798317.4011522315
60 790227.0900046650
62 394149.4395705286
75 182408.8696578227
93 35915.2211279949
290 405821.9827214662
evaluations raw_y
1 30746304.9990663193
2 11303966.3664489202
4 8608967.5787321515
5 4226538.3800983010
6 2872876.1060497602
8 2604443.0383940572
24 2082890.5541818603
33 621386.7712408026
39 116928.1805504849
245 109028.6276792091
290 1144471.4029004206
evaluations raw_y
1 4622641.3318173615
5 4226612.5607776819
9 3836216.4548875680
13 2849007.1857903446
17 1589067.9048795234
30 827530.7104713955
37 686174.0346519416
46 313872.4352416538
55 299570.4510260368
59 187907.0165152672
129 63524.5893085567
156 63062.5593701952
271 52411.4405361030
290 191016.3294924434
evaluations raw_y
1 4622641.3318173615
5 4226612.5607776819
9 3836216.4548875680
13 2849007.1857903446
17 1589067.9048795234
30 827530.7104713955
38 334765.9497786536
64 299469.6746314059
78 185391.8173644240
86 182004.7688356003
281 156238.5416448185
290 442245.8616108816
evaluations raw_y
1 4622641.3318173615
5 4226612.5607776819
9 3836216.4548875680
13 2849007.1857903446
17 1589067.9048795234
30 827530.7104713955
38 282430.1925148576
142 168462.8850775384
204 163333.7138566213
226 100483.6458499071
255 79714.5296276415
290 239079.8385740968
evaluations raw_y
1 4622641.3318173615
5 4226612.5607776819
9 3836216.4548875680
13 2849007.1857903446
17 1589067.9048795234
30 827530.7104713955
31 158273.6117999575
82 153961.6357350680
92 136522.6897182339
141 94868.2317879643
157 62315.1116241848
180 60507.0387334726
194 11743.5581625443
290 436921.0349965795
evaluations raw_y
1 4622641.3318173615
5 4226612.5607776819
9 3836216.4548875680
13 2849007.1857903446
17 1589067.9048795234
30 827530.7104713955
42 659211.2280625899
53 559324.8148428004
75 506817.9212919800
93 374100.8633217138
95 361068.5179288104
100 295287.7356363061
119 254616.4066034188
148 215479.8454677877
164 183113.3030038078
182 147411.0682368014
195 33675.6366529166
265 30531.5867388204
290 57862.1598867564
evaluations raw_y
1 67552399.3012461960
2 552328.2371753375
63 453296.3481321314
72 275233.4228414170
146 125948.6376912816
249 89922.0820761151
290 671737.2010184054
evaluations raw_y
1 67552399.3012461960
2 552328.2371753375
43 274095.7243074250
160 263281.0455818008
174 88208.5986909492
192 60663.6607814517
266 47716.0303018022
290 411073.6016366527
evaluations raw_y
1 67552399.3012461960
2 552328.2371753375
99 133978.0530060171
234 71506.9320328351
290 860524.0411007617
evaluations raw_y
1 67552399.3012461960
2 552328.2371753375
73 180166.2385566473
290 5622100.6971537694
evaluations raw_y
1 67552399.3012461960
2 552328.2371753375
46 516977.0055656096
76 234139.4619717628
89 98701.1580816762
290 277985.9037490421
evaluations raw_y
1 6541116.1909492491
7 6242071.0730498098
8 4978162.5918500302
9 3851972.5143706240
21 2351106.4771924485
32 1308285.5138329405
69 632109.1399274624
85 461253.3957699084
112 375397.5665322992
136 37252.3369306236
278 29845.4234055501
290 22183.2545460663
evaluations raw_y
1 6541116.1909492491
7 6242071.0730498098
8 4978162.5918500302
9 3851972.5143706240
21 2351106.4771924485
32 1193554.8111221502
46 778025.4614188279
71 772004.4662893789
84 400914.3294835376
106 367107.0667648914
116 324571.0822013260
179 323537.3661452719
180 273175.4633844885
182 216104.9770986623
204 160566.6948150203
264 126595.1048540134
275 64480.6688916897
282 36057.5398604507
290 328871.7062516703
evaluations raw_y
1 6541116.1909492491
7 6242071.0730498098
8 4978162.5918500302
9 3851972.5143706240
21 2351106.4771924485
36 1268394.3365111700
50 1202519.3581737594
76 1122590.2050362262
84 555528.8105080605
123 309824.6685565088
159 126265.9500030355
183 117386.0017709638
287 59837.7190529016
290 537364.6461820632
evaluations raw_y
1 6541116.1909492491
7 6242071.0730498098
8 4978162.5918500302
9 3851972.5143706240
21 2351106.4771924485
31 1862775.5057642753
38 1038336.4255304591
62 707914.1690283300
63 648040.1370783041
72 233074.2667426259
168 141093.2391285106
289 113879.1377932711
290 321240.3475147582
evaluations raw_y
1 6541116.1909492491
7 6242071.0730498098
8 4978162.5918500302
9 3851972.5143706240
21 2351106.4771924485
44 2052501.9749486544
55 1267287.4628276043
62 1027120.1826965663
73 862282.8044514903
81 546102.8187637015
105 475320.4252468252
221 288357.4278918063
247 220519.5434876233
258 145035.5276091520
272 125229.4485653537
289 120544.4145396377
290 449823.1820017419
evaluations raw_y
1 28748336.2274924554
4 22288684.6904199384
6 11174694.7871310618
7 5928768.9791159891
13 4488326.4863713719
14 3194611.6325815907
31 2107181.4670728035
41 1431310.4968912420
42 1425219.5098221055
43 1138966.6577575062
49 962382.5520697371
53 285067.3776846914
68 184206.2518077330
107 134078.0494099650
155 71385.8189470808
265 45755.6873658226
279 43471.0415047736
290 359556.5884357653
evaluations raw_y
1 28748336.2274924554
4 22288684.6904199384
6 11174694.7871310618
7 5928768.9791159891
13 4488326.4863713719
14 3194611.6325815907
35 1073377.0883773940
39 444055.2354177389
40 323116.5082335562
111 193552.3926341833
146 98146.7397693409
215 66865.1930050485
231 66316.9999226388
279 46263.0056863406
290 182947.7346711095
evaluations raw_y
1 28748336.2274924554
4 22288684.6904199384
6 11174694.7871310618
7 5928768.9791159891
13 4488326.4863713719
14 3194611.6325815907
31 1223124.1477237656
41 475181.3929748327
64 286282.7912419107
115 204238.9244328156
116 198540.1295106418
136 162521.0041802175
151 147956.2306478222
155 135188.9644196161
163 102883.4079585212
177 81013.1052357178
199 56584.9856671040
258 48174.3098691849
277 45268.3377192078
290 209535.8605294597
evaluations raw_y
1 28748336.2274924554
4 22288684.6904199384
6 11174694.7871310618
7 5928768.9791159891
13 4488326.4863713719
14 3194611.6325815907
35 891992.5929410491
48 508407.9683812547
106 457652.1297310605
150 445461.7978321497
167 268981.7389064579
206 164550.9647519682
213 143885.1071493788
215 83263.5295892391
239 68887.8881270480
290 98629.4509852594
evaluations raw_y
1 28748336.2274924554
4 22288684.6904199384
6 11174694.7871310618
7 5928768.9791159891
13 4488326.4863713719
14 3194611.6325815907
31 1645734.7870957302
36 1170561.6498953344
40 581611.4274419239
59 458358.9002035155
76 57237.9153526631
184 44078.6555653608
283 39018.9019463322
290 101618.0060669523
evaluations raw_y
1 25626273.8008826040
3 19241880.1680665351
5 11778294.7665792853
6 7000472.8782748710
7 1594569.4804995856
27 638701.1421947452
41 638282.6611440826
57 500451.5579634407
80 462211.4653315311
83 382902.2822570209
87 326254.8602737020
110 311389.5936511450
175 191323.7125816353
204 134672.7592294262
270 78223.9642914278
290 988139.8060004296
evaluations raw_y
1 25626273.8008826040
3 19241880.1680665351
5 11778294.7665792853
6 7000472.8782748710
7 1594569.4804995856
27 638701.1421947452
38 329874.8076733464
52 304534.5340700059
128 181534.3099449849
199 17849.3051645303
290 369971.1351968013
evaluations raw_y
1 25626273.8008826040
3 19241880.1680665351
5 11778294.7665792853
6 7000472.8782748710
7 1594569.4804995856
27 638701.1421947452
76 622003.5053816576
