evaluations raw_y
1 537.4231481622
4 359.9571270436
8 323.2864537929
20 276.8748225216
23 261.3207286354
33 249.5362706390
38 145.3435368455
68 137.8612543759
79 128.2355076303
119 124.3542316141
151 112.4737984312
192 94.9598319494
211 67.7559549938
240 63.2378985014
290 132.2410464780
evaluations raw_y
1 523.5177773069
6 447.8630586574
8 367.3425283769
9 241.2333165349
13 290.4591393283
14 287.7489292774
17 202.5899316733
35 198.9468074242
37 137.0626135650
104 118.9870732337
139 103.5369970622
164 100.2156898584
187 89.3654713429
212 80.0007813028
261 69.1821355203
290 125.2299650350
evaluations raw_y
1 1087.5969078787
3 469.4559808495
5 455.7397876444
7 310.2279816225
8 268.2193619114
10 254.5714713066
16 217.6021761793
24 186.6038545203
45 184.3753559499
61 168.7883659962
110 150.7647322050
119 125.8673913957
200 118.7246422893
209 117.3940449784
226 111.8014078606
228 107.3757403397
234 106.2576770682
271 105.9932121423
273 97.9354912119
289 95.8603381211
290 117.1071191800
evaluations raw_y
1 382.2423361998
8 223.3052649685
28 203.6089624051
48 170.2080415753
63 160.4087033277
71 109.0519194346
194 107.5132003283
204 89.0515780578
272 86.2629587380
290 170.7432717181
evaluations raw_y
1 435.4366494389
3 331.3070937906
14 282.0250727024
17 197.6120209689
25 187.0043588595
31 163.6925945321
61 145.0101794026
66 143.3561015763
101 123.7606133715
121 111.0819711092
144 103.5471695883
170 75.9246144937
281 68.8349505175
290 99.5564284025
evaluations raw_y
1 812.6705767612
6 158.4704108316
121 155.9508755972
128 129.2384923122
174 123.5637640657
199 117.9216434851
212 91.2584336256
290 180.6255079451
evaluations raw_y
1 609.6903334114
3 290.7141346190
7 284.4122725523
39 238.5898670591
45 224.4377414393
78 215.2311826210
98 172.2765531691
100 162.0166716929
135 145.5955233467
159 134.2968341701
171 119.3803724916
262 102.3609290834
290 189.4982561043
evaluations raw_y
1 726.0864534400
3 547.9320783422
4 244.5812532679
8 224.5582562333
24 192.5437190272
54 160.8661604937
89 142.1443860845
109 128.0532321101
111 123.4662327604
117 110.6068829704
127 91.1765825084
290 158.3873195637
evaluations raw_y
1 499.3555769936
2 379.8622597516
17 258.7118817273
47 233.5957624300
56 212.7512536435
82 206.5488853218
83 93.7031410468
215 92.3261825774
290 202.2225272616
evaluations raw_y
1 1743.7939136670
2 429.0522798023
3 319.4762028427
28 304.2968498454
39 295.5531600236
43 201.3527120847
64 177.1610015481
78 149.2185045156
92 133.4731862182
101 112.6132289503
126 104.8974145349
178 100.5286434820
219 88.6395308287
290 149.0397244696
evaluations raw_y
1 358.4192306672
27 313.7487567007
51 289.9802861080
61 236.2741408293
63 218.7641392856
82 174.9679640396
86 171.5676532070
190 143.8226590167
217 140.6839264813
219 140.3346770496
235 126.6310195738
243 119.1072838054
267 115.3789907805
290 215.6696622991
evaluations raw_y
1 814.5030950702
2 456.6873829267
4 432.8862722936
6 336.6149646987
7 290.9874668828
9 290.1553583605
14 220.6049453059
20 187.4758672387
97 130.9083117346
198 125.8646143882
200 113.6523437298
290 171.1330060931
evaluations raw_y
1 1186.7619397609
2 362.0940400898
16 302.7941766553
50 266.7556791717
85 247.8025551983
89 237.9357942194
101 219.4635799141
110 184.1188500980
119 168.3896671377
122 138.8724375331
189 102.5936982114
247 99.4505822075
256 95.4347221065
276 72.0257819590
290 157.2211056501
evaluations raw_y
1 709.7509342854
3 381.0680040738
10 359.0580606040
14 299.3969399781
17 265.2830059761
28 178.3965857814
75 176.2151373154
101 171.3645191099
111 154.9327696118
121 135.9011886343
125 120.6918864732
204 119.3147676875
247 116.8758626524
276 116.2512296572
290 154.6203249543
evaluations raw_y
1 1124.1396922283
2 376.4300478157
5 235.0958264773
19 207.7199812130
40 170.6121254418
71 163.5286262307
109 156.6765464700
144 150.1597326053
167 143.5520377347
187 142.5552737507
191 136.8791101601
197 117.5580619559
251 114.9822316748
252 103.7355735483
254 88.9829955751
290 188.8006042648
evaluations raw_y
1 1376.9544528560
3 650.8708461967
4 504.5128322523
8 275.3062842894
38 215.4697056121
41 214.2712239210
54 191.2244991905
58 171.8151560604
74 156.2295452959
96 155.3525689517
102 128.7590467816
122 119.7302001970
152 117.4485404843
160 113.4429155580
198 98.4815351966
199 84.1509876046
290 162.8548341217
evaluations raw_y
1 306.9328259552
12 225.0772321448
47 218.8183427075
57 165.1013456186
96 139.7279601127
154 124.8401906146
232 123.4687026137
249 121.9110396356
286 108.6558109628
290 164.4167239751
evaluations raw_y
1 856.3151430559
2 586.0886011180
3 533.9808444687
