evaluations raw_y
1 21808.1129578366
11 18706.0793228692
12 9456.1732287950
24 5198.9598923018
45 3414.2949044912
49 1408.0173978246
121 1113.1704265328
133 1102.9748199792
137 1061.3586005766
141 734.0738652439
142 515.2619306866
151 299.5984902223
189 107.3148417384
208 102.3556772915
214 95.7197077379
227 89.5858776933
240 52.2180418155
262 33.7981366756
290 80.4966240532
evaluations raw_y
1 51705.7973635951
6 7822.2859963223
41 4444.9037248137
61 3243.0547127296
66 1664.3090256699
100 1634.2869235430
103 670.5140149206
107 495.2198802479
172 297.1552941672
191 181.7106166145
208 148.0639872655
229 142.0432430626
231 134.4615067798
233 99.6164687725
239 85.7550623921
285 52.4248806513
290 146.6740981256
evaluations raw_y
1 131524.5979025412
2 75666.2481241803
3 32770.2928378833
4 28871.4862835904
5 6468.4117178476
70 5992.7295279453
74 5208.7311840818
78 2450.9088889480
92 2437.1902240983
95 1820.1517114204
96 771.1969088921
108 605.5876700223
118 494.2817285415
155 358.0191249260
190 245.5846423300
201 168.4185345177
237 38.7570364066
290 126.3297373683
evaluations raw_y
1 174042.8363299512
2 6417.0483321935
18 2769.5349145543
83 2385.3100289284
85 1340.6517830777
92 1285.6024491692
101 944.7942179432
121 725.7853320779
131 595.2050461701
134 587.0147272790
138 579.4484783024
144 161.8503963847
157 127.9930069794
227 105.7188574022
249 54.3212168771
290 83.1693446467
evaluations raw_y
1 66174.0825326630
4 37617.0351635143
6 17732.2872341588
8 4558.3182159589
9 3482.7134972033
64 1938.5888240729
136 636.7422349708
160 399.4093717067
180 287.8414455749
198 256.7961694412
204 204.0833119985
209 176.6743901110
260 159.7985916495
268 112.1508207491
278 108.4141556715
284 102.6542256758
287 85.2723205036
290 280.4252677186
evaluations raw_y
1 185064.8259418876
4 31963.8657125087
6 19684.0094186115
93 14826.7549892119
95 8775.9836183366
115 4159.4136513837
122 3044.4677507706
124 2373.0397811613
131 1531.8002339934
196 1203.5492540914
208 925.4056616587
222 704.9753977425
230 426.3780461263
279 192.7955922964
290 1981.2683136268
evaluations raw_y
1 258790.6731877516
2 49263.8723635475
5 23208.4178909167
18 8101.7361284558
41 4737.1548529184
78 3576.9775675646
81 2495.8863856740
86 2432.1355675259
87 1065.0962080328
101 429.5678996711
140 333.7428456440
170 328.9417322546
182 285.1661140904
188 254.0355834284
199 246.8963781265
225 212.3393436401
227 167.8481366522
236 141.1907312654
239 117.7844072392
265 100.4440347297
274 91.7987667615
279 78.1704141873
280 57.9786190130
290 130.7554799423
evaluations raw_y
1 361068.4849446790
2 64653.3626709128
3 40433.3135253841
8 36622.3064716015
13 32578.8183863906
15 21512.2890558580
18 18441.3092738517
26 5453.8081261508
33 4792.6332757554
35 4420.2497544039
50 4185.6799166097
64 1526.3598651965
121 1294.7880869952
127 1241.2625392932
133 931.4606376677
135 506.7062143799
208 447.2404977721
210 352.7525340995
213 344.9604039958
214 232.1202843343
215 99.9239074682
248 97.9301353862
288 89.4638654665
290 345.8361993716
evaluations raw_y
1 360599.7773967320
3 110301.8313164104
4 94640.7153026931
6 18795.9208933277
12 14717.2483387056
20 5469.4779792505
62 1470.0390267112
116 1009.9556613236
132 973.6530418988
140 653.2869076242
141 132.3625465433
162 111.5915328925
235 65.3458452460
245 54.3533227704
281 47.6054108889
290 100.8335516078
evaluations raw_y
1 175494.5291430702
2 40878.3258641926
7 40098.4209633773
8 29903.9167292469
23 23607.6945098601
29 9231.1277313188
35 4894.0894303584
43 4298.2405290363
62 4210.8625981560
73 1290.3345950905
91 1061.6621517820
100 915.1147891316
104 832.3358536530
114 713.8374964205
120 625.2960156886
141 523.1962575341
161 240.6543831160
239 161.0177814022
264 116.0519601426
272 107.2235329255
290 130.3564239563
evaluations raw_y
1 304057.2814036584
2 293137.9419117669
3 56645.7562583063
12 21192.0302195383
45 16092.7845561870
53 11422.5534213492
59 3110.2968528842
72 2382.8381010417
74 1951.1747963349
100 1713.6627310727
109 894.3487153441
118 870.2182225206
160 449.0614653141
166 265.2765404247
201 246.4598792104
205 216.6294967801
216 159.3620517770
238 152.4794932378
246 119.6570270820
250 70.5786818859
265 63.0228283265
281 59.4575320734
290 89.1243759430
evaluations raw_y
1 598183.6444481139
2 49488.5114340542
8 7234.0247360730
28 4268.2578821316
53 2480.0274726602
87 2143.3851707151
