evaluations raw_y
1 282650.8336667024
4 203731.6707204293
5 162323.0416441069
31 136028.6453882908
62 101295.5567200883
63 21979.4201253144
92 1175.3523971494
107 737.8714770441
165 162.0312672346
175 79.3894617788
177 73.4819394171
300 494155.2788393160
evaluations raw_y
1 282650.8336667024
4 203731.6707204293
5 162323.0416441069
31 136028.6453882908
62 101295.5567200883
63 21979.4201253144
92 1175.3523971494
107 737.8714770441
165 162.0312672346
175 79.3894617788
177 73.4819394171
300 494155.2788393160
evaluations raw_y
1 282650.8336667024
4 203731.6707204293
5 162323.0416441069
31 136028.6453882908
62 101295.5567200883
63 21979.4201253144
92 1175.3523971494
107 737.8714770441
165 162.0312672346
175 79.3894617788
177 73.4819394171
300 494155.2788393160
evaluations raw_y
1 282650.8336667024
4 203731.6707204293
5 162323.0416441069
31 136028.6453882908
62 101295.5567200883
63 21979.4201253144
92 1175.3523971494
107 737.8714770441
165 162.0312672346
175 79.3894617788
177 73.4819394171
300 494155.2788393160
evaluations raw_y
1 282650.8336667024
4 203731.6707204293
5 162323.0416441069
31 136028.6453882908
62 101295.5567200883
63 21979.4201253144
92 1175.3523971494
107 737.8714770441
165 162.0312672346
175 79.3894617788
177 73.4819394171
300 494155.2788393160
evaluations raw_y
1 3285275.7677322617
3 179923.1755252673
19 110720.2218982953
39 15697.4966231139
76 307.7675652459
124 193.5610697911
182 111.5975993668
242 79.7150559793
300 225426.2895096258
evaluations raw_y
1 3285275.7677322617
3 179923.1755252673
19 110720.2218982953
39 15697.4966231139
76 307.7675652459
124 193.5610697911
182 111.5975993668
242 79.7150559793
300 225426.2895096258
evaluations raw_y
1 3285275.7677322617
3 179923.1755252673
19 110720.2218982953
39 15697.4966231139
76 307.7675652459
124 193.5610697911
182 111.5975993668
242 79.7150559793
300 225426.2895096258
evaluations raw_y
1 3285275.7677322617
3 179923.1755252673
19 110720.2218982953
39 15697.4966231139
76 307.7675652459
124 193.5610697911
182 111.5975993668
242 79.7150559793
300 225426.2895096258
evaluations raw_y
1 3285275.7677322617
3 179923.1755252673
19 110720.2218982953
39 15697.4966231139
76 307.7675652459
124 193.5610697911
182 111.5975993668
242 79.7150559793
300 225426.2895096258
evaluations raw_y
1 9634421.2471736688
2 89515.5209573288
10 2289.7711321412
26 1721.1193442788
125 926.6521711454
130 771.5015915864
135 280.4000350442
159 255.6454241499
215 210.9995362421
289 196.1919551150
300 105982.8272009827
evaluations raw_y
1 9634421.2471736688
2 89515.5209573288
10 2289.7711321412
26 1721.1193442788
125 926.6521711454
130 771.5015915864
135 280.4000350442
159 255.6454241499
215 210.9995362421
289 196.1919551150
300 105982.8272009827
evaluations raw_y
1 9634421.2471736688
2 89515.5209573288
10 2289.7711321412
26 1721.1193442788
125 926.6521711454
130 771.5015915864
135 280.4000350442
159 255.6454241499
215 210.9995362421
289 196.1919551150
300 105982.8272009827
evaluations raw_y
1 9634421.2471736688
2 89515.5209573288
10 2289.7711321412
26 1721.1193442788
125 926.6521711454
130 771.5015915864
135 280.4000350442
159 255.6454241499
215 210.9995362421
289 196.1919551150
300 105982.8272009827
evaluations raw_y
1 9634421.2471736688
2 89515.5209573288
10 2289.7711321412
26 1721.1193442788
125 926.6521711454
130 771.5015915864
135 280.4000350442
159 255.6454241499
215 210.9995362421
289 196.1919551150
300 105982.8272009827
evaluations raw_y
1 2019062.7278989523
4 108249.5815692929
32 14466.7691130309
73 3693.5957171118
93 535.5608887273
138 143.0130236203
197 83.9659077259
300 1083.6336475114
evaluations raw_y
1 2019062.7278989523
