evaluations raw_y
1 67.0415623848
3 21.8929551651
6 13.3728442422
43 11.9850052267
57 11.1558127870
85 7.3095873392
132 5.5820896790
146 5.4738228286
178 4.0211913691
182 3.8083546289
184 3.4966365867
185 2.9120397573
228 2.9052690384
233 2.3763903325
246 2.2348302676
287 2.0012194106
289 1.8194736183
300 2.4411222446
evaluations raw_y
1 67.0415623848
3 21.8929551651
6 13.3728442422
43 11.9850052267
57 11.1558127870
85 7.3095873392
132 5.5820896790
146 5.4738228286
178 4.0211913691
182 3.8083546289
184 3.4966365867
185 2.9120397573
228 2.9052690384
233 2.3763903325
246 2.2348302676
287 2.0012194106
289 1.8194736183
300 2.4411222446
evaluations raw_y
1 67.0415623848
3 21.8929551651
6 13.3728442422
43 11.9850052267
57 11.1558127870
85 7.3095873392
132 5.5820896790
146 5.4738228286
178 4.0211913691
182 3.8083546289
184 3.4966365867
185 2.9120397573
228 2.9052690384
233 2.3763903325
246 2.2348302676
287 2.0012194106
289 1.8194736183
300 2.4411222446
evaluations raw_y
1 67.0415623848
3 21.8929551651
6 13.3728442422
43 11.9850052267
57 11.1558127870
85 7.3095873392
132 5.5820896790
146 5.4738228286
178 4.0211913691
182 3.8083546289
184 3.4966365867
185 2.9120397573
228 2.9052690384
233 2.3763903325
246 2.2348302676
287 2.0012194106
289 1.8194736183
300 2.4411222446
evaluations raw_y
1 67.0415623848
3 21.8929551651
6 13.3728442422
43 11.9850052267
57 11.1558127870
85 7.3095873392
132 5.5820896790
146 5.4738228286
178 4.0211913691
182 3.8083546289
184 3.4966365867
185 2.9120397573
228 2.9052690384
233 2.3763903325
246 2.2348302676
287 2.0012194106
289 1.8194736183
300 2.4411222446
evaluations raw_y
1 19.8622781164
4 6.7749520353
146 6.4494586814
185 6.0147007026
215 5.8520775326
226 5.3116863011
243 4.8777054731
245 4.6949339503
255 4.5457499336
263 3.4251402829
300 6.3659280921
evaluations raw_y
1 19.8622781164
4 6.7749520353
146 6.4494586814
185 6.0147007026
215 5.8520775326
226 5.3116863011
243 4.8777054731
245 4.6949339503
255 4.5457499336
263 3.4251402829
300 6.3659280921
evaluations raw_y
1 19.8622781164
4 6.7749520353
146 6.4494586814
185 6.0147007026
215 5.8520775326
226 5.3116863011
243 4.8777054731
245 4.6949339503
255 4.5457499336
263 3.4251402829
300 6.3659280921
evaluations raw_y
1 19.8622781164
4 6.7749520353
146 6.4494586814
185 6.0147007026
215 5.8520775326
226 5.3116863011
243 4.8777054731
245 4.6949339503
255 4.5457499336
263 3.4251402829
300 6.3659280921
evaluations raw_y
1 19.8622781164
4 6.7749520353
146 6.4494586814
185 6.0147007026
215 5.8520775326
226 5.3116863011
243 4.8777054731
245 4.6949339503
255 4.5457499336
263 3.4251402829
300 6.3659280921
evaluations raw_y
1 36.8497482439
3 26.3016246021
4 9.8201639493
56 8.5140127438
98 6.3212131671
144 5.3794257409
146 4.2918864253
149 4.1332811208
151 3.0952404894
203 2.3569286793
300 3.3935442833
evaluations raw_y
1 36.8497482439
3 26.3016246021
4 9.8201639493
56 8.5140127438
98 6.3212131671
144 5.3794257409
146 4.2918864253
149 4.1332811208
151 3.0952404894
203 2.3569286793
300 3.3935442833
evaluations raw_y
1 36.8497482439
3 26.3016246021
4 9.8201639493
56 8.5140127438
98 6.3212131671
144 5.3794257409
146 4.2918864253
149 4.1332811208
151 3.0952404894
203 2.3569286793
300 3.3935442833
evaluations raw_y
1 36.8497482439
3 26.3016246021
4 9.8201639493
56 8.5140127438
98 6.3212131671
144 5.3794257409
146 4.2918864253
149 4.1332811208
151 3.0952404894
203 2.3569286793
300 3.3935442833
evaluations raw_y
1 36.8497482439
3 26.3016246021
4 9.8201639493
56 8.5140127438
98 6.3212131671
144 5.3794257409
146 4.2918864253
149 4.1332811208
151 3.0952404894
203 2.3569286793
300 3.3935442833
evaluations raw_y
1 65.3136927250
2 14.6705280277
12 9.2727961830
61 7.4211017737
101 7.2827830202
104 7.2650185859
112 6.3646510559
132 5.7209810787
136 5.4749934275
137 5.0886451420
149 4.9047422349
180 3.2070811922
253 2.9880465156
300 4.7045825756
evaluations raw_y
1 65.3136927250
2 14.6705280277
12 9.2727961830
61 7.4211017737
101 7.2827830202
104 7.2650185859
112 6.3646510559
132 5.7209810787
136 5.4749934275
137 5.0886451420
149 4.9047422349
180 3.2070811922
253 2.9880465156
300 4.7045825756
evaluations raw_y
1 65.3136927250
2 14.6705280277
12 9.2727961830
61 7.4211017737
101 7.2827830202
104 7.2650185859
112 6.3646510559
132 5.7209810787
136 5.4749934275
137 5.0886451420
149 4.9047422349
180 3.2070811922
253 2.9880465156
300 4.7045825756
evaluations raw_y
1 65.3136927250
2 14.6705280277
12 9.2727961830
61 7.4211017737
101 7.2827830202
104 7.2650185859
112 6.3646510559
132 5.7209810787
136 5.4749934275
137 5.0886451420
149 4.9047422349
180 3.2070811922
253 2.9880465156
300 4.7045825756
evaluations raw_y
1 65.3136927250
2 14.6705280277
12 9.2727961830
61 7.4211017737
101 7.2827830202
104 7.2650185859
112 6.3646510559
132 5.7209810787
136 5.4749934275
137 5.0886451420
149 4.9047422349
180 3.2070811922
253 2.9880465156
300 4.7045825756
evaluations raw_y
1 27.1559694824
2 22.2527872008
3 16.2633789574
17 15.7833845274
21 14.1347154803
48 9.8146871841
52 8.8875915091
55 8.6267550753
61 5.4181233664
73 4.7618931162
106 4.5508032170
122 4.2588354284
136 4.2096309429
137 3.7682224485
141 3.3398638219
143 2.8680326129
172 2.7905493482
220 1.9390647729
300 3.6340283865
evaluations raw_y
1 27.1559694824
2 22.2527872008
3 16.2633789574
17 15.7833845274
21 14.1347154803
48 9.8146871841
52 8.8875915091
55 8.6267550753
61 5.4181233664
73 4.7618931162
106 4.5508032170
122 4.2588354284
136 4.2096309429
137 3.7682224485
141 3.3398638219
143 2.8680326129
172 2.7905493482
220 1.9390647729
300 3.6340283865
evaluations raw_y
1 27.1559694824
2 22.2527872008
3 16.2633789574
17 15.7833845274
21 14.1347154803
48 9.8146871841
52 8.8875915091
55 8.6267550753
61 5.4181233664
73 4.7618931162
106 4.5508032170
122 4.2588354284
136 4.2096309429
137 3.7682224485
141 3.3398638219
143 2.8680326129
172 2.7905493482
220 1.9390647729
300 3.6340283865
evaluations raw_y
1 27.1559694824
2 22.2527872008
3 16.2633789574
17 15.7833845274
21 14.1347154803
48 9.8146871841
52 8.8875915091
55 8.6267550753
61 5.4181233664
73 4.7618931162
106 4.5508032170
122 4.2588354284
136 4.2096309429
137 3.7682224485
