evaluations raw_y
1 56.3774303642
3 14.4200533507
52 12.2143859758
53 11.2770281811
64 9.2206264038
72 7.4719861548
122 6.4894335724
178 6.0048850332
179 5.8698142046
276 5.4264189248
278 3.1962464408
300 11.2464964768
evaluations raw_y
1 56.3774303642
3 14.4200533507
52 12.2143859758
53 11.2770281811
64 9.2206264038
72 7.4719861548
122 6.4894335724
178 6.0048850332
179 5.8698142046
276 5.4264189248
278 3.1962464408
300 11.2464964768
evaluations raw_y
1 56.3774303642
3 14.4200533507
52 12.2143859758
53 11.2770281811
64 9.2206264038
72 7.4719861548
122 6.4894335724
178 6.0048850332
179 5.8698142046
276 5.4264189248
278 3.1962464408
300 11.2464964768
evaluations raw_y
1 56.3774303642
3 14.4200533507
52 12.2143859758
53 11.2770281811
64 9.2206264038
72 7.4719861548
122 6.4894335724
178 6.0048850332
179 5.8698142046
276 5.4264189248
278 3.1962464408
300 11.2464964768
evaluations raw_y
1 56.3774303642
3 14.4200533507
52 12.2143859758
53 11.2770281811
64 9.2206264038
72 7.4719861548
122 6.4894335724
178 6.0048850332
179 5.8698142046
276 5.4264189248
278 3.1962464408
300 11.2464964768
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
85 9.9138257057
87 9.5346365938
95 9.4427124752
112 5.0875378209
300 14.6998298437
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
85 9.9138257057
87 9.5346365938
95 9.4427124752
112 5.0875378209
300 14.6998298437
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
85 9.9138257057
87 9.5346365938
95 9.4427124752
112 5.0875378209
300 14.6998298437
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
85 9.9138257057
87 9.5346365938
95 9.4427124752
112 5.0875378209
300 14.6998298437
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
85 9.9138257057
87 9.5346365938
95 9.4427124752
112 5.0875378209
300 14.6998298437
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
45 11.6261856141
54 10.7042150933
66 10.6148776494
67 9.9101597684
135 9.8056051741
146 8.1696419169
157 7.8220266849
199 7.6180623496
300 12.3990894822
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
45 11.6261856141
54 10.7042150933
66 10.6148776494
67 9.9101597684
135 9.8056051741
146 8.1696419169
157 7.8220266849
199 7.6180623496
300 12.3990894822
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
45 11.6261856141
54 10.7042150933
66 10.6148776494
67 9.9101597684
135 9.8056051741
146 8.1696419169
157 7.8220266849
199 7.6180623496
300 12.3990894822
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
45 11.6261856141
54 10.7042150933
66 10.6148776494
67 9.9101597684
135 9.8056051741
146 8.1696419169
157 7.8220266849
199 7.6180623496
300 12.3990894822
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
45 11.6261856141
54 10.7042150933
66 10.6148776494
67 9.9101597684
135 9.8056051741
146 8.1696419169
157 7.8220266849
199 7.6180623496
300 12.3990894822
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
56 10.2142837399
89 8.2841546829
212 6.8658019775
216 5.4953517145
300 13.3401590999
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
56 10.2142837399
89 8.2841546829
212 6.8658019775
216 5.4953517145
300 13.3401590999
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
56 10.2142837399
89 8.2841546829
212 6.8658019775
216 5.4953517145
300 13.3401590999
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
56 10.2142837399
89 8.2841546829
212 6.8658019775
216 5.4953517145
300 13.3401590999
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
56 10.2142837399
89 8.2841546829
212 6.8658019775
216 5.4953517145
300 13.3401590999
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
47 17.4768669283
49 10.0396745982
77 10.0065314127
95 9.3613678966
103 8.4901014293
115 6.9690257637
141 3.7787047322
300 15.1758776152
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
47 17.4768669283
49 10.0396745982
77 10.0065314127
95 9.3613678966
103 8.4901014293
115 6.9690257637
141 3.7787047322
