evaluations raw_y
1 462.7635835102
2 195.2937114958
44 184.9607236274
63 175.5000345205
86 152.4096165043
92 142.7265691324
110 121.1645151384
134 111.2290285588
198 95.8629231108
300 144.5354040496
evaluations raw_y
1 462.7635835102
2 195.2937114958
44 184.9607236274
63 175.5000345205
86 152.4096165043
92 142.7265691324
110 121.1645151384
134 111.2290285588
198 95.8629231108
300 144.5354040496
evaluations raw_y
1 462.7635835102
2 195.2937114958
44 184.9607236274
63 175.5000345205
86 152.4096165043
92 142.7265691324
110 121.1645151384
134 111.2290285588
198 95.8629231108
300 144.5354040496
evaluations raw_y
1 462.7635835102
2 195.2937114958
44 184.9607236274
63 175.5000345205
86 152.4096165043
92 142.7265691324
110 121.1645151384
134 111.2290285588
198 95.8629231108
300 144.5354040496
evaluations raw_y
1 462.7635835102
2 195.2937114958
44 184.9607236274
63 175.5000345205
86 152.4096165043
92 142.7265691324
110 121.1645151384
134 111.2290285588
198 95.8629231108
300 144.5354040496
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
43 178.8604547747
52 139.7516096751
67 116.1323495717
77 98.2870402859
86 89.6952569015
184 87.9820987991
193 79.6445316714
225 78.3424719809
300 193.0587102621
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
43 178.8604547747
52 139.7516096751
67 116.1323495717
77 98.2870402859
86 89.6952569015
184 87.9820987991
193 79.6445316714
225 78.3424719809
300 193.0587102621
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
43 178.8604547747
52 139.7516096751
67 116.1323495717
77 98.2870402859
86 89.6952569015
184 87.9820987991
193 79.6445316714
225 78.3424719809
300 193.0587102621
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
43 178.8604547747
52 139.7516096751
67 116.1323495717
77 98.2870402859
86 89.6952569015
184 87.9820987991
193 79.6445316714
225 78.3424719809
300 193.0587102621
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
43 178.8604547747
52 139.7516096751
67 116.1323495717
77 98.2870402859
86 89.6952569015
184 87.9820987991
193 79.6445316714
225 78.3424719809
300 193.0587102621
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
47 140.6075063283
92 119.6316099812
132 113.3941015876
145 85.6466441863
300 121.4888766341
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
47 140.6075063283
92 119.6316099812
132 113.3941015876
145 85.6466441863
300 121.4888766341
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
47 140.6075063283
92 119.6316099812
132 113.3941015876
145 85.6466441863
300 121.4888766341
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
47 140.6075063283
92 119.6316099812
132 113.3941015876
145 85.6466441863
300 121.4888766341
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
47 140.6075063283
92 119.6316099812
132 113.3941015876
145 85.6466441863
300 121.4888766341
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
51 178.7437213372
52 178.2394875477
53 177.3315927633
63 172.0706664675
64 149.1526111451
66 131.9501377558
79 128.7793224160
99 124.4747522382
155 118.9975762946
171 108.0996131522
172 103.4790469847
188 93.1951329076
300 173.1253013091
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
51 178.7437213372
52 178.2394875477
53 177.3315927633
63 172.0706664675
64 149.1526111451
66 131.9501377558
79 128.7793224160
99 124.4747522382
155 118.9975762946
171 108.0996131522
172 103.4790469847
188 93.1951329076
300 173.1253013091
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
51 178.7437213372
52 178.2394875477
53 177.3315927633
63 172.0706664675
64 149.1526111451
66 131.9501377558
79 128.7793224160
99 124.4747522382
155 118.9975762946
171 108.0996131522
172 103.4790469847
188 93.1951329076
300 173.1253013091
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
51 178.7437213372
52 178.2394875477
53 177.3315927633
63 172.0706664675
64 149.1526111451
66 131.9501377558
79 128.7793224160
99 124.4747522382
155 118.9975762946
171 108.0996131522
172 103.4790469847
188 93.1951329076
300 173.1253013091
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
51 178.7437213372
52 178.2394875477
53 177.3315927633
63 172.0706664675
64 149.1526111451
66 131.9501377558
79 128.7793224160
99 124.4747522382
155 118.9975762946
171 108.0996131522
172 103.4790469847
188 93.1951329076
300 173.1253013091
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
44 190.6662091088
45 185.2284437983
46 168.7753099892
66 147.8886964505
67 129.7308580026
72 117.7012072433
112 114.1451940103
121 98.6861680955
204 96.1576047786
269 93.0755077139
300 155.5507452428
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
44 190.6662091088
45 185.2284437983
46 168.7753099892
66 147.8886964505
67 129.7308580026
72 117.7012072433
112 114.1451940103
121 98.6861680955
204 96.1576047786
269 93.0755077139
300 155.5507452428
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
44 190.6662091088
45 185.2284437983
46 168.7753099892
66 147.8886964505
67 129.7308580026
72 117.7012072433
112 114.1451940103
121 98.6861680955
204 96.1576047786
269 93.0755077139
300 155.5507452428
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
44 190.6662091088
45 185.2284437983
46 168.7753099892
66 147.8886964505
67 129.7308580026
72 117.7012072433
112 114.1451940103
121 98.6861680955
204 96.1576047786
269 93.0755077139
300 155.5507452428
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
44 190.6662091088
45 185.2284437983
46 168.7753099892
66 147.8886964505
67 129.7308580026
72 117.7012072433
112 114.1451940103
121 98.6861680955
204 96.1576047786
269 93.0755077139
300 155.5507452428
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
57 191.4200127787
76 189.2801130114
77 185.2200320909
79 178.6716117269
82 161.9149425231
87 159.6262954495
94 128.9816813954
131 128.6286636022
132 123.6272755169
160 108.8647018461
177 105.7484622527
200 97.8055736702
265 91.4437019832
298 87.3385670467
300 165.6235545576
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
57 191.4200127787
76 189.2801130114
77 185.2200320909
79 178.6716117269
82 161.9149425231
87 159.6262954495
94 128.9816813954
131 128.6286636022
132 123.6272755169
160 108.8647018461
177 105.7484622527
200 97.8055736702
265 91.4437019832
298 87.3385670467
300 165.6235545576
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
57 191.4200127787
76 189.2801130114
77 185.2200320909
79 178.6716117269
82 161.9149425231
87 159.6262954495
94 128.9816813954
131 128.6286636022
132 123.6272755169
160 108.8647018461
177 105.7484622527
200 97.8055736702
265 91.4437019832
298 87.3385670467
300 165.6235545576
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
57 191.4200127787
76 189.2801130114
77 185.2200320909
79 178.6716117269
82 161.9149425231
87 159.6262954495
94 128.9816813954
131 128.6286636022
132 123.6272755169
160 108.8647018461
177 105.7484622527
200 97.8055736702
265 91.4437019832
298 87.3385670467
300 165.6235545576
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
57 191.4200127787
76 189.2801130114
77 185.2200320909
79 178.6716117269
82 161.9149425231
87 159.6262954495
94 128.9816813954
131 128.6286636022
132 123.6272755169
160 108.8647018461
177 105.7484622527
200 97.8055736702
265 91.4437019832
298 87.3385670467
300 165.6235545576
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
42 233.0944546223
55 176.1369540116
62 146.7967796402
93 144.8597634495
102 132.6352279661
129 124.6673836614
132 117.4226726588
172 105.9693795326
249 88.8176218008
259 81.3505303597
300 132.8966592220
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
42 233.0944546223
55 176.1369540116
62 146.7967796402
93 144.8597634495
102 132.6352279661
129 124.6673836614
132 117.4226726588
172 105.9693795326
249 88.8176218008
259 81.3505303597
300 132.8966592220
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
42 233.0944546223
55 176.1369540116
62 146.7967796402
93 144.8597634495
102 132.6352279661
129 124.6673836614
132 117.4226726588
172 105.9693795326
249 88.8176218008
259 81.3505303597
300 132.8966592220
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
42 233.0944546223
55 176.1369540116
62 146.7967796402
93 144.8597634495
102 132.6352279661
129 124.6673836614
132 117.4226726588
172 105.9693795326
249 88.8176218008
259 81.3505303597
300 132.8966592220
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
42 233.0944546223
55 176.1369540116
62 146.7967796402
93 144.8597634495
102 132.6352279661
129 124.6673836614
132 117.4226726588
172 105.9693795326
249 88.8176218008
259 81.3505303597
300 132.8966592220
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
48 194.5964081691
50 192.5359808076
52 192.0102697395
62 139.5385334588
76 133.7065947538
164 124.8380998030
166 112.4707796865
279 77.8895902125
300 144.4960681120
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
48 194.5964081691
50 192.5359808076
52 192.0102697395
62 139.5385334588
76 133.7065947538
164 124.8380998030
166 112.4707796865
279 77.8895902125
300 144.4960681120
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
48 194.5964081691
50 192.5359808076
52 192.0102697395
62 139.5385334588
76 133.7065947538
164 124.8380998030
166 112.4707796865
279 77.8895902125
300 144.4960681120
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
48 194.5964081691
50 192.5359808076
52 192.0102697395
62 139.5385334588
76 133.7065947538
164 124.8380998030
166 112.4707796865
279 77.8895902125
300 144.4960681120
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
48 194.5964081691
50 192.5359808076
52 192.0102697395
62 139.5385334588
76 133.7065947538
164 124.8380998030
166 112.4707796865
279 77.8895902125
300 144.4960681120
evaluations raw_y
