evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
50 222.5596201004
59 148.8710443973
62 145.3144959095
64 130.6750013353
83 93.5370283422
176 91.0128695860
229 82.9794588851
300 172.9228232541
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
50 222.5596201004
59 148.8710443973
62 145.3144959095
64 130.6750013353
83 93.5370283422
176 91.0128695860
229 82.9794588851
300 172.9228232541
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
50 222.5596201004
59 148.8710443973
62 145.3144959095
64 130.6750013353
83 93.5370283422
176 91.0128695860
229 82.9794588851
300 172.9228232541
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
50 222.5596201004
59 148.8710443973
62 145.3144959095
64 130.6750013353
83 93.5370283422
176 91.0128695860
229 82.9794588851
300 172.9228232541
evaluations raw_y
1 631.1712496413
7 493.5381762490
9 472.4428538896
10 353.4025123442
18 242.6241859546
50 222.5596201004
59 148.8710443973
62 145.3144959095
64 130.6750013353
83 93.5370283422
176 91.0128695860
229 82.9794588851
300 172.9228232541
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
33 256.7495444273
35 161.2041120449
94 128.4205425526
135 125.2979406227
141 106.8768834865
174 98.8379835802
187 56.4147256640
300 101.3422534016
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
33 256.7495444273
35 161.2041120449
94 128.4205425526
135 125.2979406227
141 106.8768834865
174 98.8379835802
187 56.4147256640
300 101.3422534016
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
33 256.7495444273
35 161.2041120449
94 128.4205425526
135 125.2979406227
141 106.8768834865
174 98.8379835802
187 56.4147256640
300 101.3422534016
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
33 256.7495444273
35 161.2041120449
94 128.4205425526
135 125.2979406227
141 106.8768834865
174 98.8379835802
187 56.4147256640
300 101.3422534016
evaluations raw_y
1 541.4803694623
10 392.5384468698
17 355.1537541408
33 256.7495444273
35 161.2041120449
94 128.4205425526
135 125.2979406227
141 106.8768834865
174 98.8379835802
187 56.4147256640
300 101.3422534016
evaluations raw_y
1 1202.6010985119
2 258.9804064531
54 174.6989837340
55 162.3533797025
112 149.2269019018
113 131.7469877826
124 113.8961740683
151 112.5761949162
154 111.5295953318
155 110.0994942349
158 109.5845196112
163 109.2764178028
174 101.7037361500
224 82.9969744489
238 82.7093253127
239 74.1712933864
246 67.2930861613
300 140.4331330861
evaluations raw_y
1 1202.6010985119
2 258.9804064531
54 174.6989837340
55 162.3533797025
112 149.2269019018
113 131.7469877826
124 113.8961740683
151 112.5761949162
154 111.5295953318
155 110.0994942349
158 109.5845196112
163 109.2764178028
174 101.7037361500
224 82.9969744489
238 82.7093253127
239 74.1712933864
246 67.2930861613
300 140.4331330861
evaluations raw_y
1 1202.6010985119
2 258.9804064531
54 174.6989837340
55 162.3533797025
112 149.2269019018
113 131.7469877826
124 113.8961740683
151 112.5761949162
154 111.5295953318
155 110.0994942349
158 109.5845196112
163 109.2764178028
174 101.7037361500
224 82.9969744489
238 82.7093253127
239 74.1712933864
246 67.2930861613
300 140.4331330861
evaluations raw_y
