evaluations raw_y
1 1568.8291542587
2 622.2141699921
4 471.4025448697
9 360.6558503270
16 343.3473743306
51 244.6882969111
55 192.4490686036
93 190.5774508097
102 188.7279969645
108 187.6077849555
109 133.2326861486
161 131.2518436414
162 127.6560698154
164 123.4162993430
173 99.8714676594
188 70.2529082188
300 159.5128986824
evaluations raw_y
1 1568.8291542587
2 622.2141699921
4 471.4025448697
9 360.6558503270
16 343.3473743306
51 244.6882969111
55 192.4490686036
93 190.5774508097
102 188.7279969645
108 187.6077849555
109 133.2326861486
161 131.2518436414
162 127.6560698154
164 123.4162993430
173 99.8714676594
188 70.2529082188
300 159.5128986824
evaluations raw_y
1 1568.8291542587
2 622.2141699921
4 471.4025448697
9 360.6558503270
16 343.3473743306
51 244.6882969111
55 192.4490686036
93 190.5774508097
102 188.7279969645
108 187.6077849555
109 133.2326861486
161 131.2518436414
162 127.6560698154
164 123.4162993430
173 99.8714676594
188 70.2529082188
300 159.5128986824
evaluations raw_y
1 1568.8291542587
2 622.2141699921
4 471.4025448697
9 360.6558503270
16 343.3473743306
51 244.6882969111
55 192.4490686036
93 190.5774508097
102 188.7279969645
108 187.6077849555
109 133.2326861486
161 131.2518436414
162 127.6560698154
164 123.4162993430
173 99.8714676594
188 70.2529082188
300 159.5128986824
evaluations raw_y
1 1568.8291542587
2 622.2141699921
4 471.4025448697
9 360.6558503270
16 343.3473743306
51 244.6882969111
55 192.4490686036
93 190.5774508097
102 188.7279969645
108 187.6077849555
109 133.2326861486
161 131.2518436414
162 127.6560698154
164 123.4162993430
173 99.8714676594
188 70.2529082188
300 159.5128986824
evaluations raw_y
1 6740.8716410093
2 3431.1091312256
4 506.2957247619
9 501.2777783531
15 419.5363247262
35 348.6772609802
44 327.5244836019
55 278.6305235679
74 211.7966000640
78 196.3112142276
91 149.9341801517
124 144.6259516111
157 107.2579755600
300 180.2232979961
evaluations raw_y
1 6740.8716410093
2 3431.1091312256
4 506.2957247619
9 501.2777783531
15 419.5363247262
35 348.6772609802
44 327.5244836019
55 278.6305235679
74 211.7966000640
78 196.3112142276
91 149.9341801517
124 144.6259516111
157 107.2579755600
300 180.2232979961
evaluations raw_y
1 6740.8716410093
2 3431.1091312256
4 506.2957247619
9 501.2777783531
15 419.5363247262
35 348.6772609802
44 327.5244836019
55 278.6305235679
74 211.7966000640
78 196.3112142276
91 149.9341801517
124 144.6259516111
157 107.2579755600
300 180.2232979961
evaluations raw_y
1 6740.8716410093
2 3431.1091312256
4 506.2957247619
9 501.2777783531
15 419.5363247262
35 348.6772609802
44 327.5244836019
55 278.6305235679
74 211.7966000640
78 196.3112142276
91 149.9341801517
124 144.6259516111
157 107.2579755600
300 180.2232979961
evaluations raw_y
1 6740.8716410093
2 3431.1091312256
4 506.2957247619
9 501.2777783531
15 419.5363247262
35 348.6772609802
44 327.5244836019
55 278.6305235679
74 211.7966000640
78 196.3112142276
91 149.9341801517
124 144.6259516111
157 107.2579755600
300 180.2232979961
evaluations raw_y
1 2401.5912303675
2 518.5616739983
11 472.3699024000
22 443.6856499371
43 352.4552974858
56 322.5188595902
57 298.7361949683
84 262.8303703703
86 252.3592420325
97 247.7355563024
125 240.2489482538
160 238.6699053643
166 174.1771828220
300 229.3929510858
evaluations raw_y
1 2401.5912303675
2 518.5616739983
11 472.3699024000
22 443.6856499371
43 352.4552974858
56 322.5188595902
57 298.7361949683
84 262.8303703703
86 252.3592420325
97 247.7355563024
125 240.2489482538
160 238.6699053643
166 174.1771828220
300 229.3929510858
evaluations raw_y
1 2401.5912303675
2 518.5616739983
11 472.3699024000
22 443.6856499371
43 352.4552974858
56 322.5188595902
57 298.7361949683
84 262.8303703703
86 252.3592420325
97 247.7355563024
125 240.2489482538
160 238.6699053643
166 174.1771828220
300 229.3929510858
evaluations raw_y
1 2401.5912303675
2 518.5616739983
11 472.3699024000
22 443.6856499371
43 352.4552974858
56 322.5188595902
57 298.7361949683
84 262.8303703703
86 252.3592420325
97 247.7355563024
125 240.2489482538
160 238.6699053643
166 174.1771828220
300 229.3929510858
evaluations raw_y
1 2401.5912303675
2 518.5616739983
11 472.3699024000
22 443.6856499371
43 352.4552974858
56 322.5188595902
57 298.7361949683
84 262.8303703703
86 252.3592420325
97 247.7355563024
125 240.2489482538
160 238.6699053643
166 174.1771828220
300 229.3929510858
evaluations raw_y
1 1588.1425137960
2 472.4074631133
12 418.4018908771
49 345.2994287826
66 340.9831094360
68 322.7433974031
72 228.7516121672
106 170.5035227960
162 138.1942878824
180 109.4457038728
256 92.7893013563
300 211.2959375929
evaluations raw_y
1 1588.1425137960
2 472.4074631133
12 418.4018908771
49 345.2994287826
66 340.9831094360
68 322.7433974031
72 228.7516121672
106 170.5035227960
162 138.1942878824
180 109.4457038728
256 92.7893013563
300 211.2959375929
evaluations raw_y
1 1588.1425137960
2 472.4074631133
12 418.4018908771
49 345.2994287826
66 340.9831094360
68 322.7433974031
72 228.7516121672
106 170.5035227960
162 138.1942878824
180 109.4457038728
256 92.7893013563
300 211.2959375929
evaluations raw_y
1 1588.1425137960
2 472.4074631133
12 418.4018908771
49 345.2994287826
66 340.9831094360
68 322.7433974031
72 228.7516121672
106 170.5035227960
162 138.1942878824
180 109.4457038728
256 92.7893013563
300 211.2959375929
evaluations raw_y
1 1588.1425137960
2 472.4074631133
12 418.4018908771
49 345.2994287826
66 340.9831094360
68 322.7433974031
72 228.7516121672
106 170.5035227960
162 138.1942878824
180 109.4457038728
256 92.7893013563
300 211.2959375929
evaluations raw_y
1 11696.4426862651
2 859.9294216107
3 316.6112406804
24 310.3711600198
54 309.4575575453
59 243.4597654402
88 177.5536964627
112 158.6677525358
149 144.8193634238
150 124.8508965207
193 110.2258163749
300 178.0334299472
evaluations raw_y
1 11696.4426862651
2 859.9294216107
3 316.6112406804
24 310.3711600198
54 309.4575575453
59 243.4597654402
88 177.5536964627
112 158.6677525358
149 144.8193634238
150 124.8508965207
193 110.2258163749
300 178.0334299472
evaluations raw_y
1 11696.4426862651
2 859.9294216107
3 316.6112406804
24 310.3711600198
54 309.4575575453
59 243.4597654402
88 177.5536964627
112 158.6677525358
149 144.8193634238
150 124.8508965207
193 110.2258163749
300 178.0334299472
evaluations raw_y
1 11696.4426862651
2 859.9294216107
3 316.6112406804
24 310.3711600198
54 309.4575575453
59 243.4597654402
88 177.5536964627
112 158.6677525358
149 144.8193634238
150 124.8508965207
193 110.2258163749
300 178.0334299472
evaluations raw_y
1 11696.4426862651
2 859.9294216107
3 316.6112406804
24 310.3711600198
54 309.4575575453
59 243.4597654402
88 177.5536964627
112 158.6677525358
149 144.8193634238
150 124.8508965207
193 110.2258163749
300 178.0334299472
evaluations raw_y
1 730.1203918815
7 529.6674040365
14 461.6427900815
42 417.4143250252
