evaluations raw_y
1 813.9516769134
9 359.2455551360
38 147.2673306205
55 146.6198402641
86 41.0790230993
102 37.8455846933
124 33.6215670176
145 22.5474907619
249 21.7778608033
253 21.3016506075
291 19.0817719859
300 41.6127333645
evaluations raw_y
1 813.9516769134
9 359.2455551360
38 147.2673306205
55 146.6198402641
86 41.0790230993
102 37.8455846933
124 33.6215670176
145 22.5474907619
249 21.7778608033
253 21.3016506075
291 19.0817719859
300 41.6127333645
evaluations raw_y
1 813.9516769134
9 359.2455551360
38 147.2673306205
55 146.6198402641
86 41.0790230993
102 37.8455846933
124 33.6215670176
145 22.5474907619
249 21.7778608033
253 21.3016506075
291 19.0817719859
300 41.6127333645
evaluations raw_y
1 813.9516769134
9 359.2455551360
38 147.2673306205
55 146.6198402641
86 41.0790230993
102 37.8455846933
124 33.6215670176
145 22.5474907619
249 21.7778608033
253 21.3016506075
291 19.0817719859
300 41.6127333645
evaluations raw_y
1 813.9516769134
9 359.2455551360
38 147.2673306205
55 146.6198402641
86 41.0790230993
102 37.8455846933
124 33.6215670176
145 22.5474907619
249 21.7778608033
253 21.3016506075
291 19.0817719859
300 41.6127333645
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
31 260.2585850941
43 205.1949448366
57 173.1044296945
60 87.0228356748
135 76.7373082054
136 61.6644347032
174 60.4215026958
188 50.3754480348
192 49.2988000167
193 41.4652433032
194 36.5830595923
206 30.7793905441
239 23.2409475655
265 19.7178617130
300 28.2748808260
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
31 260.2585850941
43 205.1949448366
57 173.1044296945
60 87.0228356748
135 76.7373082054
136 61.6644347032
174 60.4215026958
188 50.3754480348
192 49.2988000167
193 41.4652433032
194 36.5830595923
206 30.7793905441
239 23.2409475655
265 19.7178617130
300 28.2748808260
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
31 260.2585850941
43 205.1949448366
57 173.1044296945
60 87.0228356748
135 76.7373082054
136 61.6644347032
174 60.4215026958
188 50.3754480348
192 49.2988000167
193 41.4652433032
194 36.5830595923
206 30.7793905441
239 23.2409475655
265 19.7178617130
300 28.2748808260
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
31 260.2585850941
43 205.1949448366
57 173.1044296945
60 87.0228356748
135 76.7373082054
136 61.6644347032
174 60.4215026958
188 50.3754480348
192 49.2988000167
193 41.4652433032
194 36.5830595923
206 30.7793905441
239 23.2409475655
265 19.7178617130
300 28.2748808260
evaluations raw_y
1 1463.9624763033
4 930.9967531577
5 817.3851263926
6 610.1736549426
8 357.9565153977
16 301.5364403155
31 260.2585850941
43 205.1949448366
57 173.1044296945
60 87.0228356748
135 76.7373082054
136 61.6644347032
174 60.4215026958
188 50.3754480348
192 49.2988000167
193 41.4652433032
194 36.5830595923
206 30.7793905441
239 23.2409475655
265 19.7178617130
300 28.2748808260
evaluations raw_y
1 340.2910336884
24 260.1819289070
59 119.3540793880
69 103.2339684291
78 95.2707310983
84 80.9083323911
86 76.9744680404
91 54.3761102116
103 48.9051238108
137 41.0951329558
191 40.1871679549
204 38.7385353843
205 37.2023045073
212 32.9926920256
217 30.7387396882
270 25.7263109047
272 21.8027979141
277 18.1647512356
300 50.2882376534
evaluations raw_y
1 340.2910336884
24 260.1819289070
59 119.3540793880
69 103.2339684291
78 95.2707310983
84 80.9083323911
86 76.9744680404
91 54.3761102116
103 48.9051238108
137 41.0951329558
191 40.1871679549
204 38.7385353843
205 37.2023045073
212 32.9926920256
217 30.7387396882
270 25.7263109047
272 21.8027979141
277 18.1647512356
300 50.2882376534
evaluations raw_y
1 340.2910336884
24 260.1819289070
59 119.3540793880
69 103.2339684291
78 95.2707310983
84 80.9083323911
86 76.9744680404
91 54.3761102116
103 48.9051238108
137 41.0951329558
191 40.1871679549
204 38.7385353843
205 37.2023045073
212 32.9926920256
217 30.7387396882
270 25.7263109047
272 21.8027979141
277 18.1647512356
300 50.2882376534
evaluations raw_y
1 340.2910336884
24 260.1819289070
59 119.3540793880
69 103.2339684291
78 95.2707310983
84 80.9083323911
86 76.9744680404
91 54.3761102116
103 48.9051238108
137 41.0951329558
191 40.1871679549
204 38.7385353843
205 37.2023045073
212 32.9926920256
217 30.7387396882
270 25.7263109047
272 21.8027979141
277 18.1647512356
300 50.2882376534
evaluations raw_y
1 340.2910336884
24 260.1819289070
59 119.3540793880
69 103.2339684291
78 95.2707310983
84 80.9083323911
86 76.9744680404
91 54.3761102116
103 48.9051238108
137 41.0951329558
191 40.1871679549
204 38.7385353843
205 37.2023045073
212 32.9926920256
217 30.7387396882
270 25.7263109047
272 21.8027979141
277 18.1647512356
300 50.2882376534
evaluations raw_y
1 548.6372857825
3 333.2863702457
5 238.5323657448
28 155.1276141436
45 42.3937498756
95 20.1674505167
112 16.1162326362
113 12.4034891859
169 11.0531619467
192 10.6139067286
204 7.0303443478
300 20.6119813290
evaluations raw_y
1 548.6372857825
3 333.2863702457
5 238.5323657448
28 155.1276141436
45 42.3937498756
95 20.1674505167
112 16.1162326362
113 12.4034891859
169 11.0531619467
192 10.6139067286
204 7.0303443478
300 20.6119813290
evaluations raw_y
1 548.6372857825
3 333.2863702457
5 238.5323657448
28 155.1276141436
