evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
39 951.5240198962
116 915.4863992525
122 908.2621260135
141 899.4405405270
142 862.7139042677
159 814.0364121569
162 685.7478837824
163 670.7654336664
165 638.7334275039
179 614.5283372036
184 525.9117648546
186 420.8419098890
193 413.0750762634
202 374.7498434912
227 367.8749651006
283 328.4564527578
291 323.8708361024
294 284.3540720798
300 2244.2408039724
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
39 951.5240198962
116 915.4863992525
122 908.2621260135
141 899.4405405270
142 862.7139042677
159 814.0364121569
162 685.7478837824
163 670.7654336664
165 638.7334275039
179 614.5283372036
184 525.9117648546
186 420.8419098890
193 413.0750762634
202 374.7498434912
227 367.8749651006
283 328.4564527578
291 323.8708361024
294 284.3540720798
300 2244.2408039724
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
39 951.5240198962
116 915.4863992525
122 908.2621260135
141 899.4405405270
142 862.7139042677
159 814.0364121569
162 685.7478837824
163 670.7654336664
165 638.7334275039
179 614.5283372036
184 525.9117648546
186 420.8419098890
193 413.0750762634
202 374.7498434912
227 367.8749651006
283 328.4564527578
291 323.8708361024
294 284.3540720798
300 2244.2408039724
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
39 951.5240198962
116 915.4863992525
122 908.2621260135
141 899.4405405270
142 862.7139042677
159 814.0364121569
162 685.7478837824
163 670.7654336664
165 638.7334275039
179 614.5283372036
184 525.9117648546
186 420.8419098890
193 413.0750762634
202 374.7498434912
227 367.8749651006
283 328.4564527578
291 323.8708361024
294 284.3540720798
300 2244.2408039724
evaluations raw_y
1 3011.1770234146
2 2092.8842759301
3 1491.8854664492
4 1225.2709810624
39 951.5240198962
116 915.4863992525
122 908.2621260135
141 899.4405405270
142 862.7139042677
159 814.0364121569
162 685.7478837824
163 670.7654336664
165 638.7334275039
179 614.5283372036
184 525.9117648546
186 420.8419098890
193 413.0750762634
202 374.7498434912
227 367.8749651006
283 328.4564527578
291 323.8708361024
294 284.3540720798
300 2244.2408039724
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
121 1118.7404826287
131 978.3674579503
145 951.1733880059
163 913.8346491668
176 796.5663441101
194 700.3828830928
202 698.4256899429
217 665.2122554123
219 658.8650325526
244 645.5616677333
251 598.0015618077
257 569.2028707136
258 506.6420953996
267 445.9578108662
271 403.6290150009
281 386.6901837240
289 348.5139495497
300 2522.1183509124
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
121 1118.7404826287
131 978.3674579503
145 951.1733880059
163 913.8346491668
176 796.5663441101
194 700.3828830928
202 698.4256899429
217 665.2122554123
219 658.8650325526
244 645.5616677333
251 598.0015618077
257 569.2028707136
258 506.6420953996
267 445.9578108662
271 403.6290150009
281 386.6901837240
289 348.5139495497
300 2522.1183509124
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
121 1118.7404826287
131 978.3674579503
145 951.1733880059
163 913.8346491668
176 796.5663441101
194 700.3828830928
202 698.4256899429
217 665.2122554123
219 658.8650325526
244 645.5616677333
251 598.0015618077
257 569.2028707136
258 506.6420953996
267 445.9578108662
271 403.6290150009
281 386.6901837240
289 348.5139495497
300 2522.1183509124
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
121 1118.7404826287
131 978.3674579503
145 951.1733880059
163 913.8346491668
176 796.5663441101
194 700.3828830928
202 698.4256899429
217 665.2122554123
219 658.8650325526
244 645.5616677333
251 598.0015618077
257 569.2028707136
258 506.6420953996
267 445.9578108662
271 403.6290150009
281 386.6901837240
289 348.5139495497
300 2522.1183509124
evaluations raw_y
1 1557.6475278028
3 1193.4148371151
121 1118.7404826287
131 978.3674579503
145 951.1733880059
163 913.8346491668
176 796.5663441101
194 700.3828830928
202 698.4256899429
217 665.2122554123
219 658.8650325526
244 645.5616677333
251 598.0015618077
257 569.2028707136
258 506.6420953996
267 445.9578108662
271 403.6290150009
281 386.6901837240
289 348.5139495497
300 2522.1183509124
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1471.0381600904
72 1402.2989669370
92 1271.3863035310
113 1229.2498200059
129 1155.0288104356
131 1148.2815250693
134 1146.8093300167
141 1134.1392357414
144 1089.5984398525
149 1003.9138141916
162 980.0273787570
163 949.9143248053
172 895.4029988185
174 875.3531774593
178 818.7949077805
182 760.3518404589
185 639.2353957199
192 582.1635058656
194 520.4058411261
205 406.9498606955
242 400.6842378748
252 366.4092675686
300 1816.2508100519
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1471.0381600904
72 1402.2989669370
92 1271.3863035310
113 1229.2498200059
129 1155.0288104356
131 1148.2815250693
134 1146.8093300167
141 1134.1392357414
144 1089.5984398525
149 1003.9138141916
162 980.0273787570
163 949.9143248053
172 895.4029988185
174 875.3531774593
178 818.7949077805
182 760.3518404589
185 639.2353957199
192 582.1635058656
194 520.4058411261
205 406.9498606955
242 400.6842378748
252 366.4092675686
300 1816.2508100519
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1471.0381600904
72 1402.2989669370
92 1271.3863035310
113 1229.2498200059
129 1155.0288104356
131 1148.2815250693
134 1146.8093300167
141 1134.1392357414
144 1089.5984398525
149 1003.9138141916
162 980.0273787570
163 949.9143248053
172 895.4029988185
174 875.3531774593
178 818.7949077805
182 760.3518404589
185 639.2353957199
192 582.1635058656
194 520.4058411261
205 406.9498606955
242 400.6842378748
252 366.4092675686
300 1816.2508100519
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1471.0381600904
72 1402.2989669370
92 1271.3863035310
113 1229.2498200059
129 1155.0288104356
131 1148.2815250693
134 1146.8093300167
141 1134.1392357414
144 1089.5984398525
149 1003.9138141916
162 980.0273787570
163 949.9143248053
172 895.4029988185
174 875.3531774593
178 818.7949077805
182 760.3518404589
185 639.2353957199
192 582.1635058656
194 520.4058411261
205 406.9498606955
242 400.6842378748
252 366.4092675686
300 1816.2508100519
evaluations raw_y
1 1941.3312313353
2 1773.8790566813
8 1716.6425976666
14 1679.6347149417
21 1588.7804109255
40 1471.0381600904
72 1402.2989669370
92 1271.3863035310
113 1229.2498200059
129 1155.0288104356
131 1148.2815250693
134 1146.8093300167
141 1134.1392357414
144 1089.5984398525
149 1003.9138141916
162 980.0273787570
163 949.9143248053
172 895.4029988185
174 875.3531774593
178 818.7949077805
182 760.3518404589
185 639.2353957199
192 582.1635058656
194 520.4058411261
205 406.9498606955
242 400.6842378748
252 366.4092675686
300 1816.2508100519
evaluations raw_y
1 2485.2754922965
