evaluations raw_y
1 56.3774303642
3 14.4200533507
106 13.3860017283
125 10.1248355736
178 7.6872445544
180 6.0805919675
300 34.2699617457
evaluations raw_y
1 56.3774303642
3 14.4200533507
106 13.3860017283
125 10.1248355736
178 7.6872445544
180 6.0805919675
300 34.2699617457
evaluations raw_y
1 56.3774303642
3 14.4200533507
106 13.3860017283
125 10.1248355736
178 7.6872445544
180 6.0805919675
300 34.2699617457
evaluations raw_y
1 56.3774303642
3 14.4200533507
106 13.3860017283
125 10.1248355736
178 7.6872445544
180 6.0805919675
300 34.2699617457
evaluations raw_y
1 56.3774303642
3 14.4200533507
106 13.3860017283
125 10.1248355736
178 7.6872445544
180 6.0805919675
300 34.2699617457
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
78 12.8785266551
100 6.4820872841
300 42.3957061051
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
78 12.8785266551
100 6.4820872841
300 42.3957061051
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
78 12.8785266551
100 6.4820872841
300 42.3957061051
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
78 12.8785266551
100 6.4820872841
300 42.3957061051
evaluations raw_y
1 75.9934096754
2 72.1315127733
3 39.5315576614
7 20.5320930065
27 19.7893474447
30 12.9395651599
78 12.8785266551
100 6.4820872841
300 42.3957061051
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 17.8565071497
34 17.4369202318
44 15.3501432287
98 11.8045277933
99 7.5157457659
172 7.3075684367
178 6.5350381695
218 5.9900119071
300 32.3125331999
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 17.8565071497
34 17.4369202318
44 15.3501432287
98 11.8045277933
99 7.5157457659
172 7.3075684367
178 6.5350381695
218 5.9900119071
300 32.3125331999
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 17.8565071497
34 17.4369202318
44 15.3501432287
98 11.8045277933
99 7.5157457659
172 7.3075684367
178 6.5350381695
218 5.9900119071
300 32.3125331999
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 17.8565071497
34 17.4369202318
44 15.3501432287
98 11.8045277933
99 7.5157457659
172 7.3075684367
178 6.5350381695
218 5.9900119071
300 32.3125331999
evaluations raw_y
1 40.1331792334
3 31.4957705696
5 28.7783947701
8 23.1486131295
13 20.7844702440
22 17.9759955510
32 17.8565071497
34 17.4369202318
44 15.3501432287
98 11.8045277933
99 7.5157457659
172 7.3075684367
178 6.5350381695
218 5.9900119071
300 32.3125331999
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
126 10.4334074437
139 7.8445172663
180 7.0608941937
189 6.9359687596
300 35.4241278370
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
126 10.4334074437
139 7.8445172663
180 7.0608941937
189 6.9359687596
300 35.4241278370
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
126 10.4334074437
139 7.8445172663
180 7.0608941937
189 6.9359687596
300 35.4241278370
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
126 10.4334074437
139 7.8445172663
180 7.0608941937
189 6.9359687596
300 35.4241278370
evaluations raw_y
1 118.3695963904
2 59.9997372624
3 41.2444402448
4 38.0402753211
7 32.0727011830
14 24.8594084139
26 11.0545814844
126 10.4334074437
139 7.8445172663
180 7.0608941937
189 6.9359687596
300 35.4241278370
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
49 17.2087972277
66 15.0176258518
105 12.6779195795
125 10.1797498957
151 8.6057523832
272 7.4641621461
300 43.7629254672
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
49 17.2087972277
66 15.0176258518
105 12.6779195795
125 10.1797498957
151 8.6057523832
272 7.4641621461
300 43.7629254672
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
49 17.2087972277
66 15.0176258518
105 12.6779195795
125 10.1797498957
151 8.6057523832
272 7.4641621461
300 43.7629254672
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
49 17.2087972277
66 15.0176258518
105 12.6779195795
125 10.1797498957
151 8.6057523832
272 7.4641621461
300 43.7629254672
evaluations raw_y
1 77.7106504310
2 38.5921151285
4 18.8335737694
49 17.2087972277
66 15.0176258518
105 12.6779195795
125 10.1797498957
151 8.6057523832
272 7.4641621461
300 43.7629254672
evaluations raw_y
1 35.5901057103
7 35.4093282603
