evaluations raw_y
1 73.5146567592
16 46.1440110796
57 45.2150224514
100 44.0161754710
137 43.1814007614
139 41.0288882232
144 40.6025310814
146 35.8648394635
149 34.3401726418
151 30.5008666753
160 27.9199425809
173 25.3426430778
284 25.3411154156
300 67.1953687349
evaluations raw_y
1 73.5146567592
16 46.1440110796
57 45.2150224514
100 44.0161754710
137 43.1814007614
139 41.0288882232
144 40.6025310814
146 35.8648394635
149 34.3401726418
151 30.5008666753
160 27.9199425809
173 25.3426430778
284 25.3411154156
300 67.1953687349
evaluations raw_y
1 73.5146567592
16 46.1440110796
57 45.2150224514
100 44.0161754710
137 43.1814007614
139 41.0288882232
144 40.6025310814
146 35.8648394635
149 34.3401726418
151 30.5008666753
160 27.9199425809
173 25.3426430778
284 25.3411154156
300 67.1953687349
evaluations raw_y
1 73.5146567592
16 46.1440110796
57 45.2150224514
100 44.0161754710
137 43.1814007614
139 41.0288882232
144 40.6025310814
146 35.8648394635
149 34.3401726418
151 30.5008666753
160 27.9199425809
173 25.3426430778
284 25.3411154156
300 67.1953687349
evaluations raw_y
1 73.5146567592
16 46.1440110796
57 45.2150224514
100 44.0161754710
137 43.1814007614
139 41.0288882232
144 40.6025310814
146 35.8648394635
149 34.3401726418
151 30.5008666753
160 27.9199425809
173 25.3426430778
284 25.3411154156
300 67.1953687349
evaluations raw_y
1 204.5223178485
2 96.8725580155
21 74.7744110574
32 38.2732658381
97 29.0816376804
106 25.6292755251
125 22.8269602839
142 16.3464852018
151 16.0729749163
168 16.0071852324
171 11.2935586233
172 9.6255909986
178 9.0789711551
186 8.9312400890
190 6.4775479879
192 4.6224177689
213 4.2819254292
282 4.1785320066
290 3.6883542174
291 2.5694817461
300 213.2857098996
evaluations raw_y
1 204.5223178485
2 96.8725580155
21 74.7744110574
32 38.2732658381
97 29.0816376804
106 25.6292755251
125 22.8269602839
142 16.3464852018
151 16.0729749163
168 16.0071852324
171 11.2935586233
172 9.6255909986
178 9.0789711551
186 8.9312400890
190 6.4775479879
192 4.6224177689
213 4.2819254292
282 4.1785320066
290 3.6883542174
291 2.5694817461
300 213.2857098996
evaluations raw_y
1 204.5223178485
2 96.8725580155
21 74.7744110574
32 38.2732658381
97 29.0816376804
106 25.6292755251
125 22.8269602839
142 16.3464852018
151 16.0729749163
168 16.0071852324
171 11.2935586233
172 9.6255909986
178 9.0789711551
186 8.9312400890
190 6.4775479879
192 4.6224177689
213 4.2819254292
282 4.1785320066
290 3.6883542174
291 2.5694817461
300 213.2857098996
evaluations raw_y
1 204.5223178485
2 96.8725580155
21 74.7744110574
32 38.2732658381
97 29.0816376804
106 25.6292755251
125 22.8269602839
142 16.3464852018
151 16.0729749163
168 16.0071852324
171 11.2935586233
172 9.6255909986
178 9.0789711551
186 8.9312400890
190 6.4775479879
192 4.6224177689
213 4.2819254292
282 4.1785320066
290 3.6883542174
291 2.5694817461
300 213.2857098996
evaluations raw_y
1 204.5223178485
2 96.8725580155
21 74.7744110574
32 38.2732658381
97 29.0816376804
106 25.6292755251
125 22.8269602839
142 16.3464852018
151 16.0729749163
168 16.0071852324
171 11.2935586233
172 9.6255909986
178 9.0789711551
186 8.9312400890
190 6.4775479879
192 4.6224177689
213 4.2819254292
282 4.1785320066
290 3.6883542174
291 2.5694817461
300 213.2857098996
evaluations raw_y
1 165.4029513067
4 157.0613074044
5 137.7943731716
6 107.1778129006
7 82.1438932268
18 58.2294904042
77 49.7153437235
98 40.2006535145
99 35.8772545886
105 28.2235085138
109 24.2788568538
114 22.8252079493
122 21.6757090659
131 20.2500998149
132 19.6682562412
133 17.0919319097
142 13.4313926752
146 11.7271698947
159 7.5122571148
160 6.2328195851
202 5.8028005699
231 4.9286584421
242 4.3037968223
248 4.0930530516
280 3.8507100203
283 3.6284076819
285 3.5619868414
300 139.6117198618
evaluations raw_y
1 165.4029513067
4 157.0613074044
5 137.7943731716
6 107.1778129006
7 82.1438932268
18 58.2294904042
77 49.7153437235
98 40.2006535145
99 35.8772545886
105 28.2235085138
109 24.2788568538
114 22.8252079493
122 21.6757090659
131 20.2500998149
132 19.6682562412
133 17.0919319097
142 13.4313926752
146 11.7271698947
159 7.5122571148
160 6.2328195851
202 5.8028005699
231 4.9286584421
242 4.3037968223
248 4.0930530516
280 3.8507100203
283 3.6284076819
285 3.5619868414
300 139.6117198618
evaluations raw_y
1 165.4029513067
4 157.0613074044
5 137.7943731716
6 107.1778129006
7 82.1438932268
18 58.2294904042
77 49.7153437235
98 40.2006535145
99 35.8772545886
105 28.2235085138
109 24.2788568538
114 22.8252079493
122 21.6757090659
131 20.2500998149
132 19.6682562412
133 17.0919319097
142 13.4313926752
146 11.7271698947
159 7.5122571148
160 6.2328195851
202 5.8028005699
231 4.9286584421
242 4.3037968223
248 4.0930530516
280 3.8507100203
283 3.6284076819
285 3.5619868414
300 139.6117198618
evaluations raw_y
1 165.4029513067
4 157.0613074044
5 137.7943731716
6 107.1778129006
7 82.1438932268
18 58.2294904042
77 49.7153437235
98 40.2006535145
99 35.8772545886
105 28.2235085138
109 24.2788568538
114 22.8252079493
122 21.6757090659
131 20.2500998149
132 19.6682562412
133 17.0919319097
142 13.4313926752
146 11.7271698947
159 7.5122571148
160 6.2328195851
202 5.8028005699
231 4.9286584421
242 4.3037968223
248 4.0930530516
280 3.8507100203
283 3.6284076819
285 3.5619868414
300 139.6117198618
evaluations raw_y
1 165.4029513067
4 157.0613074044
5 137.7943731716
6 107.1778129006
7 82.1438932268
18 58.2294904042
77 49.7153437235
98 40.2006535145
99 35.8772545886
105 28.2235085138
109 24.2788568538
114 22.8252079493
122 21.6757090659
131 20.2500998149
132 19.6682562412
133 17.0919319097
142 13.4313926752
146 11.7271698947
159 7.5122571148
160 6.2328195851
202 5.8028005699
231 4.9286584421
242 4.3037968223
248 4.0930530516
280 3.8507100203
283 3.6284076819
285 3.5619868414
300 139.6117198618
evaluations raw_y
1 185.2538540829
2 130.6839467315
4 127.6498510762
5 66.7711970268
9 61.7572594155
22 61.4479007241
34 52.1752588554
68 18.4795430795
126 16.4399786214
132 5.6507585936
157 5.3327592555
159 3.7685394291
174 2.9126720812
231 2.4158345574
255 2.0865240386
270 1.7184043210
298 1.4728331848
300 176.5186105606
evaluations raw_y
1 185.2538540829
2 130.6839467315
4 127.6498510762
5 66.7711970268
9 61.7572594155
22 61.4479007241
34 52.1752588554
68 18.4795430795
126 16.4399786214
132 5.6507585936
157 5.3327592555
159 3.7685394291
174 2.9126720812
231 2.4158345574
255 2.0865240386
270 1.7184043210
298 1.4728331848
300 176.5186105606
evaluations raw_y
1 185.2538540829
2 130.6839467315
4 127.6498510762
5 66.7711970268
9 61.7572594155
22 61.4479007241
34 52.1752588554
68 18.4795430795
126 16.4399786214
132 5.6507585936
157 5.3327592555
159 3.7685394291
174 2.9126720812
231 2.4158345574
255 2.0865240386
270 1.7184043210
298 1.4728331848
300 176.5186105606
evaluations raw_y
1 185.2538540829
2 130.6839467315
4 127.6498510762
5 66.7711970268
9 61.7572594155
22 61.4479007241
34 52.1752588554
68 18.4795430795
126 16.4399786214
132 5.6507585936
157 5.3327592555
159 3.7685394291
174 2.9126720812
231 2.4158345574
255 2.0865240386
270 1.7184043210
298 1.4728331848
300 176.5186105606
evaluations raw_y
1 185.2538540829
2 130.6839467315
4 127.6498510762
5 66.7711970268
9 61.7572594155
22 61.4479007241
34 52.1752588554
68 18.4795430795
126 16.4399786214
132 5.6507585936
157 5.3327592555
159 3.7685394291
174 2.9126720812
231 2.4158345574
255 2.0865240386
270 1.7184043210
298 1.4728331848
300 176.5186105606
evaluations raw_y
1 39.3737838301
62 32.7459783483
99 31.3403376252
131 29.0346898044
134 27.3832122335
143 26.5637432698
146 24.6615774532
149 19.5299541854
159 18.0292763661
184 16.2374942534
194 15.4361945035
203 15.2782929294
229 14.1614338356
241 13.7084187659
248 12.2878824497
283 11.8688257561
300 128.2743641645
evaluations raw_y
1 39.3737838301
62 32.7459783483
99 31.3403376252
131 29.0346898044
134 27.3832122335
143 26.5637432698
146 24.6615774532
149 19.5299541854
159 18.0292763661
184 16.2374942534
194 15.4361945035
203 15.2782929294
229 14.1614338356
241 13.7084187659
248 12.2878824497
283 11.8688257561
300 128.2743641645
evaluations raw_y
1 39.3737838301
62 32.7459783483
99 31.3403376252
131 29.0346898044
134 27.3832122335
143 26.5637432698
146 24.6615774532
149 19.5299541854
159 18.0292763661
184 16.2374942534
194 15.4361945035
203 15.2782929294
229 14.1614338356
241 13.7084187659
248 12.2878824497
283 11.8688257561
300 128.2743641645
evaluations raw_y
1 39.3737838301
62 32.7459783483
99 31.3403376252
131 29.0346898044
134 27.3832122335
143 26.5637432698
146 24.6615774532
149 19.5299541854
159 18.0292763661
184 16.2374942534
194 15.4361945035
203 15.2782929294
229 14.1614338356
241 13.7084187659
248 12.2878824497
283 11.8688257561
300 128.2743641645
evaluations raw_y
1 39.3737838301
62 32.7459783483
99 31.3403376252
131 29.0346898044
134 27.3832122335
143 26.5637432698
146 24.6615774532
149 19.5299541854
159 18.0292763661
184 16.2374942534
194 15.4361945035
203 15.2782929294
229 14.1614338356
241 13.7084187659
248 12.2878824497
283 11.8688257561
300 128.2743641645
evaluations raw_y
1 174.5246510609
2 119.4964556269
4 108.7389020269
7 54.8263875399
22 28.3815915249
139 24.5972147850
146 23.8104420188
174 23.3650315007
182 22.0634684710
183 21.9561805556
200 19.7734622267
202 19.1960543869
219 18.9674868972
223 18.3304689147
235 18.2135865735
267 18.1762248023
278 18.0286770222
282 16.8504294638
297 16.7014124803
300 147.9468382989
evaluations raw_y
1 174.5246510609
2 119.4964556269
4 108.7389020269
7 54.8263875399
22 28.3815915249
139 24.5972147850
146 23.8104420188
174 23.3650315007
182 22.0634684710
183 21.9561805556
200 19.7734622267
202 19.1960543869
219 18.9674868972
223 18.3304689147
235 18.2135865735
267 18.1762248023
278 18.0286770222
282 16.8504294638
297 16.7014124803
300 147.9468382989
evaluations raw_y
1 174.5246510609
2 119.4964556269
4 108.7389020269
7 54.8263875399
22 28.3815915249
139 24.5972147850
146 23.8104420188
174 23.3650315007
182 22.0634684710
183 21.9561805556
200 19.7734622267
202 19.1960543869
219 18.9674868972
223 18.3304689147
235 18.2135865735
267 18.1762248023
278 18.0286770222
282 16.8504294638
297 16.7014124803
300 147.9468382989
evaluations raw_y
1 174.5246510609
2 119.4964556269
4 108.7389020269
7 54.8263875399
22 28.3815915249
139 24.5972147850
146 23.8104420188
174 23.3650315007
182 22.0634684710
183 21.9561805556
200 19.7734622267
202 19.1960543869
219 18.9674868972
223 18.3304689147
235 18.2135865735
267 18.1762248023
278 18.0286770222
282 16.8504294638
297 16.7014124803
300 147.9468382989
evaluations raw_y
1 174.5246510609
2 119.4964556269
4 108.7389020269
7 54.8263875399
22 28.3815915249
139 24.5972147850
146 23.8104420188
174 23.3650315007
182 22.0634684710
183 21.9561805556
200 19.7734622267
202 19.1960543869
219 18.9674868972
223 18.3304689147
235 18.2135865735
267 18.1762248023
278 18.0286770222
282 16.8504294638
297 16.7014124803
300 147.9468382989
evaluations raw_y
1 155.4848035313
3 148.5314832748
4 92.7796365731
14 62.9004350307
42 57.6310195072
75 52.5235905732
106 36.8644859747
110 29.5228025407
111 29.1571256301
121 28.5602290744
144 25.9378228959
145 23.6122655120
151 16.3661881628
195 14.1720981971
204 13.6553745192
216 13.5532805755
227 13.0489604813
229 12.7210609085
232 11.7900378142
233 8.1127214469
238 7.8069549634
242 7.1836322550
244 6.1825854004
276 3.7665227366
300 95.6082855725
evaluations raw_y
1 155.4848035313
3 148.5314832748
4 92.7796365731
14 62.9004350307
42 57.6310195072
75 52.5235905732
106 36.8644859747
110 29.5228025407
111 29.1571256301
121 28.5602290744
144 25.9378228959
145 23.6122655120
151 16.3661881628
195 14.1720981971
204 13.6553745192
216 13.5532805755
227 13.0489604813
229 12.7210609085
232 11.7900378142
233 8.1127214469
238 7.8069549634
242 7.1836322550
244 6.1825854004
276 3.7665227366
300 95.6082855725
evaluations raw_y
1 155.4848035313
3 148.5314832748
4 92.7796365731
14 62.9004350307
42 57.6310195072
75 52.5235905732
106 36.8644859747
110 29.5228025407
111 29.1571256301
121 28.5602290744
144 25.9378228959
145 23.6122655120
151 16.3661881628
195 14.1720981971
204 13.6553745192
216 13.5532805755
227 13.0489604813
229 12.7210609085
232 11.7900378142
233 8.1127214469
238 7.8069549634
242 7.1836322550
244 6.1825854004
276 3.7665227366
300 95.6082855725
evaluations raw_y
1 155.4848035313
3 148.5314832748
4 92.7796365731
14 62.9004350307
42 57.6310195072
75 52.5235905732
106 36.8644859747
110 29.5228025407
111 29.1571256301
121 28.5602290744
144 25.9378228959
145 23.6122655120
151 16.3661881628
195 14.1720981971
204 13.6553745192
216 13.5532805755
227 13.0489604813
229 12.7210609085
232 11.7900378142
233 8.1127214469
238 7.8069549634
242 7.1836322550
244 6.1825854004
276 3.7665227366
300 95.6082855725
evaluations raw_y
1 155.4848035313
3 148.5314832748
4 92.7796365731
14 62.9004350307
42 57.6310195072
75 52.5235905732
106 36.8644859747
110 29.5228025407
111 29.1571256301
121 28.5602290744
144 25.9378228959
145 23.6122655120
151 16.3661881628
195 14.1720981971
204 13.6553745192
216 13.5532805755
227 13.0489604813
229 12.7210609085
232 11.7900378142
233 8.1127214469
238 7.8069549634
242 7.1836322550
244 6.1825854004
276 3.7665227366
300 95.6082855725
evaluations raw_y
1 86.4526977326
2 60.1694903676
5 39.7160154254
59 35.1429607763
106 34.5293158840
107 32.6174507648
121 26.7155648844
157 24.9666000701
158 23.3113682640
161 23.0572418273
179 18.8257430810
180 16.3813275272
213 16.2858458037
217 15.1542120437
218 14.2643378463
219 13.7827981845
228 7.8964632437
237 7.7105554511
271 7.4380651395
282 6.8717422261
285 6.3559813050
289 3.6219812049
300 109.3392450850
evaluations raw_y
1 86.4526977326
2 60.1694903676
5 39.7160154254
59 35.1429607763
106 34.5293158840
107 32.6174507648
121 26.7155648844
157 24.9666000701
158 23.3113682640
161 23.0572418273
179 18.8257430810
180 16.3813275272
213 16.2858458037
217 15.1542120437
218 14.2643378463
219 13.7827981845
228 7.8964632437
237 7.7105554511
271 7.4380651395
282 6.8717422261
285 6.3559813050
289 3.6219812049
300 109.3392450850
evaluations raw_y
1 86.4526977326
2 60.1694903676
5 39.7160154254
59 35.1429607763
106 34.5293158840
107 32.6174507648
121 26.7155648844
157 24.9666000701
158 23.3113682640
161 23.0572418273
179 18.8257430810
180 16.3813275272
213 16.2858458037
217 15.1542120437
218 14.2643378463
219 13.7827981845
228 7.8964632437
237 7.7105554511
271 7.4380651395
282 6.8717422261
285 6.3559813050
289 3.6219812049
300 109.3392450850
evaluations raw_y
1 86.4526977326
2 60.1694903676
5 39.7160154254
59 35.1429607763
106 34.5293158840
107 32.6174507648
121 26.7155648844
157 24.9666000701
158 23.3113682640
161 23.0572418273
179 18.8257430810
180 16.3813275272
213 16.2858458037
217 15.1542120437
218 14.2643378463
219 13.7827981845
228 7.8964632437
237 7.7105554511
271 7.4380651395
282 6.8717422261
285 6.3559813050
289 3.6219812049
300 109.3392450850
evaluations raw_y
1 86.4526977326
2 60.1694903676
5 39.7160154254
59 35.1429607763
106 34.5293158840
107 32.6174507648
121 26.7155648844
157 24.9666000701
158 23.3113682640
161 23.0572418273
179 18.8257430810
180 16.3813275272
213 16.2858458037
217 15.1542120437
218 14.2643378463
219 13.7827981845
228 7.8964632437
237 7.7105554511
271 7.4380651395
282 6.8717422261
285 6.3559813050
289 3.6219812049
300 109.3392450850
evaluations raw_y
1 148.6547061632
2 126.5310275362
3 97.0942889423
10 93.0596447841
11 90.2060779429
14 74.8041406609
17 62.6851617673
23 54.7106194853
66 27.5092523148
99 23.8638115932
110 17.6086896353
114 16.0968794875
116 14.6742925882
117 12.1130253783
122 11.0477226930
150 10.0778612910
152 9.8600670180
168 9.4862721446
178 7.5511652655
180 7.0665207670
186 5.1100451046
189 4.8670062126
190 4.6669478418
194 4.2202692981
291 3.9237400802
293 2.1454117948
300 65.7012880554
evaluations raw_y
1 148.6547061632
2 126.5310275362
3 97.0942889423
10 93.0596447841
11 90.2060779429
14 74.8041406609
17 62.6851617673
23 54.7106194853
66 27.5092523148
99 23.8638115932
110 17.6086896353
114 16.0968794875
116 14.6742925882
117 12.1130253783
122 11.0477226930
150 10.0778612910
152 9.8600670180
168 9.4862721446
178 7.5511652655
180 7.0665207670
186 5.1100451046
189 4.8670062126
190 4.6669478418
194 4.2202692981
291 3.9237400802
293 2.1454117948
300 65.7012880554
evaluations raw_y
1 148.6547061632
2 126.5310275362
3 97.0942889423
10 93.0596447841
11 90.2060779429
14 74.8041406609
17 62.6851617673
23 54.7106194853
66 27.5092523148
99 23.8638115932
110 17.6086896353
114 16.0968794875
116 14.6742925882
117 12.1130253783
122 11.0477226930
150 10.0778612910
152 9.8600670180
168 9.4862721446
178 7.5511652655
180 7.0665207670
186 5.1100451046
189 4.8670062126
190 4.6669478418
194 4.2202692981
291 3.9237400802
293 2.1454117948
300 65.7012880554
evaluations raw_y
1 148.6547061632
2 126.5310275362
3 97.0942889423
10 93.0596447841
11 90.2060779429
14 74.8041406609
17 62.6851617673
23 54.7106194853
66 27.5092523148
99 23.8638115932
110 17.6086896353
114 16.0968794875
116 14.6742925882
117 12.1130253783
122 11.0477226930
150 10.0778612910
152 9.8600670180
168 9.4862721446
178 7.5511652655
180 7.0665207670
186 5.1100451046
189 4.8670062126
190 4.6669478418
194 4.2202692981
291 3.9237400802
293 2.1454117948
300 65.7012880554
evaluations raw_y
1 148.6547061632
2 126.5310275362
3 97.0942889423
10 93.0596447841
11 90.2060779429
14 74.8041406609
17 62.6851617673
23 54.7106194853
66 27.5092523148
99 23.8638115932
110 17.6086896353
114 16.0968794875
116 14.6742925882
117 12.1130253783
122 11.0477226930
150 10.0778612910
152 9.8600670180
168 9.4862721446
178 7.5511652655
180 7.0665207670
186 5.1100451046
189 4.8670062126
190 4.6669478418
194 4.2202692981
291 3.9237400802
293 2.1454117948
300 65.7012880554
evaluations raw_y
1 87.6106429086
18 84.5921637108
28 42.1016583068
149 41.6506199294
179 41.5300918609
194 36.9156161775
203 32.0799733335
204 27.8590711291
212 27.7793552088
218 27.6716878035
223 27.1339167416
231 21.4990479281
235 17.0043418001
247 16.3487412132
248 15.7697984292
251 13.5619300568
258 12.1347824866
259 10.5596655802
275 9.9588243268
276 9.8587939332
284 9.2837043994
285 9.2700447993
300 73.8906770609
evaluations raw_y
1 87.6106429086
18 84.5921637108
28 42.1016583068
149 41.6506199294
179 41.5300918609
194 36.9156161775
203 32.0799733335
204 27.8590711291
212 27.7793552088
218 27.6716878035
223 27.1339167416
231 21.4990479281
235 17.0043418001
247 16.3487412132
248 15.7697984292
