evaluations raw_y
1 462.7635835102
2 195.2937114958
57 186.3276972097
93 169.6521850754
98 128.3024762752
107 115.8967782727
300 394.8793937928
evaluations raw_y
1 462.7635835102
2 195.2937114958
57 186.3276972097
93 169.6521850754
98 128.3024762752
107 115.8967782727
300 394.8793937928
evaluations raw_y
1 462.7635835102
2 195.2937114958
57 186.3276972097
93 169.6521850754
98 128.3024762752
107 115.8967782727
300 394.8793937928
evaluations raw_y
1 462.7635835102
2 195.2937114958
57 186.3276972097
93 169.6521850754
98 128.3024762752
107 115.8967782727
300 394.8793937928
evaluations raw_y
1 462.7635835102
2 195.2937114958
57 186.3276972097
93 169.6521850754
98 128.3024762752
107 115.8967782727
300 394.8793937928
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
108 186.7357151682
117 181.5295336115
122 163.5208655815
161 152.1244993432
173 151.9620077093
199 138.0948132561
282 137.8190694787
300 226.3982456474
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
108 186.7357151682
117 181.5295336115
122 163.5208655815
161 152.1244993432
173 151.9620077093
199 138.0948132561
282 137.8190694787
300 226.3982456474
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
108 186.7357151682
117 181.5295336115
122 163.5208655815
161 152.1244993432
173 151.9620077093
199 138.0948132561
282 137.8190694787
300 226.3982456474
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
108 186.7357151682
117 181.5295336115
122 163.5208655815
161 152.1244993432
173 151.9620077093
199 138.0948132561
282 137.8190694787
300 226.3982456474
evaluations raw_y
1 291.9152039981
2 238.6427898518
16 210.7365870019
108 186.7357151682
117 181.5295336115
122 163.5208655815
161 152.1244993432
173 151.9620077093
199 138.0948132561
282 137.8190694787
300 226.3982456474
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
66 161.8730313333
189 159.9593372012
278 153.3590537723
291 133.8817276463
294 130.9346228448
300 368.6437530714
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
66 161.8730313333
189 159.9593372012
278 153.3590537723
291 133.8817276463
294 130.9346228448
300 368.6437530714
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
66 161.8730313333
189 159.9593372012
278 153.3590537723
291 133.8817276463
294 130.9346228448
300 368.6437530714
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
66 161.8730313333
189 159.9593372012
278 153.3590537723
291 133.8817276463
294 130.9346228448
300 368.6437530714
evaluations raw_y
1 335.0791458109
2 331.9852983293
3 191.2821241035
66 161.8730313333
189 159.9593372012
278 153.3590537723
291 133.8817276463
294 130.9346228448
300 368.6437530714
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
113 165.7724364301
146 126.1624547980
195 123.0993109942
300 267.9232360398
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
113 165.7724364301
146 126.1624547980
195 123.0993109942
300 267.9232360398
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
113 165.7724364301
146 126.1624547980
195 123.0993109942
300 267.9232360398
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
113 165.7724364301
146 126.1624547980
195 123.0993109942
300 267.9232360398
evaluations raw_y
1 274.5795689994
3 270.1435926154
4 246.2042123670
17 193.6817727633
113 165.7724364301
146 126.1624547980
195 123.0993109942
300 267.9232360398
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
66 197.2494474826
98 168.7067373391
126 149.7201916286
149 133.0217790329
287 126.8263195289
300 273.1323616895
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
66 197.2494474826
98 168.7067373391
126 149.7201916286
149 133.0217790329
287 126.8263195289
300 273.1323616895
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
66 197.2494474826
98 168.7067373391
126 149.7201916286
149 133.0217790329
287 126.8263195289
300 273.1323616895
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
66 197.2494474826
98 168.7067373391
126 149.7201916286
149 133.0217790329
287 126.8263195289
300 273.1323616895
evaluations raw_y
1 403.6729554903
2 322.6022200829
5 236.6910113916
6 235.8484773852
24 197.7014756470
66 197.2494474826
98 168.7067373391
126 149.7201916286
149 133.0217790329
287 126.8263195289
300 273.1323616895
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
44 201.7246723016
66 176.3467595483
153 159.8340274199
168 137.6876789581
186 136.1996123804
237 130.8446167059
240 116.2628610447
284 114.9970184030
300 343.5693531612
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
44 201.7246723016
66 176.3467595483
153 159.8340274199
168 137.6876789581
186 136.1996123804
237 130.8446167059
240 116.2628610447
284 114.9970184030
300 343.5693531612
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
44 201.7246723016
66 176.3467595483
153 159.8340274199
168 137.6876789581
186 136.1996123804
237 130.8446167059
240 116.2628610447
284 114.9970184030
300 343.5693531612
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
44 201.7246723016
66 176.3467595483
153 159.8340274199
168 137.6876789581
186 136.1996123804
237 130.8446167059
240 116.2628610447
284 114.9970184030
300 343.5693531612
evaluations raw_y
1 290.0220721818
4 268.5200959020
7 216.2556127081
44 201.7246723016
66 176.3467595483
153 159.8340274199
168 137.6876789581
186 136.1996123804
237 130.8446167059
240 116.2628610447
284 114.9970184030
300 343.5693531612
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
59 212.6818420698
75 209.1949053910
99 187.0519669457
132 178.5803185901
144 175.4415847116
159 158.0677102238
168 137.2114215021
210 136.4899614531
211 83.5660929948
300 364.3089499550
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
59 212.6818420698
75 209.1949053910
99 187.0519669457
132 178.5803185901
144 175.4415847116
159 158.0677102238
168 137.2114215021
210 136.4899614531
211 83.5660929948
300 364.3089499550
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
59 212.6818420698
75 209.1949053910
99 187.0519669457
132 178.5803185901
144 175.4415847116
159 158.0677102238
168 137.2114215021
210 136.4899614531
211 83.5660929948
300 364.3089499550
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
59 212.6818420698
75 209.1949053910
99 187.0519669457
132 178.5803185901
144 175.4415847116
159 158.0677102238
168 137.2114215021
210 136.4899614531
211 83.5660929948
300 364.3089499550
evaluations raw_y
1 518.4692717409
2 243.5865288626
12 242.5107571351
18 236.9031242205
28 234.2507001035
59 212.6818420698
75 209.1949053910
99 187.0519669457
132 178.5803185901
144 175.4415847116
159 158.0677102238
168 137.2114215021
210 136.4899614531
211 83.5660929948
300 364.3089499550
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
35 196.9259979262
100 181.3319793422
109 173.7100134397
123 159.7469100509
142 155.4323558643
145 153.3543350128
163 148.2964931827
174 143.3385004364
300 237.1488753102
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
35 196.9259979262
100 181.3319793422
109 173.7100134397
123 159.7469100509
142 155.4323558643
145 153.3543350128
163 148.2964931827
174 143.3385004364
300 237.1488753102
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
35 196.9259979262
100 181.3319793422
109 173.7100134397
123 159.7469100509
142 155.4323558643
145 153.3543350128
163 148.2964931827
174 143.3385004364
300 237.1488753102
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
35 196.9259979262
100 181.3319793422
109 173.7100134397
123 159.7469100509
142 155.4323558643
145 153.3543350128
163 148.2964931827
174 143.3385004364
300 237.1488753102
evaluations raw_y
1 541.3514756499
2 291.9937845286
3 233.6091478560
18 210.4670228516
35 196.9259979262
100 181.3319793422
109 173.7100134397
123 159.7469100509
142 155.4323558643
145 153.3543350128
163 148.2964931827
174 143.3385004364
300 237.1488753102
evaluations raw_y
1 445.5698368154
2 308.8730089318
3 254.3316939740
5 227.4943406801
21 151.3642124387
93 108.2327203502
223 100.8171947535
300 317.4873365999
evaluations raw_y
1 445.5698368154
2 308.8730089318
3 254.3316939740
5 227.4943406801
21 151.3642124387
93 108.2327203502
223 100.8171947535
300 317.4873365999
evaluations raw_y
1 445.5698368154
2 308.8730089318
3 254.3316939740
5 227.4943406801
21 151.3642124387
93 108.2327203502
223 100.8171947535
300 317.4873365999
evaluations raw_y
1 445.5698368154
2 308.8730089318
3 254.3316939740
5 227.4943406801
21 151.3642124387
93 108.2327203502
223 100.8171947535
300 317.4873365999
evaluations raw_y
1 445.5698368154
2 308.8730089318
3 254.3316939740
5 227.4943406801
21 151.3642124387
93 108.2327203502
223 100.8171947535
300 317.4873365999
evaluations raw_y
1 410.9130559248
3 343.7644917213
9 279.8212097686
11 246.0020801717
23 213.6029248487
62 211.6007829377
75 208.2036382471
102 181.8107940270
125 175.6338167210
132 170.1590376259
146 106.4639936512
167 100.6928576018
270 88.8516123230
285 86.4047854281
300 355.9019611876
evaluations raw_y
1 410.9130559248
3 343.7644917213
9 279.8212097686
11 246.0020801717
23 213.6029248487
62 211.6007829377
75 208.2036382471
102 181.8107940270
125 175.6338167210
132 170.1590376259
146 106.4639936512
167 100.6928576018
270 88.8516123230
285 86.4047854281
300 355.9019611876
evaluations raw_y
1 410.9130559248
3 343.7644917213
9 279.8212097686
11 246.0020801717
23 213.6029248487
62 211.6007829377
75 208.2036382471
102 181.8107940270
125 175.6338167210
132 170.1590376259
146 106.4639936512
167 100.6928576018
270 88.8516123230
285 86.4047854281
300 355.9019611876
evaluations raw_y
1 410.9130559248
3 343.7644917213
9 279.8212097686
11 246.0020801717
23 213.6029248487
62 211.6007829377
75 208.2036382471
102 181.8107940270
125 175.6338167210
132 170.1590376259
146 106.4639936512
167 100.6928576018
270 88.8516123230
285 86.4047854281
300 355.9019611876
evaluations raw_y
1 410.9130559248
3 343.7644917213
9 279.8212097686
11 246.0020801717
23 213.6029248487
62 211.6007829377
75 208.2036382471
102 181.8107940270
125 175.6338167210
132 170.1590376259
146 106.4639936512
