evaluations raw_y
1 176297.2254331395
2 100873.4936925718
4 21064.8348944717
34 17357.7016471169
99 12583.7407936018
100 12299.3308226704
122 9100.4937721919
125 6604.4210941266
158 5806.1576787043
160 5761.3933393447
171 4423.1199416338
202 3517.7562020270
203 2962.8255901481
232 2370.2406967820
264 2308.5011257696
274 1899.4285925884
295 1315.6256357554
300 81775.3614905195
evaluations raw_y
1 176297.2254331395
2 100873.4936925718
4 21064.8348944717
34 17357.7016471169
99 12583.7407936018
100 12299.3308226704
122 9100.4937721919
125 6604.4210941266
158 5806.1576787043
160 5761.3933393447
171 4423.1199416338
202 3517.7562020270
203 2962.8255901481
232 2370.2406967820
264 2308.5011257696
274 1899.4285925884
295 1315.6256357554
300 81775.3614905195
evaluations raw_y
1 176297.2254331395
2 100873.4936925718
4 21064.8348944717
34 17357.7016471169
99 12583.7407936018
100 12299.3308226704
122 9100.4937721919
125 6604.4210941266
158 5806.1576787043
160 5761.3933393447
171 4423.1199416338
202 3517.7562020270
203 2962.8255901481
232 2370.2406967820
264 2308.5011257696
274 1899.4285925884
295 1315.6256357554
300 81775.3614905195
evaluations raw_y
1 176297.2254331395
2 100873.4936925718
4 21064.8348944717
34 17357.7016471169
99 12583.7407936018
100 12299.3308226704
122 9100.4937721919
125 6604.4210941266
158 5806.1576787043
160 5761.3933393447
171 4423.1199416338
202 3517.7562020270
203 2962.8255901481
232 2370.2406967820
264 2308.5011257696
274 1899.4285925884
295 1315.6256357554
300 81775.3614905195
evaluations raw_y
1 176297.2254331395
2 100873.4936925718
4 21064.8348944717
34 17357.7016471169
99 12583.7407936018
100 12299.3308226704
122 9100.4937721919
125 6604.4210941266
158 5806.1576787043
160 5761.3933393447
171 4423.1199416338
202 3517.7562020270
203 2962.8255901481
232 2370.2406967820
264 2308.5011257696
274 1899.4285925884
295 1315.6256357554
300 81775.3614905195
evaluations raw_y
1 284152.2462942034
2 201664.2966167813
3 145852.1025900592
8 116533.2781874482
12 101979.4513435784
15 100132.5376487486
17 76945.3610315089
18 71807.7443824160
21 71178.1031022699
23 17835.8152202552
100 14613.3886985974
115 13464.9473984355
122 12053.3079967617
132 11338.3323623864
133 8557.2252810196
149 2677.2390373830
163 2586.1246817131
165 2382.8629282851
184 2376.5960898664
185 1601.1128313758
194 1128.1090292935
199 693.1876829569
251 691.3791776051
252 537.9604512396
253 492.8799115343
258 471.6366063572
261 444.4788254768
290 339.0830661041
300 126774.5271598330
evaluations raw_y
1 284152.2462942034
2 201664.2966167813
3 145852.1025900592
8 116533.2781874482
12 101979.4513435784
15 100132.5376487486
17 76945.3610315089
18 71807.7443824160
21 71178.1031022699
23 17835.8152202552
100 14613.3886985974
115 13464.9473984355
122 12053.3079967617
132 11338.3323623864
133 8557.2252810196
149 2677.2390373830
163 2586.1246817131
165 2382.8629282851
184 2376.5960898664
185 1601.1128313758
194 1128.1090292935
199 693.1876829569
251 691.3791776051
252 537.9604512396
253 492.8799115343
258 471.6366063572
261 444.4788254768
290 339.0830661041
300 126774.5271598330
evaluations raw_y
1 284152.2462942034
2 201664.2966167813
3 145852.1025900592
8 116533.2781874482
12 101979.4513435784
15 100132.5376487486
17 76945.3610315089
18 71807.7443824160
21 71178.1031022699
23 17835.8152202552
100 14613.3886985974
115 13464.9473984355
122 12053.3079967617
132 11338.3323623864
133 8557.2252810196
149 2677.2390373830
163 2586.1246817131
165 2382.8629282851
184 2376.5960898664
185 1601.1128313758
194 1128.1090292935
199 693.1876829569
251 691.3791776051
252 537.9604512396
253 492.8799115343
258 471.6366063572
261 444.4788254768
290 339.0830661041
300 126774.5271598330
evaluations raw_y
1 284152.2462942034
2 201664.2966167813
3 145852.1025900592
8 116533.2781874482
12 101979.4513435784
15 100132.5376487486
17 76945.3610315089
18 71807.7443824160
21 71178.1031022699
23 17835.8152202552
100 14613.3886985974
115 13464.9473984355
122 12053.3079967617
132 11338.3323623864
133 8557.2252810196
149 2677.2390373830
163 2586.1246817131
165 2382.8629282851
184 2376.5960898664
185 1601.1128313758
194 1128.1090292935
199 693.1876829569
251 691.3791776051
252 537.9604512396
253 492.8799115343
258 471.6366063572
261 444.4788254768
290 339.0830661041
300 126774.5271598330
evaluations raw_y
1 284152.2462942034
2 201664.2966167813
3 145852.1025900592
8 116533.2781874482
12 101979.4513435784
15 100132.5376487486
17 76945.3610315089
18 71807.7443824160
21 71178.1031022699
23 17835.8152202552
100 14613.3886985974
115 13464.9473984355
122 12053.3079967617
132 11338.3323623864
133 8557.2252810196
149 2677.2390373830
163 2586.1246817131
165 2382.8629282851
184 2376.5960898664
185 1601.1128313758
194 1128.1090292935
199 693.1876829569
251 691.3791776051
252 537.9604512396
253 492.8799115343
258 471.6366063572
261 444.4788254768
290 339.0830661041
300 126774.5271598330
evaluations raw_y
1 140967.1777228454
2 115415.5778411406
4 85909.0110285247
22 56580.1378705064
29 20995.7682362444
81 20781.4249883670
98 10339.7410826995
142 8635.3250847455
159 8404.0571234818
163 8293.1904841984
165 7473.5145912224
167 6634.4889621930
171 5441.6688644720
192 5060.7208086288
224 4036.6079099059
232 3961.6872089010
242 3071.4465588086
248 2580.2301003057
263 2164.3286496402
295 1843.1448061603
300 116445.3269078659
evaluations raw_y
1 140967.1777228454
2 115415.5778411406
4 85909.0110285247
22 56580.1378705064
29 20995.7682362444
81 20781.4249883670
98 10339.7410826995
142 8635.3250847455
159 8404.0571234818
163 8293.1904841984
165 7473.5145912224
167 6634.4889621930
171 5441.6688644720
192 5060.7208086288
224 4036.6079099059
232 3961.6872089010
242 3071.4465588086
248 2580.2301003057
263 2164.3286496402
295 1843.1448061603
300 116445.3269078659
evaluations raw_y
1 140967.1777228454
2 115415.5778411406
4 85909.0110285247
22 56580.1378705064
29 20995.7682362444
81 20781.4249883670
98 10339.7410826995
142 8635.3250847455
159 8404.0571234818
163 8293.1904841984
165 7473.5145912224
167 6634.4889621930
171 5441.6688644720
192 5060.7208086288
224 4036.6079099059
232 3961.6872089010
242 3071.4465588086
248 2580.2301003057
263 2164.3286496402
295 1843.1448061603
300 116445.3269078659
evaluations raw_y
1 140967.1777228454
2 115415.5778411406
4 85909.0110285247
22 56580.1378705064
29 20995.7682362444
81 20781.4249883670
98 10339.7410826995
142 8635.3250847455
159 8404.0571234818
163 8293.1904841984
165 7473.5145912224
167 6634.4889621930
171 5441.6688644720
192 5060.7208086288
224 4036.6079099059
232 3961.6872089010
242 3071.4465588086
248 2580.2301003057
263 2164.3286496402
295 1843.1448061603
300 116445.3269078659
evaluations raw_y
1 140967.1777228454
2 115415.5778411406
4 85909.0110285247
22 56580.1378705064
29 20995.7682362444
81 20781.4249883670
98 10339.7410826995
142 8635.3250847455
159 8404.0571234818
163 8293.1904841984
165 7473.5145912224
167 6634.4889621930
171 5441.6688644720
192 5060.7208086288
224 4036.6079099059
232 3961.6872089010
242 3071.4465588086
248 2580.2301003057
263 2164.3286496402
295 1843.1448061603
300 116445.3269078659
evaluations raw_y
1 144126.6393231336
2 17605.1787490372
15 12297.2644860664
66 8448.1617679744
106 6523.8171693399
114 5363.5360039824
131 5006.4867379292
142 4272.6339795515
159 4003.6356985966
163 3522.6127719231
167 3520.4984227844
205 3338.0647682272
211 3086.0645525590
251 2810.2931099877
274 2382.8506300832
292 2235.9855069765
300 113441.6442414259
evaluations raw_y
1 144126.6393231336
2 17605.1787490372
15 12297.2644860664
66 8448.1617679744
106 6523.8171693399
114 5363.5360039824
131 5006.4867379292
142 4272.6339795515
159 4003.6356985966
163 3522.6127719231
167 3520.4984227844
205 3338.0647682272
211 3086.0645525590
251 2810.2931099877
274 2382.8506300832
292 2235.9855069765
300 113441.6442414259
evaluations raw_y
1 144126.6393231336
2 17605.1787490372
15 12297.2644860664
66 8448.1617679744
106 6523.8171693399
114 5363.5360039824
131 5006.4867379292
142 4272.6339795515
159 4003.6356985966
163 3522.6127719231
167 3520.4984227844
205 3338.0647682272
211 3086.0645525590
251 2810.2931099877
274 2382.8506300832
292 2235.9855069765
300 113441.6442414259
evaluations raw_y
1 144126.6393231336
2 17605.1787490372
15 12297.2644860664
