evaluations raw_y
1 341.4007710806
2 105.5206593075
3 16.0947500489
36 10.5780654755
51 5.2498072757
59 42.1040021608
evaluations raw_y
1 341.4007710806
2 105.5206593075
3 16.0947500489
59 16.6147539023
evaluations raw_y
1 341.4007710806
2 105.5206593075
3 16.0947500489
20 13.9388509974
28 9.3907551269
47 8.8826481616
56 8.3145348560
59 6.2815500689
evaluations raw_y
1 341.4007710806
2 105.5206593075
3 16.0947500489
21 3.3515227998
59 13.0876521529
evaluations raw_y
1 341.4007710806
2 105.5206593075
3 16.0947500489
50 11.2191647792
55 5.5160592287
59 30.0800903384
evaluations raw_y
1 33.2137105043
2 18.4892536061
34 3.7003973684
59 17.9663702624
evaluations raw_y
1 33.2137105043
2 18.4892536061
11 9.8408626078
40 6.6799894457
48 5.9224231317
59 7.8678810991
evaluations raw_y
1 33.2137105043
2 18.4892536061
9 7.3295006355
21 7.1251552591
23 4.7582919718
51 4.2659120408
52 3.3720112703
59 28.1131170316
evaluations raw_y
1 33.2137105043
2 18.4892536061
16 5.2804540906
31 3.9951343315
44 2.1426225547
59 30.5122377673
evaluations raw_y
1 33.2137105043
2 18.4892536061
12 18.1124491915
37 9.2691619412
45 4.5427938713
59 22.4063101388
evaluations raw_y
1 51.4936921475
2 20.0397074310
4 18.3093130290
40 15.8171084616
46 10.1398019994
59 37.2399812733
evaluations raw_y
1 51.4936921475
2 20.0397074310
4 18.3093130290
16 11.3474556933
41 10.2691972925
43 8.7472656923
46 5.9635210349
59 29.8785197198
evaluations raw_y
1 51.4936921475
2 20.0397074310
4 18.3093130290
13 17.7371513051
14 17.2159805082
24 14.1620348399
27 3.4907780866
59 15.3749049569
evaluations raw_y
1 51.4936921475
2 20.0397074310
4 18.3093130290
14 16.5011548937
26 11.9561247543
59 37.8540600884
evaluations raw_y
1 51.4936921475
2 20.0397074310
4 18.3093130290
29 16.1297100172
33 6.6734474814
59 30.8350806374
evaluations raw_y
1 638.0307868009
2 40.3412147018
3 29.4628233744
23 18.7146575124
35 15.7137192820
59 23.4328729960
evaluations raw_y
1 638.0307868009
2 40.3412147018
3 29.4628233744
11 26.4617366777
24 15.2074084034
36 11.6599999535
41 1.5260366205
59 4.0045614303
evaluations raw_y
1 638.0307868009
2 40.3412147018
3 29.4628233744
22 11.1910336538
41 7.6826999478
57 4.6932374769
59 28.6171742935
evaluations raw_y
1 638.0307868009
2 40.3412147018
3 29.4628233744
9 9.0515249670
59 25.7559500194
evaluations raw_y
1 638.0307868009
2 40.3412147018
3 29.4628233744
20 15.5041672470
34 12.0808249947
38 10.6289758927
59 38.6523095914
evaluations raw_y
1 41.6803720218
7 13.4619215320
8 11.6750912940
16 7.8213855518
39 6.7421214220
51 5.2942140056
53 2.5164086803
59 15.6029186381
evaluations raw_y
1 41.6803720218
7 34.7195575806
9 19.0404480933
19 16.7207906864
31 12.2328113747
38 5.2244335932
41 4.6573852111
46 3.4018621421
59 20.6160887639
evaluations raw_y
1 41.6803720218
7 30.4731511731
12 9.4826296188
57 9.0542759108
59 12.9156034369
evaluations raw_y
1 41.6803720218
7 40.9946556049
11 33.5336008589
12 23.8993226207
19 8.0605792190
42 6.7768987746
51 4.4635936707
54 4.3299504588
59 12.2302093519
evaluations raw_y
1 41.6803720218
12 28.0457453780
31 21.8524008829
38 6.3426925412
59 37.2764554648
evaluations raw_y
1 43.8687578495
2 35.9286910184
11 15.5891840473
44 12.0514144684
45 6.9949703974
59 24.7596667525
evaluations raw_y
1 43.8687578495
2 35.9286910184
10 32.2864755177
41 30.7993772673
51 27.2704746321
54 27.0182299173
55 21.3957712590
59 27.7298487247
evaluations raw_y
1 43.8687578495
2 35.9286910184
12 24.8099374207
17 7.7100104531
36 2.6451213070
59 2.4566139814
evaluations raw_y
1 43.8687578495
2 35.9286910184
12 26.7207143523
14 7.3355996186
39 3.9802623923
59 26.7392565118
evaluations raw_y
1 43.8687578495
2 35.9286910184
12 35.2690212848
22 20.8983834122
42 14.9589235417
49 14.6821258379
59 53.7835491387
evaluations raw_y
1 821.3809499956
2 190.2038246362
5 50.6068262239
6 16.5525416007
47 9.7193765560
59 17.4549705357
evaluations raw_y
1 821.3809499956
2 190.2038246362
5 50.6068262239
6 16.5525416007
32 15.0895043342
35 15.0113465266
45 6.7602999240
51 5.0677057690
59 18.1228217414
evaluations raw_y
1 821.3809499956
2 190.2038246362
5 50.6068262239
6 16.5525416007
35 13.8224792192
53 13.2578600273
58 12.2016127807
59 30.8811665787
evaluations raw_y
1 821.3809499956
2 190.2038246362
5 50.6068262239
6 16.5525416007
13 7.3472080410
59 11.7967198170
evaluations raw_y
1 821.3809499956
2 190.2038246362
5 50.6068262239
6 16.5525416007
30 4.3733409161
54 4.3467305170
59 26.3746145745
evaluations raw_y
1 15.6756825927
34 13.4817647318
38 9.0261749572
47 3.4802093910
59 40.3527325767
evaluations raw_y
1 15.6756825927
19 10.8652102391
59 13.3615811622
evaluations raw_y
1 15.6756825927
28 15.4969462202
56 14.2524392568
59 29.2638930722
evaluations raw_y
1 15.6756825927
21 10.4721055758
55 9.9132030395
59 11.4453192400
evaluations raw_y
1 15.6756825927
43 15.3620790882
44 13.6962366994
59 13.7487434657
evaluations raw_y
1 348.3336763318
2 295.6235942492
3 199.7711923961
4 123.3280518961
5 47.1096227393
7 38.4175914859
9 30.1838485349
10 9.7388344666
25 5.7596155534
31 3.3838900273
56 1.9639116564
59 25.9870661646
evaluations raw_y
1 348.3336763318
2 295.6235942492
3 199.7711923961
4 123.3280518961
5 47.1096227393
7 8.5637433322
39 5.5511091628
48 5.2439227641
57 5.1040440815
59 7.7528376696
evaluations raw_y
1 348.3336763318
2 295.6235942492
3 199.7711923961
4 123.3280518961
5 47.1096227393
8 23.4978406082
9 21.9345790579
16 4.6994652629
47 4.0121679721
59 5.0607739577
evaluations raw_y
1 348.3336763318
2 295.6235942492
3 199.7711923961
4 123.3280518961
5 47.1096227393
7 35.4128148458
8 23.2012695351
11 17.7604360392
23 16.8153903593
34 16.2227155358
38 6.5571074197
45 4.9129567371
59 8.7003883102
evaluations raw_y
1 348.3336763318
2 295.6235942492
3 199.7711923961
4 123.3280518961
5 47.1096227393
9 25.7911115371
10 23.6594102067
14 12.4737736060
44 10.6925771968
59 36.6671920152
evaluations raw_y
1 218.7417623651
5 16.5420708751
43 6.7923068792
59 22.1817921210
evaluations raw_y
1 218.7417623651
5 16.5420708751
16 9.1338865145
59 37.2283716527
evaluations raw_y
1 218.7417623651
5 16.5420708751
28 13.9269977721
45 13.2939494326
