evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
7 4.2535772193
10 4.1205782694
16 3.7224502599
17 2.7692685168
42 2.7132878912
54 4.6104941283
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
15 15.3804439562
19 3.7549543750
45 3.6275558232
46 0.3911127964
54 3.6538287071
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
8 5.4862942720
12 3.1306059097
16 2.9246800425
48 2.7148614471
54 6.7683514326
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
7 6.7839122393
13 2.4169892245
47 1.7982049571
54 64.5695588039
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
7 4.2846760902
20 3.8407816644
31 2.9315995147
50 1.6419603618
54 3.2947733194
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
27 3.4986749007
30 3.1643216750
37 1.5515629680
54 496.8368138210
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
7 4.3385667370
25 4.2339365966
26 3.0034627532
44 1.6988197682
54 2.8482430829
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
30 0.7419269000
54 3.9775267815
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
7 4.5834642893
9 1.4651363400
54 35.3861040578
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
24 3.9727552880
25 3.1334406652
34 2.5696974688
52 2.5311576058
54 2.8457908222
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
8 2821.4447713104
10 2045.1631387966
15 584.6981249029
19 3.0970670593
31 2.7338905043
51 2.6468169223
54 1.5533895998
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
8 3.9411438067
9 2.3529428425
54 5.3223163921
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
8 1901.6228209770
16 2.2811809456
54 3780.9786072507
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
7 1747.8220258801
8 606.9220087869
9 4.9020758922
14 2.7108070901
26 1.4363209064
54 2155.1287298452
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
7 7148.0304733640
8 1172.7612927996
10 753.0020783345
18 4.4644765556
20 2.0557139010
54 8.8387480564
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
25 2.3229637818
54 4.1648639677
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
54 167.4688412228
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
18 1.1412942548
54 135.3767777018
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
22 1.5247940935
54 3.6364792626
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
22 2.2013098331
47 0.5789875804
54 4.4166314856
evaluations raw_y
1 956.2842732092
4 4.2569969296
7 1.8474152113
54 4.0932734612
evaluations raw_y
1 956.2842732092
4 4.2569969296
19 2.3172804387
52 2.1962696562
53 2.1060740872
54 79.1814964774
evaluations raw_y
1 956.2842732092
4 4.2569969296
9 2.7507588802
27 1.4732231820
54 3.2527365169
evaluations raw_y
1 956.2842732092
4 4.2569969296
10 2.2699653823
54 1.7956247201
evaluations raw_y
1 956.2842732092
4 4.2569969296
18 4.2051074162
19 1.4664767912
54 8.6770560058
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
36 4.9334955607
40 3.9612793842
46 2.8057273868
49 2.0848167209
54 7.9651118129
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
9 3.7799122186
16 3.6245505334
23 1.9095680414
41 1.7173405823
54 3.7557694415
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
18 5.6102970477
37 5.2899034710
39 5.2802970914
46 4.6183635701
47 2.6286855834
50 2.4423687317
54 8.3476526922
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
7 4.1969094337
20 2.7520762108
22 2.5859822503
54 504.7185704536
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
24 4.9946824725
44 4.1131624638
46 2.9349975389
54 2709.1474337555
evaluations raw_y
1 114.1942695211
14 20.6724791186
18 4.0233964874
26 1.7984249622
54 309.9683061197
evaluations raw_y
1 114.1942695211
7 5.9752393000
14 5.0844970255
15 4.1510331683
18 1.2177945856
54 5.8658489626
evaluations raw_y
1 114.1942695211
16 5.8958497868
