evaluations raw_y
1 618.1019217104
2 24.5194490231
9 10.8331069070
54 27.8327525961
evaluations raw_y
1 28.5689930261
13 21.1732396283
19 8.1562149917
35 6.2939099882
54 38.7228899853
evaluations raw_y
1 257.6690540357
3 61.2452072612
7 13.0186328983
9 10.4584539549
54 19.3990378225
evaluations raw_y
1 92.9746187350
6 71.1107243219
13 56.0123367435
14 47.5717535432
18 28.8839576118
24 24.8893077654
29 13.4141613607
54 42.5019221757
evaluations raw_y
1 102.7352305527
3 81.0128790075
4 51.1597879117
6 35.5861306633
9 28.9991271286
11 9.2291396326
45 8.0353721688
54 24.3953676837
evaluations raw_y
1 45.3804975038
2 27.3375056084
8 4.5012993252
54 28.3089539743
evaluations raw_y
1 32.7693620002
7 30.3330729614
8 17.8698036130
14 12.9035610398
54 37.1322037520
evaluations raw_y
1 32.0494864077
9 8.9361887208
16 7.0583907371
54 23.5750728320
evaluations raw_y
1 44.6280564604
8 10.6899058147
54 42.3906677636
evaluations raw_y
1 54.5658311307
2 32.4246587458
15 28.6612761013
22 27.2803594176
26 21.5988168288
29 11.2606539109
35 3.8109466978
46 1.6593163443
54 12.3730068783
evaluations raw_y
1 59.3604594455
2 51.0120114918
4 31.1921163933
11 10.1609930607
40 2.1710184479
54 20.4590926187
evaluations raw_y
1 36.1476270777
7 33.0422572854
9 23.2003257622
14 8.6451972106
31 5.9016709573
41 5.6737096284
53 4.9836207826
54 24.2678482580
evaluations raw_y
1 39.1425389371
4 27.3022223536
9 22.1216848011
11 11.1291983693
49 10.5161729059
54 17.3642798527
evaluations raw_y
1 43.4523915750
3 23.2250312012
24 23.0594720233
25 9.5586404340
40 5.1951804236
54 29.9385445357
evaluations raw_y
1 14.3885774705
32 12.8355063194
35 11.3340959883
43 11.2836705337
51 5.6899933845
54 17.5731652980
evaluations raw_y
1 74.9082716294
2 67.3442611292
4 25.3761664258
25 13.7606579613
54 36.8540916149
evaluations raw_y
1 108.6033706045
4 29.5602079731
14 19.6437642946
22 18.7293764808
54 44.9905347177
evaluations raw_y
1 24.6606367214
3 14.6235541289
54 49.6052748154
evaluations raw_y
1 47.4759043882
2 39.3069709816
5 36.6084747339
8 29.1882614071
13 27.6008121359
14 24.6856399655
22 18.7642173769
