evaluations raw_y
1 524.0714696691
4 423.6140371403
8 29.9651074528
15 0.3752411200
54 66.8659358240
evaluations raw_y
1 4.8215942474
10 0.8079604316
54 2.6619313496
evaluations raw_y
1 24.4115994930
23 9.2799610181
25 4.5526646884
29 4.3906972454
31 1.1656877450
48 0.5639074890
54 18.6217977621
evaluations raw_y
1 1.3961529839
47 1.2856090674
54 80.8044514271
evaluations raw_y
1 9568.0790483721
2 54.1255610505
15 38.5112281216
16 2.2371137857
31 1.4211054319
46 0.8177807341
54 1.2492415374
evaluations raw_y
1 21041.1919058815
2 16959.6009150195
3 13.7801177682
25 11.3192417879
26 6.8250097657
54 115.9345514079
evaluations raw_y
1 30668.4248206334
5 1003.3377095894
6 670.7163729284
17 32.1551516628
22 24.1385171666
35 14.5147419453
47 2.6533224007
54 119.7794680154
evaluations raw_y
1 125069.0406106724
2 59347.0403453515
4 16621.4087824833
5 75.4760973081
19 13.4750179057
48 4.4145672563
54 111.3651064392
evaluations raw_y
1 22649.0868392176
3 2464.8444301353
11 183.4803425994
21 47.5093868876
26 6.0010561302
54 4.7695591733
evaluations raw_y
1 51986.9104634257
2 1279.2998089831
7 161.2528857224
8 41.8742218331
13 30.3736462231
54 284263.0128419467
evaluations raw_y
1 18.3137846161
21 1.6075129929
47 0.2805909295
54 12.6171320367
evaluations raw_y
1 18755.6624785492
2 3103.5035770868
4 1.2190274282
34 0.1776089664
47 0.1095146387
54 0.4054015787
evaluations raw_y
1 74.2884131752
9 23.0607050115
21 0.3470247707
54 1027.0552915283
evaluations raw_y
1 66.0043167037
14 19.8461299732
32 18.0281760667
36 13.7022494756
39 9.9183007767
42 3.8290201720
54 109.6858194777
evaluations raw_y
1 1833.4954373785
2 57.9126593213
3 0.8708891170
54 129.7582053064
evaluations raw_y
1 30.6718773976
7 1.5844769767
25 1.3667064845
36 0.9859360210
54 54.1744011747
evaluations raw_y
1 146.3181508622
6 21.6493072750
28 21.5564166423
30 4.2366018955
36 3.7032430348
54 20.5197072290
evaluations raw_y
1 63.2916647060
8 62.8132622442
32 8.1247554691
34 5.4374326682
42 3.2089286529
54 522.0780421169
evaluations raw_y
1 7065.6329709675
2 1093.4356733815
4 179.2380497554
9 1.4860591408
54 157.2242524656
evaluations raw_y
1 1567.0944708691
2 170.0329594321
5 7.3583859618
25 2.9704120506
26 1.6336593469
38 0.2640994905
50 0.1964727602
54 0.0253020447
evaluations raw_y
1 18.4147656332
4 8.7304693976
17 4.5710618143
49 0.7289522483
54 7.5137590851
evaluations raw_y
1 2955.7333732988
2 392.1598624809
3 186.9100111044
15 3.0994478415
28 1.2628551339
54 75114.2636886150
evaluations raw_y
1 12878.6787662077
2 9447.2864418372
3 7105.4839662183
4 1568.9439113951
6 101.5054886621
7 19.4244713904
17 4.3509819441
34 3.3863190008
39 1.1262654789
54 5.3591233574
evaluations raw_y
1 3310.7527719828
2 2440.8162943840
3 554.8489909200
5 421.8451195650
6 90.5907414542
15 43.3166027747
17 23.8497536372
23 4.6138692023
54 12.7542653507
evaluations raw_y
1 2162.9986779781
4 95.7035631552
17 33.5647979683
26 10.9597484750
30 6.9240795116
47 3.8843860837
54 10.6099813774
evaluations raw_y
1 47744.6170943796
2 16882.4964576425
4 3427.0039891122
5 1523.5703871692
6 304.9164821863
21 194.2349199843
25 42.9033767718
40 9.3395842532
52 6.7835629683
54 652.3254413910
