evaluations raw_y
1 26.4271561663
2 9.0951808387
8 8.8671639547
15 6.8580081367
16 1.7377326924
17 0.0582115184
60 0.1525317277
evaluations raw_y
1 26.4271561663
2 9.0951808387
8 8.8671639547
15 6.8580081367
16 1.7377326924
17 0.0582115184
60 0.1525317277
evaluations raw_y
1 26.4271561663
2 9.0951808387
8 8.8671639547
15 6.8580081367
16 1.7377326924
17 0.0582115184
60 0.1525317277
evaluations raw_y
1 26.4271561663
2 9.0951808387
8 8.8671639547
15 6.8580081367
16 1.7377326924
17 0.0582115184
60 0.1525317277
evaluations raw_y
1 26.4271561663
2 9.0951808387
8 8.8671639547
15 6.8580081367
16 1.7377326924
17 0.0582115184
60 0.1525317277
evaluations raw_y
1 110.7540496345
2 10.7907583054
6 0.9593136110
9 0.5124218858
23 0.4499148194
28 0.1113885714
60 0.0090533850
evaluations raw_y
1 110.7540496345
2 10.7907583054
6 0.9593136110
9 0.5124218858
23 0.4499148194
28 0.1113885714
60 0.0090533850
evaluations raw_y
1 110.7540496345
2 10.7907583054
6 0.9593136110
9 0.5124218858
23 0.4499148194
28 0.1113885714
60 0.0090533850
evaluations raw_y
1 110.7540496345
2 10.7907583054
6 0.9593136110
9 0.5124218858
23 0.4499148194
28 0.1113885714
60 0.0090533850
evaluations raw_y
1 110.7540496345
2 10.7907583054
6 0.9593136110
9 0.5124218858
23 0.4499148194
28 0.1113885714
60 0.0090533850
evaluations raw_y
1 5.8841427417
15 3.3905954099
23 2.8462045173
24 1.0301508103
29 0.4293464251
34 0.2982880582
38 0.2050415677
60 0.1756180493
evaluations raw_y
1 5.8841427417
15 3.3905954099
23 2.8462045173
24 1.0301508103
29 0.4293464251
34 0.2982880582
38 0.2050415677
60 0.1756180493
evaluations raw_y
1 5.8841427417
15 3.3905954099
23 2.8462045173
24 1.0301508103
29 0.4293464251
34 0.2982880582
38 0.2050415677
60 0.1756180493
evaluations raw_y
1 5.8841427417
15 3.3905954099
23 2.8462045173
24 1.0301508103
29 0.4293464251
34 0.2982880582
38 0.2050415677
60 0.1756180493
evaluations raw_y
1 5.8841427417
15 3.3905954099
23 2.8462045173
24 1.0301508103
29 0.4293464251
34 0.2982880582
38 0.2050415677
60 0.1756180493
evaluations raw_y
1 11.9897220204
2 4.0956844601
11 2.0654677702
18 2.0368692003
19 2.0046165922
23 0.1847579281
27 0.0873682793
38 0.0361612813
60 0.8016275596
evaluations raw_y
1 11.9897220204
2 4.0956844601
11 2.0654677702
18 2.0368692003
19 2.0046165922
23 0.1847579281
27 0.0873682793
38 0.0361612813
60 0.8016275596
evaluations raw_y
1 11.9897220204
2 4.0956844601
11 2.0654677702
18 2.0368692003
19 2.0046165922
23 0.1847579281
27 0.0873682793
38 0.0361612813
60 0.8016275596
evaluations raw_y
1 11.9897220204
2 4.0956844601
11 2.0654677702
18 2.0368692003
19 2.0046165922
23 0.1847579281
27 0.0873682793
38 0.0361612813
60 0.8016275596
evaluations raw_y
1 11.9897220204
2 4.0956844601
11 2.0654677702
18 2.0368692003
19 2.0046165922
23 0.1847579281
27 0.0873682793
38 0.0361612813
60 0.8016275596
evaluations raw_y
1 43.5917628908
3 33.7613501099
8 1.7990995052
18 1.4542436239
31 1.2985559862
40 0.7892324622
51 0.1555107392
53 0.0650177645
59 0.0467906474
60 1.8366319843
evaluations raw_y
1 43.5917628908
3 33.7613501099
8 1.7990995052
18 1.4542436239
31 1.2985559862
40 0.7892324622
51 0.1555107392
53 0.0650177645
59 0.0467906474
60 1.8366319843
evaluations raw_y
1 43.5917628908
3 33.7613501099
8 1.7990995052
18 1.4542436239
31 1.2985559862
40 0.7892324622
51 0.1555107392
53 0.0650177645
59 0.0467906474
60 1.8366319843
evaluations raw_y
1 43.5917628908
3 33.7613501099
8 1.7990995052
18 1.4542436239
31 1.2985559862
40 0.7892324622
51 0.1555107392
53 0.0650177645
59 0.0467906474
60 1.8366319843
evaluations raw_y
1 43.5917628908
3 33.7613501099
8 1.7990995052
18 1.4542436239
31 1.2985559862
40 0.7892324622
51 0.1555107392
53 0.0650177645
59 0.0467906474
60 1.8366319843
evaluations raw_y
1 39.8930674282
2 6.4271627519
9 4.3620578288
14 3.1687307322
16 1.2169166839
23 0.9829414661
26 0.9296804758
28 0.6920789167
29 0.6777313981
36 0.0415885512
40 0.0315759874
60 2.3750720886
evaluations raw_y
1 39.8930674282
2 6.4271627519
9 4.3620578288
14 3.1687307322
16 1.2169166839
23 0.9829414661
26 0.9296804758
28 0.6920789167
29 0.6777313981
36 0.0415885512
40 0.0315759874
60 2.3750720886
evaluations raw_y
1 39.8930674282
2 6.4271627519
9 4.3620578288
14 3.1687307322
16 1.2169166839
23 0.9829414661
26 0.9296804758
28 0.6920789167
29 0.6777313981
36 0.0415885512
40 0.0315759874
60 2.3750720886
evaluations raw_y
1 39.8930674282
2 6.4271627519
9 4.3620578288
14 3.1687307322
16 1.2169166839
23 0.9829414661
26 0.9296804758
28 0.6920789167
29 0.6777313981
36 0.0415885512
40 0.0315759874
60 2.3750720886
evaluations raw_y
1 39.8930674282
2 6.4271627519
9 4.3620578288
14 3.1687307322
16 1.2169166839
23 0.9829414661
26 0.9296804758
28 0.6920789167
29 0.6777313981
36 0.0415885512
40 0.0315759874
60 2.3750720886
evaluations raw_y
1 13.3848746017
8 6.3198108008
11 4.6162282663
15 3.5377070318
18 3.3290171933
19 1.4707710647
22 1.3186406402
23 0.8327536727
38 0.7297004107
54 0.1567385955
60 0.2090160791
evaluations raw_y
1 13.3848746017
8 6.3198108008
11 4.6162282663
15 3.5377070318
18 3.3290171933
19 1.4707710647
22 1.3186406402
23 0.8327536727
38 0.7297004107
54 0.1567385955
60 0.2090160791
evaluations raw_y
1 13.3848746017
8 6.3198108008
11 4.6162282663
15 3.5377070318
18 3.3290171933
19 1.4707710647
22 1.3186406402
23 0.8327536727
38 0.7297004107
54 0.1567385955
60 0.2090160791
evaluations raw_y
1 13.3848746017
8 6.3198108008
11 4.6162282663
15 3.5377070318
18 3.3290171933
19 1.4707710647
22 1.3186406402
