evaluations raw_y
1 367.4371780627
2 54.7659789104
8 40.4382653584
11 35.3490122670
17 20.1318097809
31 16.5841535424
45 7.8418163590
60 3.3137003771
evaluations raw_y
1 367.4371780627
2 54.7659789104
8 40.4382653584
11 35.3490122670
17 20.1318097809
31 16.5841535424
45 7.8418163590
60 3.3137003771
evaluations raw_y
1 367.4371780627
2 54.7659789104
8 40.4382653584
11 35.3490122670
17 20.1318097809
31 16.5841535424
45 7.8418163590
60 3.3137003771
evaluations raw_y
1 367.4371780627
2 54.7659789104
8 40.4382653584
11 35.3490122670
17 20.1318097809
31 16.5841535424
45 7.8418163590
60 3.3137003771
evaluations raw_y
1 367.4371780627
2 54.7659789104
8 40.4382653584
11 35.3490122670
17 20.1318097809
31 16.5841535424
45 7.8418163590
60 3.3137003771
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
8 51.2768167608
16 33.3185969310
17 27.7392438497
18 14.8632164775
22 14.8342177796
51 6.8548202321
60 16.2770691534
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
8 51.2768167608
16 33.3185969310
17 27.7392438497
18 14.8632164775
22 14.8342177796
51 6.8548202321
60 16.2770691534
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
8 51.2768167608
16 33.3185969310
17 27.7392438497
18 14.8632164775
22 14.8342177796
51 6.8548202321
60 16.2770691534
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
8 51.2768167608
16 33.3185969310
17 27.7392438497
18 14.8632164775
22 14.8342177796
51 6.8548202321
60 16.2770691534
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
8 51.2768167608
16 33.3185969310
17 27.7392438497
18 14.8632164775
22 14.8342177796
51 6.8548202321
60 16.2770691534
evaluations raw_y
1 65.3859845765
6 26.1371611214
17 21.2492105765
19 15.0616754578
31 11.9863294533
44 10.0736596205
60 22.7491058707
evaluations raw_y
1 65.3859845765
6 26.1371611214
17 21.2492105765
19 15.0616754578
31 11.9863294533
44 10.0736596205
60 22.7491058707
evaluations raw_y
1 65.3859845765
6 26.1371611214
17 21.2492105765
19 15.0616754578
31 11.9863294533
44 10.0736596205
60 22.7491058707
evaluations raw_y
1 65.3859845765
6 26.1371611214
17 21.2492105765
19 15.0616754578
31 11.9863294533
44 10.0736596205
60 22.7491058707
evaluations raw_y
1 65.3859845765
6 26.1371611214
17 21.2492105765
19 15.0616754578
31 11.9863294533
44 10.0736596205
60 22.7491058707
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
13 18.8389788813
41 6.3229977658
42 4.0400027472
60 10.0927639677
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
13 18.8389788813
41 6.3229977658
42 4.0400027472
60 10.0927639677
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
13 18.8389788813
41 6.3229977658
42 4.0400027472
60 10.0927639677
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
13 18.8389788813
41 6.3229977658
42 4.0400027472
60 10.0927639677
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
13 18.8389788813
41 6.3229977658
42 4.0400027472
60 10.0927639677
evaluations raw_y
1 180.0935089607
4 78.5997361932
8 43.1393026134
11 26.9941036874
27 23.9700216318
34 16.9285323634
37 4.5643474056
60 59.3800427011
evaluations raw_y
1 180.0935089607
4 78.5997361932
8 43.1393026134
11 26.9941036874
27 23.9700216318
34 16.9285323634
37 4.5643474056
60 59.3800427011
evaluations raw_y
1 180.0935089607
4 78.5997361932
8 43.1393026134
11 26.9941036874
27 23.9700216318
34 16.9285323634
37 4.5643474056
60 59.3800427011
evaluations raw_y
1 180.0935089607
4 78.5997361932
8 43.1393026134
11 26.9941036874
27 23.9700216318
34 16.9285323634
37 4.5643474056
60 59.3800427011
evaluations raw_y
1 180.0935089607
4 78.5997361932
8 43.1393026134
11 26.9941036874
27 23.9700216318
34 16.9285323634
37 4.5643474056
60 59.3800427011
evaluations raw_y
1 572.2759800501
2 225.6714779595
3 136.2106147523
5 97.7042667641
9 59.5177160533
16 36.2530342399
22 34.8046974275
24 31.0892108981
27 27.4886699289
28 10.2012731719
48 7.3565923605
49 5.8245232809
60 27.1682491210
evaluations raw_y
1 572.2759800501
2 225.6714779595
3 136.2106147523
5 97.7042667641
9 59.5177160533
16 36.2530342399
22 34.8046974275
24 31.0892108981
27 27.4886699289
28 10.2012731719
48 7.3565923605
49 5.8245232809
60 27.1682491210
evaluations raw_y
1 572.2759800501
2 225.6714779595
3 136.2106147523
5 97.7042667641
9 59.5177160533
16 36.2530342399
22 34.8046974275
24 31.0892108981
27 27.4886699289
28 10.2012731719
48 7.3565923605
49 5.8245232809
60 27.1682491210
evaluations raw_y
1 572.2759800501
2 225.6714779595
3 136.2106147523
5 97.7042667641
9 59.5177160533
16 36.2530342399
22 34.8046974275
24 31.0892108981
27 27.4886699289
28 10.2012731719
48 7.3565923605
49 5.8245232809
60 27.1682491210
evaluations raw_y
1 572.2759800501
2 225.6714779595
3 136.2106147523
5 97.7042667641
9 59.5177160533
16 36.2530342399
22 34.8046974275
24 31.0892108981
27 27.4886699289
28 10.2012731719
48 7.3565923605
49 5.8245232809
60 27.1682491210
evaluations raw_y
1 553.6275786929
5 70.9835482704
6 53.2281798974
9 47.9462222363
14 38.8775681503
16 24.9225631912
18 13.4795930515
38 3.2677212871
60 28.2352076854
evaluations raw_y
1 553.6275786929
5 70.9835482704
6 53.2281798974
9 47.9462222363
14 38.8775681503
16 24.9225631912
18 13.4795930515
38 3.2677212871
60 28.2352076854
evaluations raw_y
1 553.6275786929
5 70.9835482704
6 53.2281798974
9 47.9462222363
14 38.8775681503
16 24.9225631912
18 13.4795930515
38 3.2677212871
60 28.2352076854
evaluations raw_y
1 553.6275786929
5 70.9835482704
6 53.2281798974
9 47.9462222363
14 38.8775681503
16 24.9225631912
18 13.4795930515
38 3.2677212871
60 28.2352076854
evaluations raw_y
1 553.6275786929
5 70.9835482704
6 53.2281798974
9 47.9462222363
14 38.8775681503
16 24.9225631912
18 13.4795930515
38 3.2677212871
60 28.2352076854
evaluations raw_y
1 58.6339901507
2 25.4403556063
6 21.9641457279
60 25.4541449618
evaluations raw_y
1 58.6339901507
2 25.4403556063
6 21.9641457279
60 25.4541449618
evaluations raw_y
1 58.6339901507
2 25.4403556063
6 21.9641457279
60 25.4541449618
evaluations raw_y
1 58.6339901507
2 25.4403556063
6 21.9641457279
60 25.4541449618
evaluations raw_y
1 58.6339901507
2 25.4403556063
6 21.9641457279
60 25.4541449618
evaluations raw_y
1 682.5525331803
2 45.3858147715
7 9.8808831933
43 2.2811804353
60 17.3398285440
evaluations raw_y
1 682.5525331803
2 45.3858147715
7 9.8808831933
43 2.2811804353
60 17.3398285440
evaluations raw_y
1 682.5525331803
2 45.3858147715
7 9.8808831933
43 2.2811804353
60 17.3398285440
evaluations raw_y
1 682.5525331803
2 45.3858147715
7 9.8808831933
43 2.2811804353
60 17.3398285440
evaluations raw_y
1 682.5525331803
2 45.3858147715
7 9.8808831933
43 2.2811804353
60 17.3398285440
evaluations raw_y
1 223.0745461130
2 96.8181502972
4 65.0406260813
13 41.0300017963
16 23.9101393329
17 15.4823132394
39 9.2686188056
60 53.3581150800
evaluations raw_y
1 223.0745461130
2 96.8181502972
4 65.0406260813
13 41.0300017963
16 23.9101393329
17 15.4823132394
39 9.2686188056
60 53.3581150800
evaluations raw_y
1 223.0745461130
2 96.8181502972
4 65.0406260813
13 41.0300017963
16 23.9101393329
17 15.4823132394
39 9.2686188056
60 53.3581150800
evaluations raw_y
1 223.0745461130
2 96.8181502972
4 65.0406260813
13 41.0300017963
16 23.9101393329
17 15.4823132394
39 9.2686188056
60 53.3581150800
evaluations raw_y
1 223.0745461130
2 96.8181502972
4 65.0406260813
13 41.0300017963
16 23.9101393329
17 15.4823132394
39 9.2686188056
60 53.3581150800
evaluations raw_y
1 97.9129319255
9 62.2053953809
16 36.7261418145
18 35.6513805029
28 19.1800690008
38 6.1080927571
60 20.2215408942
evaluations raw_y
1 97.9129319255
9 62.2053953809
16 36.7261418145
18 35.6513805029
28 19.1800690008
38 6.1080927571
60 20.2215408942
evaluations raw_y
1 97.9129319255
9 62.2053953809
16 36.7261418145
18 35.6513805029
28 19.1800690008
38 6.1080927571
60 20.2215408942
evaluations raw_y
1 97.9129319255
9 62.2053953809
16 36.7261418145
18 35.6513805029
28 19.1800690008
38 6.1080927571
60 20.2215408942
evaluations raw_y
1 97.9129319255
9 62.2053953809
16 36.7261418145
18 35.6513805029
28 19.1800690008
38 6.1080927571
60 20.2215408942
evaluations raw_y
1 235.2388087801
3 36.1552029697
22 16.3168169686
23 11.2211771944
42 8.7004478654
55 8.0985555175
60 35.7927516500
evaluations raw_y
1 235.2388087801
3 36.1552029697
22 16.3168169686
23 11.2211771944
42 8.7004478654
55 8.0985555175
60 35.7927516500
evaluations raw_y
1 235.2388087801
3 36.1552029697
22 16.3168169686
23 11.2211771944
42 8.7004478654
55 8.0985555175
60 35.7927516500
evaluations raw_y
1 235.2388087801
3 36.1552029697
22 16.3168169686
23 11.2211771944
42 8.7004478654
55 8.0985555175
60 35.7927516500
evaluations raw_y
1 235.2388087801
3 36.1552029697
22 16.3168169686
23 11.2211771944
42 8.7004478654
55 8.0985555175
60 35.7927516500
evaluations raw_y
1 69.7173190631
8 34.3493601629
18 18.9287305975
19 5.4344169891
60 12.5095851347
evaluations raw_y
1 69.7173190631
8 34.3493601629
18 18.9287305975
19 5.4344169891
60 12.5095851347
evaluations raw_y
1 69.7173190631
8 34.3493601629
18 18.9287305975
19 5.4344169891
60 12.5095851347
evaluations raw_y
1 69.7173190631
8 34.3493601629
18 18.9287305975
19 5.4344169891
