evaluations raw_y
1 55.3013127562
9 21.8377100476
10 6.4072899082
44 6.3453151182
49 4.9855060403
52 4.6174059347
60 4.3584281434
evaluations raw_y
1 55.3013127562
9 21.8377100476
10 6.4072899082
44 6.3453151182
49 4.9855060403
52 4.6174059347
60 4.3584281434
evaluations raw_y
1 55.3013127562
9 21.8377100476
10 6.4072899082
44 6.3453151182
49 4.9855060403
52 4.6174059347
60 4.3584281434
evaluations raw_y
1 55.3013127562
9 21.8377100476
10 6.4072899082
44 6.3453151182
49 4.9855060403
52 4.6174059347
60 4.3584281434
evaluations raw_y
1 55.3013127562
9 21.8377100476
10 6.4072899082
44 6.3453151182
49 4.9855060403
52 4.6174059347
60 4.3584281434
evaluations raw_y
1 108.9999840181
5 107.6471833107
6 75.4797132927
10 57.5703827231
13 38.7890462578
21 29.1980129717
31 17.0095014238
36 6.0889962246
44 4.9016873434
45 4.0410255543
60 201.9776592572
evaluations raw_y
1 108.9999840181
5 107.6471833107
6 75.4797132927
10 57.5703827231
13 38.7890462578
21 29.1980129717
31 17.0095014238
36 6.0889962246
44 4.9016873434
45 4.0410255543
60 201.9776592572
evaluations raw_y
1 108.9999840181
5 107.6471833107
6 75.4797132927
10 57.5703827231
13 38.7890462578
21 29.1980129717
31 17.0095014238
36 6.0889962246
44 4.9016873434
45 4.0410255543
60 201.9776592572
evaluations raw_y
1 108.9999840181
5 107.6471833107
6 75.4797132927
10 57.5703827231
13 38.7890462578
21 29.1980129717
31 17.0095014238
36 6.0889962246
44 4.9016873434
45 4.0410255543
60 201.9776592572
evaluations raw_y
1 108.9999840181
5 107.6471833107
6 75.4797132927
10 57.5703827231
13 38.7890462578
21 29.1980129717
31 17.0095014238
36 6.0889962246
44 4.9016873434
45 4.0410255543
60 201.9776592572
evaluations raw_y
1 110.6987002471
2 11.3211559697
28 3.4615985736
31 1.7756610425
32 1.5168789206
37 1.4675728656
39 1.1765894090
40 1.0121735708
60 112.9320159491
evaluations raw_y
1 110.6987002471
2 11.3211559697
28 3.4615985736
31 1.7756610425
32 1.5168789206
37 1.4675728656
39 1.1765894090
40 1.0121735708
60 112.9320159491
evaluations raw_y
1 110.6987002471
2 11.3211559697
28 3.4615985736
31 1.7756610425
32 1.5168789206
37 1.4675728656
39 1.1765894090
40 1.0121735708
60 112.9320159491
evaluations raw_y
1 110.6987002471
2 11.3211559697
28 3.4615985736
31 1.7756610425
32 1.5168789206
37 1.4675728656
39 1.1765894090
40 1.0121735708
60 112.9320159491
evaluations raw_y
1 110.6987002471
2 11.3211559697
28 3.4615985736
31 1.7756610425
32 1.5168789206
37 1.4675728656
39 1.1765894090
40 1.0121735708
60 112.9320159491
evaluations raw_y
1 56.5688588305
3 27.8077272590
7 16.8314481974
15 5.4632110190
45 3.3555535430
