evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 7995.4370802679
2 1027.9150500709
3 28.1336791812
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 21969.0009247307
2 2544.8687636496
5 4.9593898824
12 2.9251204314
22 2.8536133779
27 2.3924454363
28 2.3525467319
33 2.1173549453
40 1.8676905019
44 1.7619953416
53 1.1024405899
56 1.0426771765
60 305.4634027049
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
10 1643.6774949396
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
10 1643.6774949396
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
10 1643.6774949396
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
10 1643.6774949396
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 50686.3129328855
2 24233.3484650479
4 23899.0409454705
6 8463.0270321248
10 1643.6774949396
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
60 1721.0717970798
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
60 1721.0717970798
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
60 1721.0717970798
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
60 1721.0717970798
evaluations raw_y
1 92885.2423295743
2 11173.7607708803
3 2.3929889848
60 1721.0717970798
evaluations raw_y
1 956.2842732092
4 4.2569969296
11 3.3060779430
20 2.4363378539
36 2.1205066067
44 1.0939352483
60 18025.0032142908
evaluations raw_y
1 956.2842732092
4 4.2569969296
11 3.3060779430
20 2.4363378539
36 2.1205066067
44 1.0939352483
60 18025.0032142908
evaluations raw_y
1 956.2842732092
4 4.2569969296
11 3.3060779430
20 2.4363378539
36 2.1205066067
44 1.0939352483
60 18025.0032142908
evaluations raw_y
1 956.2842732092
4 4.2569969296
11 3.3060779430
20 2.4363378539
36 2.1205066067
44 1.0939352483
60 18025.0032142908
evaluations raw_y
1 956.2842732092
4 4.2569969296
11 3.3060779430
20 2.4363378539
36 2.1205066067
44 1.0939352483
60 18025.0032142908
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
10 3.2479021457
21 2.2911654227
36 1.8403047600
49 1.8062563284
60 2.1040982785
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
10 3.2479021457
21 2.2911654227
36 1.8403047600
49 1.8062563284
60 2.1040982785
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
10 3.2479021457
21 2.2911654227
36 1.8403047600
49 1.8062563284
60 2.1040982785
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
10 3.2479021457
21 2.2911654227
36 1.8403047600
49 1.8062563284
60 2.1040982785
evaluations raw_y
1 117953.1473257415
2 1350.9044422520
4 23.9707469530
10 3.2479021457
21 2.2911654227
36 1.8403047600
49 1.8062563284
60 2.1040982785
evaluations raw_y
1 114.1942695211
12 2.9251204314
20 2.9049136968
21 2.2604923287
31 1.6436260923
33 1.5957236248
36 1.4931436377
60 305.4634027049
evaluations raw_y
1 114.1942695211
12 2.9251204314
20 2.9049136968
21 2.2604923287
31 1.6436260923
33 1.5957236248
36 1.4931436377
60 305.4634027049
evaluations raw_y
1 114.1942695211
12 2.9251204314
20 2.9049136968
21 2.2604923287
31 1.6436260923
33 1.5957236248
36 1.4931436377
60 305.4634027049
evaluations raw_y
1 114.1942695211
12 2.9251204314
20 2.9049136968
21 2.2604923287
31 1.6436260923
33 1.5957236248
36 1.4931436377
60 305.4634027049
evaluations raw_y
1 114.1942695211
12 2.9251204314
20 2.9049136968
21 2.2604923287
31 1.6436260923
33 1.5957236248
36 1.4931436377
60 305.4634027049
evaluations raw_y
1 27091.7641792613
2 1567.8216029440
3 779.6438906207
9 142.1687898680
11 3.3060779430
23 3.0508808917
31 1.3342025215
53 1.3078044515
54 1.2417560504
60 18025.0032142908
evaluations raw_y
1 27091.7641792613
2 1567.8216029440
3 779.6438906207
9 142.1687898680
11 3.3060779430
23 3.0508808917
31 1.3342025215
53 1.3078044515
54 1.2417560504
60 18025.0032142908
evaluations raw_y
1 27091.7641792613
2 1567.8216029440
3 779.6438906207
9 142.1687898680
11 3.3060779430
23 3.0508808917
31 1.3342025215
53 1.3078044515
54 1.2417560504
60 18025.0032142908
evaluations raw_y
1 27091.7641792613
2 1567.8216029440
3 779.6438906207
9 142.1687898680
11 3.3060779430
23 3.0508808917
31 1.3342025215
53 1.3078044515
54 1.2417560504
60 18025.0032142908
evaluations raw_y
1 27091.7641792613
2 1567.8216029440
3 779.6438906207
9 142.1687898680
11 3.3060779430
23 3.0508808917
31 1.3342025215
53 1.3078044515
54 1.2417560504
60 18025.0032142908
evaluations raw_y
1 41184.4849167198
2 3380.6675579248
3 2340.9545779281
4 231.9892243567
9 142.1687898680
11 3.3060779430
22 3.2153106956
23 2.9457277720
60 18025.0032142908
evaluations raw_y
1 41184.4849167198
2 3380.6675579248
3 2340.9545779281
4 231.9892243567
9 142.1687898680
11 3.3060779430
22 3.2153106956
23 2.9457277720
60 18025.0032142908
evaluations raw_y
1 41184.4849167198
2 3380.6675579248
3 2340.9545779281
4 231.9892243567
9 142.1687898680
11 3.3060779430
22 3.2153106956
23 2.9457277720
60 18025.0032142908
evaluations raw_y
1 41184.4849167198
2 3380.6675579248
3 2340.9545779281
4 231.9892243567
9 142.1687898680
11 3.3060779430
22 3.2153106956
23 2.9457277720
60 18025.0032142908
evaluations raw_y
1 41184.4849167198
2 3380.6675579248
3 2340.9545779281
4 231.9892243567
9 142.1687898680
11 3.3060779430
22 3.2153106956
23 2.9457277720
60 18025.0032142908
evaluations raw_y
1 4.6698889641
10 3.2479021457
44 2.2059566807
45 1.7138326083
47 0.9763793950
60 11793.8105892554
evaluations raw_y
1 4.6698889641
10 3.2479021457
44 2.2059566807
45 1.7138326083
47 0.9763793950
60 11793.8105892554
evaluations raw_y
1 4.6698889641
10 3.2479021457
44 2.2059566807
45 1.7138326083
47 0.9763793950
60 11793.8105892554
evaluations raw_y
1 4.6698889641
10 3.2479021457
44 2.2059566807
45 1.7138326083
47 0.9763793950
60 11793.8105892554
evaluations raw_y
1 4.6698889641
10 3.2479021457
44 2.2059566807
45 1.7138326083
47 0.9763793950
60 11793.8105892554
evaluations raw_y
1 55448.6131340466
2 1379.5529620277
3 341.7403312127
6 132.0970320659
9 6.8990382336
11 3.6882010782
20 3.6237306886
22 3.2813780995
27 2.3543779278
29 1.7931888779
44 1.7011621763
55 1.6209705868
60 1721.0717970798
evaluations raw_y
1 55448.6131340466
2 1379.5529620277
3 341.7403312127
6 132.0970320659
9 6.8990382336
11 3.6882010782
20 3.6237306886
22 3.2813780995
27 2.3543779278
29 1.7931888779
44 1.7011621763
55 1.6209705868
60 1721.0717970798
evaluations raw_y
1 55448.6131340466
2 1379.5529620277
3 341.7403312127
6 132.0970320659
9 6.8990382336
11 3.6882010782
20 3.6237306886
22 3.2813780995
27 2.3543779278
29 1.7931888779
44 1.7011621763
55 1.6209705868
60 1721.0717970798
evaluations raw_y
1 55448.6131340466
2 1379.5529620277
3 341.7403312127
6 132.0970320659
9 6.8990382336
11 3.6882010782
20 3.6237306886
22 3.2813780995
27 2.3543779278
29 1.7931888779
44 1.7011621763
55 1.6209705868
60 1721.0717970798
evaluations raw_y
1 55448.6131340466
2 1379.5529620277
3 341.7403312127
6 132.0970320659
9 6.8990382336
11 3.6882010782
20 3.6237306886
22 3.2813780995
27 2.3543779278
29 1.7931888779
44 1.7011621763
55 1.6209705868
60 1721.0717970798
evaluations raw_y
1 3486.0197605917
2 2.5889645281
20 2.4363378539
47 2.4137053614
60 18025.0032142908
evaluations raw_y
1 3486.0197605917
2 2.5889645281
20 2.4363378539
47 2.4137053614
60 18025.0032142908
evaluations raw_y
1 3486.0197605917
2 2.5889645281
20 2.4363378539
47 2.4137053614
60 18025.0032142908
evaluations raw_y
1 3486.0197605917
2 2.5889645281
20 2.4363378539
47 2.4137053614
60 18025.0032142908
evaluations raw_y
1 3486.0197605917
2 2.5889645281
20 2.4363378539
47 2.4137053614
60 18025.0032142908
evaluations raw_y
1 5018.5586271268
2 2343.3634353592
5 2202.7963496923
9 142.1687898680
11 3.3060779430
60 18025.0032142908
evaluations raw_y
1 5018.5586271268
2 2343.3634353592
5 2202.7963496923
9 142.1687898680
11 3.3060779430
60 18025.0032142908
evaluations raw_y
1 5018.5586271268
2 2343.3634353592
5 2202.7963496923
9 142.1687898680
11 3.3060779430
60 18025.0032142908
evaluations raw_y
1 5018.5586271268
2 2343.3634353592
5 2202.7963496923
9 142.1687898680
11 3.3060779430
60 18025.0032142908
evaluations raw_y
1 5018.5586271268
2 2343.3634353592
5 2202.7963496923
9 142.1687898680
11 3.3060779430
60 18025.0032142908
evaluations raw_y
1 3.9322712134
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 3.9322712134
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 3.9322712134
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 3.9322712134
12 2.9251204314
22 1.6133701538
60 305.4634027049
evaluations raw_y
1 3.9322712134
12 2.9251204314
22 1.6133701538
60 305.4634027049
