evaluations raw_y
1 119.0860989266
3 28.3786008898
4 16.1323836657
12 7.5793413096
39 7.4842634897
40 7.1273619163
44 5.9339678876
45 5.2873660030
60 80.6152413380
evaluations raw_y
1 119.0860989266
3 28.3786008898
4 16.1323836657
12 7.5793413096
39 7.4842634897
40 7.1273619163
44 5.9339678876
45 5.2873660030
60 80.6152413380
evaluations raw_y
1 119.0860989266
3 28.3786008898
4 16.1323836657
12 7.5793413096
39 7.4842634897
40 7.1273619163
44 5.9339678876
45 5.2873660030
60 80.6152413380
evaluations raw_y
1 119.0860989266
3 28.3786008898
4 16.1323836657
12 7.5793413096
39 7.4842634897
40 7.1273619163
44 5.9339678876
45 5.2873660030
60 80.6152413380
evaluations raw_y
1 119.0860989266
3 28.3786008898
4 16.1323836657
12 7.5793413096
39 7.4842634897
40 7.1273619163
44 5.9339678876
45 5.2873660030
60 80.6152413380
evaluations raw_y
1 124.9116598586
5 63.4438851696
9 11.3220244898
32 7.3534750874
38 6.3452907995
40 5.7329884293
46 5.2933940398
47 5.0010765031
60 9.2098882776
evaluations raw_y
1 124.9116598586
5 63.4438851696
9 11.3220244898
32 7.3534750874
38 6.3452907995
40 5.7329884293
46 5.2933940398
47 5.0010765031
60 9.2098882776
evaluations raw_y
1 124.9116598586
5 63.4438851696
9 11.3220244898
32 7.3534750874
38 6.3452907995
40 5.7329884293
46 5.2933940398
47 5.0010765031
60 9.2098882776
evaluations raw_y
1 124.9116598586
5 63.4438851696
9 11.3220244898
32 7.3534750874
38 6.3452907995
40 5.7329884293
46 5.2933940398
47 5.0010765031
60 9.2098882776
evaluations raw_y
1 124.9116598586
5 63.4438851696
9 11.3220244898
32 7.3534750874
38 6.3452907995
40 5.7329884293
46 5.2933940398
47 5.0010765031
60 9.2098882776
evaluations raw_y
1 29.3485291156
11 26.7110167826
36 23.4786481927
43 23.3611071306
44 22.8222271081
45 21.9153570210
52 14.3700076906
60 49.7461645564
evaluations raw_y
1 29.3485291156
11 26.7110167826
36 23.4786481927
43 23.3611071306
44 22.8222271081
45 21.9153570210
52 14.3700076906
60 49.7461645564
evaluations raw_y
1 29.3485291156
11 26.7110167826
36 23.4786481927
43 23.3611071306
44 22.8222271081
45 21.9153570210
52 14.3700076906
60 49.7461645564
evaluations raw_y
1 29.3485291156
11 26.7110167826
36 23.4786481927
43 23.3611071306
44 22.8222271081
45 21.9153570210
52 14.3700076906
60 49.7461645564
evaluations raw_y
1 29.3485291156
11 26.7110167826
36 23.4786481927
43 23.3611071306
44 22.8222271081
45 21.9153570210
52 14.3700076906
60 49.7461645564
evaluations raw_y
1 87.7338632124
2 38.6128192594
3 37.6017025672
4 14.6390378488
31 10.2022609116
40 9.8639285863
44 9.5793889061
45 9.5496103072
53 6.6130553601
54 2.5585884418
55 2.3735546242
60 191.4808684354
evaluations raw_y
1 87.7338632124
2 38.6128192594
3 37.6017025672
4 14.6390378488
31 10.2022609116
40 9.8639285863
44 9.5793889061
45 9.5496103072
53 6.6130553601
54 2.5585884418
55 2.3735546242
60 191.4808684354
evaluations raw_y
1 87.7338632124
2 38.6128192594
3 37.6017025672
4 14.6390378488
31 10.2022609116
40 9.8639285863
44 9.5793889061
45 9.5496103072
53 6.6130553601
54 2.5585884418
55 2.3735546242
60 191.4808684354
evaluations raw_y
1 87.7338632124
2 38.6128192594
3 37.6017025672
4 14.6390378488
31 10.2022609116
40 9.8639285863
44 9.5793889061
45 9.5496103072
53 6.6130553601
54 2.5585884418
55 2.3735546242
60 191.4808684354
evaluations raw_y
1 87.7338632124
2 38.6128192594
3 37.6017025672
4 14.6390378488
31 10.2022609116
40 9.8639285863
44 9.5793889061
45 9.5496103072
53 6.6130553601
54 2.5585884418
55 2.3735546242
60 191.4808684354
evaluations raw_y
1 40.0119863784
4 33.9081525582
20 30.3274069637
23 30.0388464804
36 25.6400361243
47 25.4282995322
50 25.2160074860
53 25.2037944369
56 12.9015733521
60 48.1559438148
evaluations raw_y
1 40.0119863784
4 33.9081525582
20 30.3274069637
23 30.0388464804
36 25.6400361243
47 25.4282995322
50 25.2160074860
53 25.2037944369
56 12.9015733521
60 48.1559438148
evaluations raw_y
1 40.0119863784
4 33.9081525582
20 30.3274069637
23 30.0388464804
36 25.6400361243
47 25.4282995322
50 25.2160074860
53 25.2037944369
56 12.9015733521
60 48.1559438148
evaluations raw_y
1 40.0119863784
4 33.9081525582
20 30.3274069637
23 30.0388464804
36 25.6400361243
47 25.4282995322
50 25.2160074860
53 25.2037944369
56 12.9015733521
60 48.1559438148
evaluations raw_y
1 40.0119863784
4 33.9081525582
20 30.3274069637
23 30.0388464804
36 25.6400361243
47 25.4282995322
50 25.2160074860
53 25.2037944369
56 12.9015733521
60 48.1559438148
evaluations raw_y
1 442.4210068618
2 138.5654691294
7 80.7947135234
9 62.8619228781
13 24.6178356563
20 12.9248344997
36 9.8880204634
37 9.2951119322
59 8.2714397861
60 238.0550631168
evaluations raw_y
1 442.4210068618
2 138.5654691294
7 80.7947135234
9 62.8619228781
13 24.6178356563
20 12.9248344997
36 9.8880204634
37 9.2951119322
59 8.2714397861
60 238.0550631168
evaluations raw_y
1 442.4210068618
2 138.5654691294
7 80.7947135234
9 62.8619228781
13 24.6178356563
20 12.9248344997
36 9.8880204634
37 9.2951119322
59 8.2714397861
60 238.0550631168
evaluations raw_y
1 442.4210068618
2 138.5654691294
7 80.7947135234
9 62.8619228781
13 24.6178356563
20 12.9248344997
36 9.8880204634
37 9.2951119322
59 8.2714397861
60 238.0550631168
evaluations raw_y
1 442.4210068618
2 138.5654691294
7 80.7947135234
9 62.8619228781
13 24.6178356563
20 12.9248344997
36 9.8880204634
37 9.2951119322
59 8.2714397861
60 238.0550631168
evaluations raw_y
1 67.8738720424
2 64.4640470080
7 62.9717117111
9 40.1995295496
11 36.0327928275
13 34.1193093598
20 10.4918373448
53 10.2520856391
60 10.1439668358
evaluations raw_y
1 67.8738720424
2 64.4640470080
7 62.9717117111
9 40.1995295496
11 36.0327928275
13 34.1193093598
20 10.4918373448
53 10.2520856391
60 10.1439668358
evaluations raw_y
1 67.8738720424
2 64.4640470080
7 62.9717117111
9 40.1995295496
11 36.0327928275
13 34.1193093598
20 10.4918373448
53 10.2520856391
60 10.1439668358
evaluations raw_y
1 67.8738720424
2 64.4640470080
7 62.9717117111
9 40.1995295496
11 36.0327928275
13 34.1193093598
20 10.4918373448
53 10.2520856391
60 10.1439668358
evaluations raw_y
1 67.8738720424
2 64.4640470080
7 62.9717117111
9 40.1995295496
11 36.0327928275
13 34.1193093598
20 10.4918373448
53 10.2520856391
60 10.1439668358
evaluations raw_y
1 57.2756868335
3 29.7768508797
9 3.9664084571
28 1.4863467285
29 1.4438935042
33 1.3738329348
39 1.2780076779
44 1.1405239049
47 1.1345499893
58 0.9983922972
60 48.8393749441
evaluations raw_y
1 57.2756868335
3 29.7768508797
9 3.9664084571
28 1.4863467285
29 1.4438935042
33 1.3738329348
39 1.2780076779
