evaluations raw_y
1 367.4371780627
2 54.7659789104
12 45.0024259133
18 43.2417698987
23 40.1951581324
24 11.7733748836
53 9.4463273401
54 7.3461538944
60 91.0070466556
evaluations raw_y
1 367.4371780627
2 54.7659789104
12 45.0024259133
18 43.2417698987
23 40.1951581324
24 11.7733748836
53 9.4463273401
54 7.3461538944
60 91.0070466556
evaluations raw_y
1 367.4371780627
2 54.7659789104
12 45.0024259133
18 43.2417698987
23 40.1951581324
24 11.7733748836
53 9.4463273401
54 7.3461538944
60 91.0070466556
evaluations raw_y
1 367.4371780627
2 54.7659789104
12 45.0024259133
18 43.2417698987
23 40.1951581324
24 11.7733748836
53 9.4463273401
54 7.3461538944
60 91.0070466556
evaluations raw_y
1 367.4371780627
2 54.7659789104
12 45.0024259133
18 43.2417698987
23 40.1951581324
24 11.7733748836
53 9.4463273401
54 7.3461538944
60 91.0070466556
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
9 11.3220244898
28 6.3200945543
60 64.7674490511
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
9 11.3220244898
28 6.3200945543
60 64.7674490511
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
9 11.3220244898
28 6.3200945543
60 64.7674490511
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
9 11.3220244898
28 6.3200945543
60 64.7674490511
evaluations raw_y
1 283.8972693312
2 279.4549590628
3 179.8949551305
6 59.1867726584
9 11.3220244898
28 6.3200945543
60 64.7674490511
evaluations raw_y
1 65.3859845765
6 26.1371611214
11 22.0133154626
22 21.6838444239
28 19.7993745025
33 19.3668888186
40 15.2686008794
48 10.4837405337
50 6.5319282310
55 6.0135378426
56 5.2531400155
60 45.4844765077
evaluations raw_y
1 65.3859845765
6 26.1371611214
11 22.0133154626
22 21.6838444239
28 19.7993745025
33 19.3668888186
40 15.2686008794
48 10.4837405337
50 6.5319282310
55 6.0135378426
56 5.2531400155
60 45.4844765077
evaluations raw_y
1 65.3859845765
6 26.1371611214
11 22.0133154626
22 21.6838444239
28 19.7993745025
33 19.3668888186
40 15.2686008794
48 10.4837405337
50 6.5319282310
55 6.0135378426
56 5.2531400155
60 45.4844765077
evaluations raw_y
1 65.3859845765
6 26.1371611214
11 22.0133154626
22 21.6838444239
28 19.7993745025
33 19.3668888186
40 15.2686008794
48 10.4837405337
50 6.5319282310
55 6.0135378426
56 5.2531400155
60 45.4844765077
evaluations raw_y
1 65.3859845765
6 26.1371611214
11 22.0133154626
22 21.6838444239
28 19.7993745025
33 19.3668888186
40 15.2686008794
48 10.4837405337
50 6.5319282310
55 6.0135378426
56 5.2531400155
60 45.4844765077
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
11 14.3475963711
21 11.4751928253
54 9.7150295463
55 8.8473953643
60 127.1439864622
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
11 14.3475963711
21 11.4751928253
54 9.7150295463
55 8.8473953643
60 127.1439864622
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
11 14.3475963711
21 11.4751928253
54 9.7150295463
55 8.8473953643
60 127.1439864622
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
11 14.3475963711
21 11.4751928253
54 9.7150295463
55 8.8473953643
60 127.1439864622
evaluations raw_y
1 685.0767527139
2 603.3682943221
3 48.9961033820
4 22.9310094204
11 14.3475963711
21 11.4751928253
54 9.7150295463
55 8.8473953643
60 127.1439864622
evaluations raw_y
1 180.0935089607
4 78.5997361932
10 25.6445747212
23 24.6402064063
37 24.6016190740
38 24.4994360090
44 21.0085761354
46 13.1250504702
47 9.8594441531
53 9.7379373038
60 17.4824242880
evaluations raw_y
1 180.0935089607
4 78.5997361932
10 25.6445747212
23 24.6402064063
37 24.6016190740
38 24.4994360090
44 21.0085761354
46 13.1250504702
47 9.8594441531
53 9.7379373038
60 17.4824242880
evaluations raw_y
1 180.0935089607
4 78.5997361932
10 25.6445747212
23 24.6402064063
37 24.6016190740
38 24.4994360090
44 21.0085761354
46 13.1250504702
47 9.8594441531
53 9.7379373038
60 17.4824242880
