evaluations raw_y
1 22.3263571698
5 17.5545306911
6 7.9739392968
28 5.1358120745
29 4.9218681294
33 3.9744352374
50 0.6813623558
55 0.5597584214
58 0.3318534160
60 55.9182383631
evaluations raw_y
1 22.3263571698
5 17.5545306911
6 7.9739392968
28 5.1358120745
29 4.9218681294
33 3.9744352374
50 0.6813623558
55 0.5597584214
58 0.3318534160
60 55.9182383631
evaluations raw_y
1 22.3263571698
5 17.5545306911
6 7.9739392968
28 5.1358120745
29 4.9218681294
33 3.9744352374
50 0.6813623558
55 0.5597584214
58 0.3318534160
60 55.9182383631
evaluations raw_y
1 22.3263571698
5 17.5545306911
6 7.9739392968
28 5.1358120745
29 4.9218681294
33 3.9744352374
50 0.6813623558
55 0.5597584214
58 0.3318534160
60 55.9182383631
evaluations raw_y
1 22.3263571698
5 17.5545306911
6 7.9739392968
28 5.1358120745
29 4.9218681294
33 3.9744352374
50 0.6813623558
55 0.5597584214
58 0.3318534160
60 55.9182383631
evaluations raw_y
1 50.6504860137
4 24.9638500659
5 22.7091113892
7 7.9063014966
20 6.3050395205
21 3.3454422105
28 3.2267564285
29 2.6267980896
32 1.6536251526
33 0.6524806176
36 0.1322805175
53 0.0976418869
58 0.0674984890
60 59.9969872876
evaluations raw_y
1 50.6504860137
4 24.9638500659
5 22.7091113892
7 7.9063014966
20 6.3050395205
21 3.3454422105
28 3.2267564285
29 2.6267980896
32 1.6536251526
33 0.6524806176
36 0.1322805175
53 0.0976418869
58 0.0674984890
60 59.9969872876
evaluations raw_y
1 50.6504860137
4 24.9638500659
5 22.7091113892
7 7.9063014966
20 6.3050395205
21 3.3454422105
28 3.2267564285
29 2.6267980896
32 1.6536251526
33 0.6524806176
36 0.1322805175
53 0.0976418869
58 0.0674984890
60 59.9969872876
evaluations raw_y
1 50.6504860137
4 24.9638500659
5 22.7091113892
7 7.9063014966
20 6.3050395205
21 3.3454422105
28 3.2267564285
29 2.6267980896
32 1.6536251526
33 0.6524806176
36 0.1322805175
53 0.0976418869
58 0.0674984890
60 59.9969872876
evaluations raw_y
1 50.6504860137
4 24.9638500659
5 22.7091113892
7 7.9063014966
20 6.3050395205
21 3.3454422105
28 3.2267564285
29 2.6267980896
32 1.6536251526
33 0.6524806176
36 0.1322805175
53 0.0976418869
58 0.0674984890
60 59.9969872876
evaluations raw_y
1 74.7348941944
2 39.8992625415
7 13.8077253941
17 10.6258187443
20 8.8956771545
28 2.7067378254
44 2.1796167523
45 1.9822775802
47 1.5787980605
53 1.3143554322
55 0.8119096244
60 54.0817616369
evaluations raw_y
1 74.7348941944
2 39.8992625415
7 13.8077253941
17 10.6258187443
20 8.8956771545
28 2.7067378254
44 2.1796167523
45 1.9822775802
47 1.5787980605
53 1.3143554322
55 0.8119096244
60 54.0817616369
evaluations raw_y
1 74.7348941944
2 39.8992625415
7 13.8077253941
17 10.6258187443
20 8.8956771545
28 2.7067378254
44 2.1796167523
45 1.9822775802
47 1.5787980605
53 1.3143554322
55 0.8119096244
60 54.0817616369
evaluations raw_y
1 74.7348941944
2 39.8992625415
7 13.8077253941
17 10.6258187443
20 8.8956771545
28 2.7067378254
44 2.1796167523
45 1.9822775802
47 1.5787980605
53 1.3143554322
55 0.8119096244
60 54.0817616369
evaluations raw_y
1 74.7348941944
2 39.8992625415
7 13.8077253941
17 10.6258187443
20 8.8956771545
28 2.7067378254
44 2.1796167523
45 1.9822775802
47 1.5787980605
53 1.3143554322
55 0.8119096244
60 54.0817616369
evaluations raw_y
1 66.1396199691
