evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
38 18624.8323077712
67 17337.4486737155
79 16424.3467669421
81 16010.2425717131
85 14940.4058461968
89 14393.0479336650
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
88 18980.1089876628
89 30438.7092949309
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
35 12917.3708033629
57 9779.9468386149
60 7397.7443804195
61 7336.0590961324
64 6687.2564804989
68 5332.7926860516
69 3999.8379338700
73 3016.7683624535
77 2035.6303742380
87 1274.5111608310
89 38352.9243534256
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
29 17810.0421787474
53 10473.6904029724
55 5367.4632570031
57 2686.6545379128
78 1965.3961398153
81 1639.9259744507
84 295.7795551033
89 1032.3065905840
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
87 22071.8441591565
89 35110.5443479307
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
11 161899.2584000161
32 40347.4407887827
36 24546.1443414004
43 22786.9328425651
51 19950.5760585652
56 7765.6432877241
70 6847.6989703945
86 6208.9284865551
89 12542.3302299866
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
11 4318.2888439105
66 2575.4354640781
70 2515.3583654147
89 2579.7661507288
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 282836.2690150642
15 70044.7562391766
35 30794.1409684238
53 30284.0261517509
61 26882.9576008264
63 25159.8831287173
89 43575.8274929544
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
18 48122.4518682417
48 19011.1068145995
49 17901.9950643421
54 3806.6528947926
71 2700.8698148391
82 670.8281392369
89 992.2295340075
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
10 8059.1720522440
11 5292.0741563367
38 3135.2824433941
47 2712.2646452161
64 2139.4682574526
67 1705.9014400568
70 954.6754872630
73 781.5164404599
89 4616.0413397775
evaluations raw_y
1 9077118.6137494724
4 5572962.0645948807
8 2411142.8289400754
14 2051542.3073023730
15 112216.0385086179
24 48997.9726656821
47 12422.8118812810
59 9547.4627870221
60 5666.7781846937
86 2818.5001809937
89 2252.1786652478
evaluations raw_y
1 9077118.6137494724
4 5572962.0645948807
8 2411142.8289400754
11 13132.5982177689
30 12158.2122630368
52 2999.3731304504
78 2510.1116508512
85 2255.4681993501
87 2247.5965182762
89 2524.3521059920
evaluations raw_y
1 9077118.6137494724
4 5572962.0645948807
8 2411142.8289400754
10 512142.4117864873
