evaluations raw_y
1 17303.6440546435
4 6760.0780570068
5 2902.0524677182
10 487.4820064452
23 74.6584365936
24 4.6847390486
34 3.8294792996
42 3.5567301528
68 3.3323201805
70 3.2104036814
72 2.9641509084
76 2.6519604379
78 2.5439600436
85 2.4615024218
88 2.2607365212
89 3.0073923764
evaluations raw_y
1 17303.6440546435
4 6760.0780570068
5 2902.0524677182
10 566.4984817267
26 4.2034717863
29 3.4462558389
42 3.0009143099
54 2.9909528782
72 2.3262181390
89 6.2222403050
evaluations raw_y
1 17303.6440546435
4 6760.0780570068
5 2902.0524677182
22 1580.3976603929
25 5.5279214594
27 4.0582855094
38 2.6401025439
89 3.7450810308
evaluations raw_y
1 17303.6440546435
4 6760.0780570068
5 2902.0524677182
21 1301.9741079957
39 5.7730644952
51 2.5181123826
75 2.3994876294
76 1.9811181478
89 3.6504424310
evaluations raw_y
1 17303.6440546435
4 6760.0780570068
5 2902.0524677182
12 2367.4629497076
15 512.4283635631
42 5.9520040161
46 5.7627835230
48 3.5724263786
52 2.8938388560
55 1.8394193832
85 1.8285717899
89 3.0774876979
evaluations raw_y
1 23567.6058181433
7 2269.3735371161
16 1302.6236258285
20 447.4354462174
28 3.5917076148
31 2.6012318682
69 2.1702558608
79 2.1254927335
89 2.2005061459
evaluations raw_y
1 23567.6058181433
7 2269.3735371161
10 338.1712477962
13 6.7038836385
20 4.8909116725
21 4.5033200118
24 3.9426888694
29 3.9298712594
43 3.7184260252
56 3.6614137953
76 3.2236225827
88 2.8111523909
89 48.5336804198
evaluations raw_y
1 23567.6058181433
7 2269.3735371161
15 1593.5518173879
20 54.8131885242
34 4.8839376395
48 4.0116872908
50 3.5909871517
66 3.5715014552
67 3.1482715711
70 2.3454192534
74 2.0300693910
89 162.3064171808
evaluations raw_y
1 23567.6058181433
7 2269.3735371161
11 258.2065946700
17 4.4734894656
22 2.1795320732
58 1.0719624862
81 0.8775513817
89 1.2618393911
evaluations raw_y
1 23567.6058181433
7 2269.3735371161
29 3.1691146574
36 3.1137168625
85 3.0805392545
86 2.2890021460
89 3.0546420744
evaluations raw_y
1 53975.6660061862
2 41414.6494273877
4 2323.1643861107
7 1826.9774196186
17 420.4504615524
18 256.2591676573
22 4.4711199430
54 3.5770207529
60 2.1861120420
69 1.7137169955
89 2.5883645618
evaluations raw_y
1 53975.6660061862
2 41414.6494273877
4 2323.1643861107
7 1826.9774196186
11 43.9566297936
22 5.8201009738
31 5.6637749705
33 3.0632260282
79 2.9509595230
89 4.5383627212
evaluations raw_y
1 53975.6660061862
2 41414.6494273877
4 2323.1643861107
7 1826.9774196186
10 434.0252380972
17 1.7555971684
50 1.6036997977
60 1.3495872029
69 0.8579399446
86 0.6946212523
87 0.5704440739
89 0.8321697617
evaluations raw_y
1 53975.6660061862
2 41414.6494273877
4 2323.1643861107
7 1826.9774196186
10 111.3733514522
15 79.6281677723
34 2.2791187984
68 2.2398928051
89 2.1343637912
evaluations raw_y
1 53975.6660061862
2 41414.6494273877
4 2323.1643861107
7 1826.9774196186
32 319.0667575576
45 298.9697097021
57 55.1525864503
66 4.7513696996
70 3.4846739900
80 2.5428507881
86 2.5421891569
89 3.9444223881
evaluations raw_y
1 1319.5495893299
25 335.8861844822
35 2.1404216166
87 2.1141986116
89 2.5398893414
evaluations raw_y
1 1319.5495893299
17 1315.9655137904
31 293.7382091842
32 1.6256614365
75 1.4770586213
79 0.9019426052
80 0.7244439555
82 0.4155021353
83 0.2312332229
84 0.1595231661
89 0.6557331105
evaluations raw_y
1 1319.5495893299
21 4.4295292778
29 1.8940697232
86 1.8393302187
89 1.7268561154
evaluations raw_y
1 1319.5495893299
19 413.5317670046
22 1.9601157786
74 1.6402787550
79 1.4165293512
88 1.0907514100
89 4.4414974876
evaluations raw_y
1 1319.5495893299
25 922.5621209951
58 5.4193666135
67 5.2857066940
69 4.4090090869
70 3.2860696334
73 3.1871252909
75 2.1037052442
89 3.9817594649
evaluations raw_y
1 100599.0817246745
2 46865.9351362277
3 212.5013694109
10 36.3914703170
36 2.1941607657
47 1.9798042912
73 1.8693770395
77 1.7522844031
89 2.5881172393
evaluations raw_y
1 100599.0817246745
2 46865.9351362277
3 212.5013694109
43 80.8418358629
46 38.7029450575
47 3.5698684253
72 2.8964735389
82 2.7832199091
89 22.5204797673
evaluations raw_y
1 100599.0817246745
2 46865.9351362277
3 212.5013694109
15 3.7664279204
49 3.4315129479
55 2.6110021857
62 2.4215349974
89 2.2539852901
evaluations raw_y
1 100599.0817246745
2 46865.9351362277
3 212.5013694109
13 4.0215821451
38 3.9602884421
41 2.5116525610
65 2.3685451475
77 2.1419943352
89 3.6716558295
evaluations raw_y
1 100599.0817246745
