evaluations raw_y
1 21.8413447245
2 2.0502409439
89 2.6567982628
evaluations raw_y
1 21.8413447245
2 2.0502409439
29 1.9594077664
49 1.6019797086
54 1.4975818283
64 1.2466457078
69 1.1635602155
72 1.1440396978
74 1.1034720830
88 1.0570245353
89 0.9963760322
evaluations raw_y
1 21.8413447245
2 2.0502409439
49 2.0072049428
59 2.0047128442
72 1.9953706633
78 1.9572069014
83 1.9024969537
87 1.8869850881
88 1.8811035519
89 1.8437243956
evaluations raw_y
1 21.8413447245
2 2.0502409439
69 1.7356539787
80 1.7143060283
89 1.8305997855
evaluations raw_y
1 21.8413447245
2 2.0502409439
24 1.0091223185
25 0.5464052427
53 0.2926799428
61 0.1645169486
62 0.0042820034
73 0.0037510603
74 0.0000054535
89 0.0015688624
evaluations raw_y
1 56.5574588036
2 13.1298592949
33 12.0224878897
34 11.7768285869
45 9.5925045875
47 9.4561506056
71 9.1383292841
73 9.0744638398
84 8.9507172385
89 8.9490576222
evaluations raw_y
1 56.5574588036
2 13.1298592949
10 2.7986472649
29 1.1347545226
45 0.1064915852
46 0.0131879324
61 0.0033285148
66 0.0020785687
68 0.0011658969
74 0.0008548210
76 0.0002600533
89 0.0012678501
evaluations raw_y
1 56.5574588036
2 13.1298592949
10 5.6780135458
35 4.6542784010
36 1.8648038856
40 0.0245825165
49 0.0009433516
71 0.0009127813
83 0.0008587068
89 0.0148180498
evaluations raw_y
1 56.5574588036
2 13.1298592949
13 8.2063439272
18 8.0078675987
35 2.3672777045
75 2.0089973856
79 1.9287845125
83 1.7748850715
89 1.6294922409
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 7.9066919243
18 7.5166924134
62 7.4451281513
65 5.2267639470
66 3.6177932652
77 3.5858979869
80 2.9694764588
89 6.1757644683
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
10 4.6715672769
33 1.5902675474
61 1.5832988075
63 1.3227740323
81 1.3002500427
82 1.3000829515
84 1.2993429455
89 1.3323255025
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
26 6.6750599866
28 2.0634285156
55 0.0744833583
77 0.0687591367
78 0.0343736756
79 0.0215376217
89 0.0291184744
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
13 1.4135645402
20 1.2007959951
48 0.0660359203
51 0.0271831413
63 0.0082756748
71 0.0037267571
77 0.0036292182
86 0.0009422009
89 0.0012439635
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
14 7.7898286619
38 7.3031395606
41 6.4393880100
62 5.3252252365
64 4.7001218126
68 4.3762502686
75 4.3533236523
84 3.7901919893
89 4.6295513154
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
14 7.8516799779
15 3.7996193411
61 3.4630459082
63 3.0389939146
68 2.8639800038
69 2.8051540249
71 2.8014308501
89 3.0806313875
evaluations raw_y
1 60.8656595936
2 41.0752547284
3 19.3373580003
6 2.9431468609
62 2.8869143576
77 2.7935071156
89 3.0873755666
evaluations raw_y
1 60.8656595936
