evaluations raw_y
1 493.4132950781
2 114.2318810368
5 98.5553992544
6 79.6397765929
17 61.6148422521
20 41.5814998018
21 32.9896959458
30 23.7381743602
31 19.4572244312
86 16.3302938034
89 21.3651820990
evaluations raw_y
1 493.4132950781
2 114.2318810368
5 98.5553992544
6 79.6397765929
18 47.9955694365
23 41.8215366529
44 40.8064701054
49 32.2677942935
65 24.6384369133
86 24.6264958392
89 38.4606501682
evaluations raw_y
1 493.4132950781
2 114.2318810368
5 98.5553992544
6 79.6397765929
11 75.6695200844
18 46.6495979489
21 31.8366302520
34 24.6011104743
64 24.1823886553
65 15.9469633381
89 28.4253676576
evaluations raw_y
1 493.4132950781
2 114.2318810368
5 98.5553992544
6 79.6397765929
14 59.1797002371
15 47.3233310409
19 34.2293841536
43 33.5375655399
54 27.0745422235
56 20.2692690937
70 15.3210676502
85 8.7071962534
89 16.8770979907
evaluations raw_y
1 493.4132950781
2 114.2318810368
5 98.5553992544
6 79.6397765929
11 52.0967265683
12 49.5060356066
15 42.2960495772
29 31.3860427824
33 26.0401876792
43 17.8881453704
69 9.8934901903
89 27.9945895421
evaluations raw_y
1 37.3656950076
30 27.3043790716
38 27.0899333204
39 21.3014537456
66 17.8478687034
86 13.4857423196
87 11.1323582257
89 10.8747324402
evaluations raw_y
1 37.3656950076
15 25.4488960729
77 24.1319552969
79 24.0692525604
89 25.0135544148
evaluations raw_y
1 37.3656950076
16 32.0426792648
42 13.0862553912
79 10.1400656612
86 7.7188405954
88 7.4843522241
89 12.9385408044
evaluations raw_y
1 37.3656950076
38 22.9818758742
57 19.0484225612
89 24.8315250768
evaluations raw_y
1 37.3656950076
44 27.3867153491
48 21.1642254866
49 5.6641909304
86 5.3040786254
89 35.1060542349
evaluations raw_y
1 236.1933908186
2 175.5336122160
3 168.2164141722
6 102.5602856417
7 100.5391138800
8 99.6676376764
11 46.8113844456
30 27.6045808832
31 26.3007373505
40 19.2038819376
47 17.6175057194
60 17.0732323939
72 16.6070069322
75 11.4180708416
79 6.0438499220
89 24.6107097600
evaluations raw_y
1 236.1933908186
2 175.5336122160
3 168.2164141722
6 102.5602856417
7 100.5391138800
8 99.6676376764
11 56.2201207612
17 55.8530057033
27 18.7338584988
49 15.8233346401
73 15.4464556443
78 14.8298397041
82 11.8625404349
84 11.3072679190
89 18.8267361898
evaluations raw_y
1 236.1933908186
2 175.5336122160
3 168.2164141722
6 102.5602856417
7 100.5391138800
8 99.6676376764
10 73.2729921900
18 50.3634715694
25 36.2787653810
36 28.1801866820
71 19.0118905447
87 18.9421044449
89 27.5876747465
evaluations raw_y
1 236.1933908186
2 175.5336122160
3 168.2164141722
6 102.5602856417
7 100.5391138800
8 99.6676376764
10 62.0308304693
15 22.8577076737
