evaluations raw_y
1 17852.3353193647
2 5519.8303131013
11 173.5032660552
15 167.1445059778
24 138.9060793645
40 85.4702962432
51 16.4549627064
58 11.7875424270
59 2.1023001496
62 1.9898471926
89 3.0405167786
evaluations raw_y
1 17852.3353193647
2 5519.8303131013
10 811.2907730488
20 166.5247968914
29 139.6240666792
30 132.8093454021
40 100.3174086704
57 52.0734401829
62 11.7125826251
70 7.7055399604
81 3.4139514088
86 2.6328496629
89 41.7386360287
evaluations raw_y
1 17852.3353193647
2 5519.8303131013
20 5350.7363887008
28 2114.0545880113
33 719.1128897179
51 570.0427013628
65 452.2383192616
66 391.5892696961
81 246.0199555849
83 240.3818846423
84 185.1676656241
85 88.3586642596
89 32.7712077175
evaluations raw_y
1 17852.3353193647
2 5519.8303131013
10 691.3273373807
16 428.1698466593
18 228.2915981714
52 220.2964605826
54 180.6337915462
55 154.8227162313
56 127.2501971009
58 106.8093262808
60 85.9246626144
61 9.7145560753
80 0.6800490354
89 109.4332015773
evaluations raw_y
1 17852.3353193647
2 5519.8303131013
10 1329.8464823513
14 464.8493633751
22 418.3407521899
41 170.6165652192
49 110.5646039874
50 32.1672809565
51 23.2165316901
56 13.9957261771
67 7.4018792805
86 7.2010371112
89 100.3935455245
evaluations raw_y
1 125959.0681433381
2 53340.8102614176
3 4509.7118775805
4 3790.0542525586
6 149.1977074877
27 17.2747912755
67 11.2724961223
76 7.5051861062
79 3.0677818697
89 2.7957744039
evaluations raw_y
1 125959.0681433381
2 53340.8102614176
3 4509.7118775805
4 3790.0542525586
6 149.1977074877
46 95.9481556381
47 41.7726483345
55 10.9877948364
71 5.1852359682
75 2.2507691943
89 4.2639794210
evaluations raw_y
1 125959.0681433381
2 53340.8102614176
3 4509.7118775805
4 3790.0542525586
6 149.1977074877
45 132.0252604371
48 24.0550387470
51 7.2152176789
64 6.6111627479
67 2.8622039639
89 21.3833001923
evaluations raw_y
1 125959.0681433381
2 53340.8102614176
3 4509.7118775805
4 3790.0542525586
6 149.1977074877
56 91.2147997741
62 24.3191374485
89 2.2009762003
evaluations raw_y
1 125959.0681433381
2 53340.8102614176
3 4509.7118775805
4 3790.0542525586
6 149.1977074877
63 55.8355213774
71 14.0173951143
73 7.6456208707
82 5.1667430622
89 21.5803870673
evaluations raw_y
1 23943.9694069099
2 7213.5326176142
3 304.8067411916
22 35.9255114863
54 20.9397594761
59 18.8738575684
62 17.8598887032
75 15.1283100863
78 11.3718362307
83 9.5386773133
85 3.4445469019
86 2.7352947180
89 19.9507067799
evaluations raw_y
1 23943.9694069099
2 7213.5326176142
3 304.8067411916
13 251.2892573495
34 79.8833036224
