evaluations raw_y
1 32664.7922362771
3 3893.4340020839
5 1381.4086838413
10 731.1095627796
12 117.2225801026
28 77.4531647113
41 71.4483816024
43 68.6046047440
49 0.5411591021
89 1.6031432953
evaluations raw_y
1 32664.7922362771
3 3893.4340020839
5 1381.4086838413
10 324.5015377265
22 122.5904297426
39 84.5725913310
40 49.9906010070
48 44.5939108986
49 42.5792485439
53 40.2589439306
58 33.8065187823
59 16.2295741786
65 15.2089185528
72 13.3134060023
89 31.2364596490
evaluations raw_y
1 32664.7922362771
3 3893.4340020839
5 1381.4086838413
10 338.0686450246
11 328.3547590495
22 98.2562149731
50 24.3026497428
54 1.5411908473
75 1.4847986407
89 3.0608162802
evaluations raw_y
1 32664.7922362771
3 3893.4340020839
5 1381.4086838413
11 1093.1988415117
16 1.9247640171
64 1.5568397384
76 0.3000674473
87 0.1838708473
89 0.1825385695
evaluations raw_y
1 32664.7922362771
3 3893.4340020839
5 1381.4086838413
12 1320.9027223805
18 708.8334236667
39 57.4222023028
54 44.3285664223
61 23.8418804608
69 2.3912788899
89 1.3979497152
evaluations raw_y
1 49739.5564505318
2 454.5561806634
18 149.5259264852
24 105.8585100465
52 93.4126045821
61 59.7013183623
78 7.0923774101
84 3.3591739469
87 2.7873510741
89 16.9932565439
evaluations raw_y
1 49739.5564505318
2 454.5561806634
13 140.4775472109
30 96.4876980313
42 37.3600769038
44 34.6656634834
47 29.8347268425
54 7.6682769597
88 6.3867030783
89 5.6192830563
evaluations raw_y
1 49739.5564505318
2 454.5561806634
10 44.4826292646
28 41.6896580804
33 22.2777608640
42 2.4815323485
74 2.2129161992
83 2.1417091663
85 2.0756648164
87 2.0661355765
89 2.2178897125
evaluations raw_y
1 49739.5564505318
2 454.5561806634
10 401.2108348882
11 317.8437585739
30 186.8885534333
32 129.1426500919
37 116.4770277988
41 29.6552156750
51 8.9915706636
78 7.1816104099
80 5.6867727548
81 3.6079397614
87 3.2746408186
89 4.0350377871
evaluations raw_y
1 49739.5564505318
2 454.5561806634
38 108.3950330684
39 2.8613970769
68 2.5305915963
84 2.4121983645
89 2.4652645342
evaluations raw_y
1 63415.6853524867
2 10981.6771344493
3 64.8987041921
24 47.8546445397
33 21.5658549597
52 10.2362752058
53 1.2167607479
62 0.9077083115
89 1.6347460117
evaluations raw_y
1 63415.6853524867
2 10981.6771344493
3 64.8987041921
41 62.5528292228
61 20.6085533270
64 0.9551069542
89 26.1204600328
evaluations raw_y
1 63415.6853524867
2 10981.6771344493
3 64.8987041921
47 44.0584772790
52 27.7229991550
56 9.9925451540
87 7.3457410523
89 3.3207654206
evaluations raw_y
1 63415.6853524867
2 10981.6771344493
3 64.8987041921
77 21.2628996764
89 230.9575601225
evaluations raw_y
1 63415.6853524867
2 10981.6771344493
3 64.8987041921
12 3.3544598633
60 2.7418272568
66 2.4700277902
72 2.3315797310
74 1.8946119937
76 1.8736082761
89 2.2260045165
evaluations raw_y
1 9965.1622965606
3 3617.3189765873
8 2718.6235096679
25 1291.7597319081
27 129.0941272776
34 36.5615316641
46 20.4424696857
56 18.3295049019
66 11.3837969616
78 7.1897942185
82 2.7445875346
89 78.2199555947
evaluations raw_y
1 9965.1622965606
3 3617.3189765873
8 2718.6235096679
10 59.6075194399
22 29.2026413930
38 13.4709434445
58 8.6163668657
59 5.9094061536
60 4.2267337879
62 2.1718798586
72 2.1223498074
83 1.9089500388
89 2.9406682716
evaluations raw_y
1 9965.1622965606
3 3617.3189765873
8 2718.6235096679
11 2689.9757712274
13 403.9028032029
15 355.6326691041
29 82.4827647135
51 32.2920792264
58 19.6290390552
62 11.0073249394
69 0.8759950913
89 7.0016923929
evaluations raw_y
1 9965.1622965606
3 3617.3189765873
8 2718.6235096679
19 1586.8891427033
20 872.5692211200
38 687.5283771047
40 95.3458549041
48 57.0336574427
57 48.2950008555
59 28.1144128750
63 20.1962294921
73 18.6500126252
78 10.8372870130
89 18.2642931796
evaluations raw_y
1 9965.1622965606
3 3617.3189765873
8 2718.6235096679
10 686.8491828165
13 87.6207033481
40 43.6997612546
52 35.1350122481
54 24.1392159322
57 19.2299282569
58 10.4680755708
62 3.4499798973
64 1.8463518335
89 4.5598297067
evaluations raw_y
1 8903.6015873609
2 3471.3171104789
10 1309.6844282171
11 1191.7859832318
25 617.6512256901
33 597.3311868686
42 460.8354341077
44 318.1528590396
45 53.3784386849
47 19.1032645774
75 2.8301700445
87 1.1457768554
89 24.5385491423
evaluations raw_y
1 8903.6015873609
2 3471.3171104789
14 1814.7088717322
17 1107.4773567204
23 900.6599277499
34 55.2911634714
68 33.7318355624
70 23.6447373069
71 22.6683327996
82 5.9156051877
89 17.8728626148
evaluations raw_y
1 8903.6015873609
2 3471.3171104789
10 102.9409426084
14 90.8204815632
44 61.2148948474
48 6.6274891925
54 3.2035328812
75 1.2001479467
79 1.0488092352
81 0.8531158362
85 0.3512884840
89 1.1227812013
evaluations raw_y
1 8903.6015873609
2 3471.3171104789
10 1171.7779183249
13 503.7894455931
24 135.2785907638
31 111.0703305043
40 99.9214457979
42 54.0619961287
47 2.1743410530
77 1.8214540974
87 0.9276724453
89 10.2710346603
evaluations raw_y
1 8903.6015873609
2 3471.3171104789
18 433.2452404718
40 95.2285161105
55 72.8872823778
56 24.6023631962
65 12.9223541788
78 7.2986003234
89 4.8454995954
evaluations raw_y
1 27836.4391152060
2 9468.4310690386
4 6610.2704754002
7 3752.8132427862
10 402.4607200368
21 49.1729404121
25 30.0191005361
35 24.2459759593
47 12.1437069385
64 5.6432146275
68 2.2326424060
78 1.5493947596
80 1.3149522138
83 1.2314958316
87 1.0774160834
89 1.3826369479
evaluations raw_y
1 27836.4391152060
2 9468.4310690386
4 6610.2704754002
7 3752.8132427862
10 1896.6059695189
13 214.1532863972
16 25.0606973781
56 12.9200632686
61 10.9203407938
66 9.1101520903
71 2.8542205476
76 2.4431088944
78 1.6285887367
85 1.6260421035
89 3.7970768746
evaluations raw_y
1 27836.4391152060
2 9468.4310690386
4 6610.2704754002
7 3752.8132427862
10 176.4187008053
12 9.5903529282
43 8.2286402134
60 8.0554166437
69 5.7311708680
84 5.6381890562
85 5.0130304123
86 4.4549569916
89 6.4744056853
evaluations raw_y
1 27836.4391152060
2 9468.4310690386
4 6610.2704754002
7 3752.8132427862
15 486.7420064055
26 352.1031059775
29 22.8936561267
72 10.8874350546
82 7.8267154611
89 68.8011554182
