evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
16 0.5338558068
62 0.5281655996
80 0.1705855146
84 0.1209700180
86 1.3807734098
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
26 0.2291560074
77 0.0441191265
86 0.2928501100
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
42 0.3662105207
59 0.2736615337
86 0.6870867923
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
63 0.9355844741
70 0.7718250004
72 0.6964412883
74 0.4186229573
82 0.4106737876
86 4.0627330548
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
39 0.7713680024
40 0.4333315206
72 0.3714879082
74 0.1920487973
86 0.1775714441
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
11 3.2886221553
20 0.4726176430
67 0.3226508642
78 0.1442421913
81 0.1313619551
82 0.1050286477
86 0.1946653559
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 4.4109308864
34 2.8252519921
36 2.7086970185
37 1.4667083955
44 0.5778875336
61 0.3370363913
68 0.3302016219
86 2.9256204101
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
21 4.3676161978
27 1.8022231093
28 0.9572004010
35 0.3168839299
74 0.1924260838
86 0.4592147697
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
21 2.4908670565
22 1.7984792881
34 1.2507151691
45 0.3714447656
80 0.2693233937
81 0.2202112465
85 0.1717043614
86 0.1449053015
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
24 4.1101455769
25 4.0230442285
29 1.6809301922
53 1.5451972385
54 0.9489847819
65 0.9216252980
67 0.8753656280
68 0.8264988264
74 0.4606457440
81 0.1529094957
86 1.7090187794
evaluations raw_y
1 64.8077485781
2 7.0300604495
10 4.4340427642
18 3.1720669804
27 2.4059059111
36 1.4947815264
40 1.4776083644
43 0.9530368576
48 0.7101793933
51 0.2885960981
86 1.0031815550
evaluations raw_y
1 64.8077485781
2 7.0300604495
10 2.2396300589
21 1.7018035711
24 1.5772689984
31 0.2584213618
59 0.0477529722
78 0.0426196140
86 0.3839137487
evaluations raw_y
1 64.8077485781
2 7.0300604495
13 3.5069314933
14 0.5589762030
51 0.0136305110
86 0.8591024760
evaluations raw_y
1 64.8077485781
2 7.0300604495
13 5.0515030621
17 2.2162297930
18 1.8048966382
30 1.3271937558
32 0.9697564084
33 0.4706257104
49 0.2820445746
77 0.1600952877
86 0.5151549702
evaluations raw_y
1 64.8077485781
2 7.0300604495
10 3.4615135951
27 2.8191970052
29 0.6543190440
36 0.3214907734
76 0.2150526009
80 0.1540394942
86 0.3771289975
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
11 12.6583086994
14 11.8121781574
16 6.2997143502
19 3.4758006986
23 2.5089340803
25 0.3070496479
67 0.0464453223
86 0.4417332510
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
10 2.6698780162
17 2.1421261476
20 2.0921821169
24 0.0658992901
86 0.1739030297
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
10 1.3827032995
49 0.9401672848
59 0.8465497263
73 0.1347608175
86 1.6146180997
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
10 7.5425371869
15 4.2912702657
18 3.5751848421
27 3.1938915056
32 2.6992602807
34 1.5301095620
43 0.4932504434
53 0.4285041910
85 0.4242550347
86 1.6897880245
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
10 11.5605053252
11 5.3034614586
15 2.9539858839
35 2.5759964252
38 1.8305618706
43 1.4177410025
60 0.2833731438
86 2.0150162202
evaluations raw_y
1 5.7002119477
8 3.2950732754
28 1.0878989688
48 0.7695865399
56 0.5056845244
62 0.3339167807
83 0.0926010503
86 0.5539417425
evaluations raw_y
1 5.7002119477
8 3.2950732754
23 1.9342378152
35 0.3859622643
86 1.5586569649
evaluations raw_y
1 5.7002119477
8 3.2950732754
18 2.0628813606
34 0.5726480940
68 0.3757560647
69 0.2300156799
70 0.2256096018
86 0.3827642472
evaluations raw_y
1 5.7002119477
8 3.2950732754
19 3.0509623590
20 1.8265205539
21 1.3360628719
39 0.4248806512
65 0.3688008416
77 0.1190721962
86 0.6038790311
evaluations raw_y
1 5.7002119477
8 3.2950732754
11 2.4191149264
23 2.3808418935
53 2.3260041255
55 2.1897093961
58 1.4182325832
60 0.2892529085
86 1.1876619244
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
42 1.4272671305
45 1.0676165622
49 0.9864453171
53 0.8589570111
54 0.4520480718
67 0.3515279227
69 0.2086390014
82 0.1973207282
86 0.3624924276
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
40 0.1599435097
73 0.1139499163
86 0.6744632643
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
32 0.8364026332
41 0.3807284049
66 0.1847537652
86 2.0515789218
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
45 1.4001473926
49 1.3754636711
63 1.1770573465
71 1.1622067523
73 0.0786218559
86 1.7495738313
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
20 0.6936031800
32 0.4164190378
39 0.1893339724
59 0.1038730934
61 0.0265696153
86 0.3158174421
evaluations raw_y
1 4.5791680225
11 4.0633293041
13 3.9618787610
16 2.5467988305
23 0.9937566376
34 0.9200071839
47 0.3727961089
56 0.0953783233
75 0.0414410879
86 0.4441385963
evaluations raw_y
1 4.5791680225
10 3.3507309321
17 1.9124839401
35 1.2085333454
39 0.2997736338
51 0.2725788042
71 0.2202792637
75 0.1831828075
78 0.0867506694
86 0.3362767727
evaluations raw_y
1 4.5791680225
13 4.2899188031
17 4.0723655207
20 1.8725082207
35 0.7525148967
51 0.0778785597
86 2.7013414179
evaluations raw_y
1 4.5791680225
12 0.5782758778
67 0.4895843063
75 0.3363887578
79 0.1842934765
86 0.3583908900
evaluations raw_y
1 4.5791680225
10 2.9113291669
15 1.1344122577
25 0.5515054984
42 0.4891529792
49 0.2068319618
52 0.1317732111
73 0.0588608944
86 1.0215312361
evaluations raw_y
1 68.8735713331
2 63.5081818289
3 61.6709369688
4 39.4861382482
8 7.2132148355
11 3.7630728221
18 1.5332886276
37 0.8828008427
38 0.5901400427
40 0.2105659211
56 0.1678333543
67 0.1484925238
80 0.0739974076
86 0.3970233051
evaluations raw_y
1 68.8735713331
2 63.5081818289
3 61.6709369688
4 39.4861382482
8 7.2132148355
10 3.9616787822
17 3.5598078696
19 1.1280497598
24 0.8022545622
54 0.5311069860
65 0.2175602900
76 0.1188226258
86 0.7784885457
evaluations raw_y
1 68.8735713331
2 63.5081818289
3 61.6709369688
4 39.4861382482
8 7.2132148355
26 4.3660079722
31 4.1437860098
32 3.4727546761
37 2.2375796980
40 2.1032046949
44 1.7567584632
45 1.0429220877
54 0.7518975796
64 0.1358806506
86 1.5078715786
evaluations raw_y
1 68.8735713331
2 63.5081818289
3 61.6709369688
4 39.4861382482
8 7.2132148355
10 0.3772510974
48 0.3489541243
56 0.1374096246
86 0.8179024687
evaluations raw_y
1 68.8735713331
2 63.5081818289
3 61.6709369688
4 39.4861382482
8 7.2132148355
14 1.0223500536
46 0.9228407181
54 0.8083290387
55 0.4738168827
63 0.0678479071
86 1.0920637186
evaluations raw_y
1 0.8621365021
47 0.6830177417
69 0.4283846037
83 0.4224867404
86 2.4363036270
evaluations raw_y
1 0.8621365021
46 0.6345873303
