evaluations raw_y
1 99.5385788193
2 14.9508953801
4 7.3344636267
26 5.7009134881
33 0.8934214961
41 -0.0000000000
44 1.6248861469
evaluations raw_y
1 99.5385788193
2 14.9508953801
4 7.3344636267
38 1.3410844902
45 -0.0000000000
51 37.2766612842
evaluations raw_y
1 99.5385788193
2 14.9508953801
4 7.3344636267
53 5.5746710846
59 3.9193058132
60 -0.0000000000
65 11.0841357424
evaluations raw_y
1 99.5385788193
2 14.9508953801
4 7.3344636267
34 3.4889900040
38 1.2347031824
48 -0.0000000000
51 5.4535810105
evaluations raw_y
1 99.5385788193
2 14.9508953801
4 7.3344636267
40 6.7497852952
46 1.1775669241
55 0.5534136861
59 -0.0000000000
65 4.4674193156
evaluations raw_y
1 21.0791235547
15 20.3861618458
28 17.3951473598
40 11.1109747693
46 8.8835400599
59 8.4138417067
61 5.2464553803
64 3.2265710915
74 1.1998480061
77 0.6374714908
83 -0.0000000000
86 56.8297821573
evaluations raw_y
1 21.0791235547
27 20.2733185499
31 14.4559488232
37 4.7326967779
41 3.3749074783
43 1.9283681540
44 1.6559429336
52 -0.0000000000
58 3.5380538424
evaluations raw_y
1 21.0791235547
18 19.6083248031
27 8.5140996212
32 7.8916098953
38 4.8458398652
42 0.5227743665
44 -0.0000000000
evaluations raw_y
1 21.0791235547
23 14.2576971485
35 1.5504691992
39 -0.0000000000
44 10.9566185852
evaluations raw_y
1 21.0791235547
16 19.7689765683
19 15.1992329235
20 9.9407374865
35 1.9679753561
42 -0.0000000000
44 4.9339647121
evaluations raw_y
1 69.4684124126
2 64.8437710760
7 41.6720003651
8 25.7800736305
23 3.4623501540
27 -0.0000000000
30 1.1590163153
evaluations raw_y
1 69.4684124126
2 64.8437710760
7 41.6720003651
8 25.7800736305
34 22.6237438748
38 9.8404465172
45 6.2179721158
55 5.3274985325
59 4.5760647246
70 3.8368172381
74 2.0541044458
80 1.3771148861
82 -0.0000000000
86 3.8028542299
evaluations raw_y
1 69.4684124126
2 64.8437710760
7 41.6720003651
8 25.7800736305
17 18.4418583563
24 11.8670660961
25 7.8170729514
33 7.0507649798
35 6.0710458834
38 5.3004035058
39 1.9198882053
47 -0.0000000000
51 7.1014969204
evaluations raw_y
1 69.4684124126
2 64.8437710760
7 41.6720003651
8 25.7800736305
24 25.1368279764
30 12.6403909367
31 10.7438133142
37 5.1804231006
44 2.2677533030
46 0.5939945953
47 -0.0000000000
51 -0.0000000000
evaluations raw_y
1 69.4684124126
2 64.8437710760
7 41.6720003651
8 25.7800736305
15 22.9269467196
20 22.7215426580
22 12.4988519696
27 8.3530070843
28 6.7813310960
35 5.9429837790
38 1.3184707400
55 0.6883754234
56 -0.0000000000
58 0.7950738479
evaluations raw_y
1 88.7564880752
2 76.8972243070
3 62.3177256616
5 51.7273658027
6 38.3548825900
7 16.0444055484
31 10.8513118406
33 10.1893527070
39 7.0392877519
41 -0.0000000000
44 0.0269772690
evaluations raw_y
1 88.7564880752
2 76.8972243070
3 62.3177256616
5 51.7273658027
6 38.3548825900
7 16.0444055484
24 4.5004546767
33 4.3918198936
41 1.0424637771
43 0.4132793634
45 -0.0000000000
51 -0.0000000000
evaluations raw_y
1 88.7564880752
2 76.8972243070
3 62.3177256616
5 51.7273658027
6 38.3548825900
7 16.0444055484
26 11.3033216576
31 5.5118388640
34 0.5829685741
37 -0.0000000000
evaluations raw_y
1 88.7564880752
2 76.8972243070
3 62.3177256616
5 51.7273658027
6 38.3548825900
7 16.0444055484
18 12.2525738308
30 5.5823123069
40 5.1169746575
41 1.8808505808
46 0.0266164141
57 -0.0000000000
58 0.4015835652
evaluations raw_y
1 88.7564880752
2 76.8972243070
3 62.3177256616
5 51.7273658027
6 38.3548825900
7 16.0444055484
38 14.5686674596
45 11.1248645232
46 6.2370653591
50 1.8750917488
52 -0.0000000000
58 31.2346267312
evaluations raw_y
1 111.0419170677
2 49.6097944465
4 37.1860216789
28 24.6541259223
31 22.8728415787
33 12.9948999708
34 9.1046107810
38 -0.0000000000
44 16.3385020957
evaluations raw_y
1 111.0419170677
2 49.6097944465
4 37.1860216789
33 33.5080038969
37 19.6574227055
38 17.0875892308
44 15.6701804621
45 8.0209596333
52 6.7932579777
57 3.7424310759
61 1.1149813878
63 -0.0000000000
65 4.1858195999
evaluations raw_y
1 111.0419170677
2 49.6097944465
4 37.1860216789
24 30.4317006035
31 25.3077878783
34 25.0639959937
46 24.5416570371
49 14.1801229097
53 8.7570314111
61 -0.0000000000
65 12.1226899080
evaluations raw_y
1 111.0419170677
2 49.6097944465
4 37.1860216789
18 24.4906102727
24 5.2914098959
32 4.7478524859
35 4.0545586001
42 1.1884371947
45 -0.0000000000
51 4.8234864960
evaluations raw_y
1 111.0419170677
2 49.6097944465
4 37.1860216789
22 27.9953253373
24 5.5114999224
31 3.4301910357
33 2.4263469073
38 -0.0000000000
44 3.1933201407
evaluations raw_y
1 52.6567947095
2 44.9870308546
10 44.5363436828
17 38.1363781356
18 30.4615777816
19 13.7259296364
30 6.9120262860
34 2.9852874598
40 -0.0000000000
44 6.1529516432
evaluations raw_y
1 52.6567947095
2 44.9870308546
23 19.2188627348
24 16.3821946636
25 7.4905522582
30 6.2642204649
31 -0.0000000000
37 64.3904470752
evaluations raw_y
1 52.6567947095
2 44.9870308546
13 39.2973325769
20 37.3260326182
24 28.3858690814
34 28.1751473056
38 18.5050659009
41 15.0307602453
46 14.2846143260
47 7.0071367297
53 3.9936819809
63 2.9237343259
74 1.7616157346
80 0.6908378798
83 -0.0000000000
86 12.1677083985
evaluations raw_y
1 52.6567947095
2 44.9870308546
20 41.9653249038
25 17.7994035616
31 12.5262201089
39 7.1887758604
45 2.3300198594
47 0.0190300961
58 -0.0000000000
evaluations raw_y
1 52.6567947095
2 44.9870308546
17 40.4632936045
22 30.3009415231
24 14.6487878582
25 10.2344680915
33 7.9807729792
34 -0.0000000000
37 45.1103790511
evaluations raw_y
1 80.0121917917
4 27.0383427130
27 14.7705101459
34 11.2471938363
35 7.7601934654
38 5.4329163247
42 4.0654498567
47 2.8271260999
51 2.7940434571
52 1.4786810518
54 -0.0000000000
58 18.5366503228
evaluations raw_y
1 80.0121917917
4 27.0383427130
19 24.9934723462
29 4.7494013683
33 2.0473273292
34 1.3014936201
37 -0.0000000000
evaluations raw_y
1 80.0121917917
4 27.0383427130
30 18.2782889595
33 8.4108152529
40 6.2387506506
46 5.3190025187
53 5.0798272931
55 4.0601730320
57 1.6012173719
60 -0.0000000000
65 8.0326494201
evaluations raw_y
1 80.0121917917
4 27.0383427130
28 21.2181446944
31 11.8453492475
42 10.2897219664
44 9.2850186658
48 6.6076513054
49 4.0506874367
52 -0.0000000000
58 3.9638852571
evaluations raw_y
1 80.0121917917
4 27.0383427130
17 15.8119631382
18 15.2406847195
35 11.8125442412
37 1.2216306800
42 0.5070781531
45 -0.0000000000
51 -0.0000000000
evaluations raw_y
1 109.9255217020
2 87.5554698704
3 13.4183325707
27 12.3115562664
31 -0.0000000000
37 11.0883092597
evaluations raw_y
1 109.9255217020
2 87.5554698704
3 13.4183325707
22 12.6791690964
29 6.5249911991
31 2.4752594909
38 0.6395316768
43 -0.0000000000
44 -0.0000000000
evaluations raw_y
1 109.9255217020
2 87.5554698704
3 13.4183325707
20 12.6865242369
25 7.3627009455
30 7.3462711575
32 5.7158881294
35 4.2907352808
39 3.4731567855
41 2.7501725058
46 -0.0000000000
51 20.5573299382
evaluations raw_y
1 109.9255217020
2 87.5554698704
3 13.4183325707
24 12.4225130318
31 7.1339869638
36 2.7184873596
42 0.5550924347
45 -0.0000000000
51 24.8990200105
evaluations raw_y
1 109.9255217020
2 87.5554698704
3 13.4183325707
33 12.8811962666
39 4.2545275160
51 0.2330073852
53 -0.0000000000
58 -0.0000000000
evaluations raw_y
1 25.3927708469
23 18.3546198522
26 16.6117907975
29 5.4699879148
31 3.1665428758
35 -0.0000000000
37 1.0413935853
evaluations raw_y
1 25.3927708469
18 23.7397520596
26 9.5642418713
27 4.0184563698
33 2.5857997075
34 1.6152387996
36 -0.0000000000
37 51.4016625786
evaluations raw_y
1 25.3927708469
28 21.5003020228
31 11.4162676499
33 7.3284483237
37 1.2721694148
40 -0.0000000000
44 19.3184879250
evaluations raw_y
1 25.3927708469
38 3.8344316118
46 -0.0000000000
51 24.7379412930
evaluations raw_y
1 25.3927708469
17 23.3197104978
21 19.0614005705
30 11.7282308207
37 9.4033330177
38 3.8691041994
47 2.8937331978
48 1.1552646835
59 -0.0000000000
65 0.5767485726
evaluations raw_y
1 105.4518293460
2 101.7218593746
3 82.9244600103
5 31.0890015802
25 29.5447919773
26 23.7192265781
31 23.1548767121
39 5.9167576398
40 4.1199266546
47 3.2176750177
52 2.3989769906
54 -0.0000000000
58 94.7813756133
evaluations raw_y
1 105.4518293460
2 101.7218593746
3 82.9244600103
5 31.0890015802
10 23.6704058929
46 19.1558739782
52 17.1517099733
61 14.4594210607
63 13.1958628815
67 11.6505344095
69 4.1483361879
83 3.9143954459
86 10.4388925881
evaluations raw_y
1 105.4518293460
2 101.7218593746
3 82.9244600103
5 31.0890015802
26 19.9930351973
32 14.9767399851
37 12.0794771900
45 7.3677932857
48 5.6010191003
52 -0.0000000000
58 11.1784141981
evaluations raw_y
1 105.4518293460
2 101.7218593746
3 82.9244600103
5 31.0890015802
18 17.4068646655
21 12.1225431958
24 7.8531427307
32 4.6458043896
39 1.6917092953
45 -0.0000000000
51 -0.0000000000
evaluations raw_y
1 105.4518293460
2 101.7218593746
3 82.9244600103
5 31.0890015802
30 28.2734112637
38 27.5595693504
43 -0.0000000000
44 36.0471953644
evaluations raw_y
1 116.0163965746
2 52.1860592297
5 27.5453625220
7 24.9732052881
28 22.7867545597
34 22.5999254883
37 22.1489221123
38 14.5368202729
43 13.2524790223
45 10.5533146855
49 4.2148329996
