evaluations raw_y
1 24086.2850037860
2 223.9849963491
4 62.9747366285
62 59.2307741009
64 41.3802186600
71 27.2479700834
75 27.0271071513
78 22.3800320129
82 16.5028565314
84 75.1599720853
evaluations raw_y
1 181145.4127442821
2 40.2287423425
13 24.0317628397
18 15.8252170364
20 10.4708153510
24 7.7470148380
25 3.4980483159
29 0.8455810742
73 0.7323848415
84 1783.4489929723
evaluations raw_y
1 119.6007035496
3 55.1944468380
9 44.6492064574
11 39.9311896448
20 28.4609699628
21 15.3857469195
45 11.7503836894
50 9.0230648641
54 6.2368006339
58 3.9988662409
81 3.4429112620
83 3.3293673962
84 4.8910975896
evaluations raw_y
1 54.2724234124
5 17.9499112417
78 17.8676490830
84 22.8382911418
evaluations raw_y
1 82692.1530721626
2 34.8788293167
10 33.1570701821
32 26.8665869288
39 19.9990220912
61 7.1297714780
71 2.4627214963
84 13.5041999133
evaluations raw_y
1 168409.0676744260
2 240.0426060308
3 99.0984558443
29 46.3882173843
36 10.7440876728
65 7.4403275565
84 36059.0198112745
evaluations raw_y
1 91.1919046942
6 35.8155759474
7 34.3422849105
12 15.8949906130
15 13.2896848045
44 7.3170164185
46 4.9878487859
77 3.4899394248
84 12.8524537971
evaluations raw_y
1 36600.1408520282
2 6348.7323320709
3 43.6185309943
4 30.6620773171
6 6.8403201033
46 6.5275600503
65 3.9194681144
84 16869.5525527248
evaluations raw_y
1 170.5152324600
2 120.4949820252
3 65.2618794540
6 40.5457632895
19 12.5797752034
33 6.7271942605
84 23.7346821181
evaluations raw_y
1 65.8380811316
13 60.4135989243
17 45.7993292181
25 43.1634971245
38 42.3911616533
41 33.1342740142
43 16.6921017287
54 14.9324592049
62 12.6128673332
64 6.6435156983
83 6.0041584615
84 12.6202558375
evaluations raw_y
1 164754.1818331547
2 26256.0573252479
26 16441.1710508747
33 11414.5536241805
37 8015.8121158660
45 2050.6593749220
48 1020.3480290141
51 22.2430728042
52 8.3285223605
53 7.0038545804
58 4.5546166833
63 3.3913657512
76 2.6474272052
81 1.1980460165
84 2.6179181025
evaluations raw_y
1 281267.3174456639
2 96890.0190739839
4 89707.4904099318
5 72651.3205732240
10 63278.1719688799
15 54618.0932406018
19 29978.5812126128
25 9.1481226035
36 4.6534153297
84 600.2857288348
evaluations raw_y
1 9216.4697153807
12 6931.4425352954
15 2191.1067747078
17 867.3663771862
22 63.5711804787
23 53.9199785172
24 53.5374251879
25 43.0353239928
70 23.6555314188
84 58.1947307071
evaluations raw_y
1 182924.6616324885
3 66608.4018586689
4 19952.2507345033
10 12153.2737989494
14 5017.2516331916
17 883.6811990820
30 18.2083890132
50 11.6778885632
67 7.5214181618
84 23.6442140532
evaluations raw_y
1 180587.0096885148
4 64963.0309555581
6 61228.3017595239
12 24880.7857396442
14 18804.3262365058
16 12426.9845012005
17 11915.5114634318
20 6257.6007052128
22 3695.1298507499
34 280.1396513841
39 45.9487915607
45 33.9477497801
52 27.3685919428
60 25.9690769824
65 22.9985121625
68 15.0105389500
70 14.3831161106
84 6.8644048173
evaluations raw_y
1 27816.3042259012
6 19356.2746526924
8 3525.1341961129
15 1832.7593562511
22 439.2283078385
23 56.8321526475
26 54.0019083434
31 40.8957454961
32 25.5383187843
33 23.6417912216
36 23.3405570308
39 17.1793466842
58 8.3025252148
84 39.8959602723
evaluations raw_y
1 276904.2394485297
2 102804.5845980298
3 43692.6466007585
8 33745.6357450591
12 27581.0009057046
17 19575.2375684313
24 14927.2967067810
25 1337.3107513557
31 53.5879855354
32 35.6662930912
44 22.3304826925
84 653.2083674483
evaluations raw_y
1 297115.8805353324
2 103.4551505871
16 43.0231564765
76 42.1243069619
84 105.4497578394
evaluations raw_y
1 107919.3733342240
3 50543.5524787460
9 26416.5037147600
11 7562.5767926898
19 636.7446811421
20 158.0936902014
29 124.1937219556
38 92.7473546593
44 63.2875952866
59 61.1429437414
64 46.0481282432
65 34.2173318390
77 24.3577190310
84 50917.9579610359
evaluations raw_y
1 58929.1745967902
3 34596.1484102769
10 12164.3848844083
11 14.4686424960
84 126.4920109755
evaluations raw_y
1 304263.2682215171
2 73064.5567334447
5 8180.6264508146
10 4880.6184768042
15 1851.3483020195
16 25.2499949305
19 4.2601279534
81 3.5478205883
84 654.1788947859
evaluations raw_y
1 279125.5261844644
3 90399.2435390783
4 8611.4014454704
7 5340.2375054284
12 24.1249924492
55 19.4092204590
62 13.5980079945
67 6.9414033917
71 4.4573589905
84 7.1927062722
evaluations raw_y
1 122575.0841458660
2 33638.8571623808
4 17726.5070763245
5 991.5143886466
9 473.3441618060
14 42.5536656575
17 33.0631541627
22 27.5429471201
43 27.5188051076
46 4.9907455482
84 21.3859570195
evaluations raw_y
1 336646.2043020669
2 34850.8005926112
4 99.8307377561
10 75.8529807834
13 43.7558900063
34 37.4994206921
43 35.2971053782
47 27.4668037575
57 27.0611993594
62 25.8288298016
64 23.7020392832
66 23.6250288988
68 19.6491189108
74 15.6554912288
84 22.9045247087
evaluations raw_y
1 117184.7344719297
3 73255.0459399447
7 33401.4095396650
10 2755.5797295243
22 1032.1962691245
24 101.2676033117
31 1.2493296544
84 33569.3971835879
evaluations raw_y
1 19283.9589541151
2 12.5753465564
47 3.8053346797
84 1915.9151098015
evaluations raw_y
1 40796.1906184470
3 22.7148463765
5 13.1516716906
67 4.8125103579
84 33.5390089472
evaluations raw_y
1 264.4848517752
5 48.7930274681
6 13.2551896858
84 113.4949533844
evaluations raw_y
1 5676.7782584986
3 2046.5225983245
5 1726.6772524895
8 30.7029267988
20 22.9050826140
45 18.9240554116
50 16.0324173639
57 10.5299045874
62 7.5370116319
78 5.2252424695
84 13.5165553712
evaluations raw_y
1 68463.7655879779
2 16662.5293784058
3 14074.0806533228
4 4624.8579819018
5 86.2728597631
7 54.4582311422
9 31.3718260580
16 23.7168931108
30 12.6289162660
37 6.4162978011
41 0.9836856113
84 114.7489332736
evaluations raw_y
1 388060.3211377677
2 108362.2629608030
3 66342.6717850202
11 18782.7523500933
12 22.5780439606
61 13.9253264130
84 32.0962374826
evaluations raw_y
