evaluations raw_y
1 159.5748363064
3 11.7234604061
7 9.4199822329
32 3.8808878412
34 0.6981689158
38 0.4244114629
62 0.3813999575
74 0.2570348089
80 0.1682848336
84 0.5670670671
evaluations raw_y
1 29.0088277349
8 17.1084992750
9 9.7201421328
13 6.8481185832
18 6.0393848529
21 1.4273253129
30 0.2520164715
72 0.0813503014
84 3.1207698269
evaluations raw_y
1 552.4506792297
3 134.5059806673
5 75.8361551856
7 42.8474754343
8 16.5884130654
19 16.4896988032
23 9.1156188390
27 2.6485265232
52 1.6891175105
58 0.9016870550
63 0.8105351632
84 0.5130584382
evaluations raw_y
1 78.1797155668
2 66.9111014663
3 39.9778453241
4 13.1010017390
16 6.8481185832
40 4.3208851049
52 0.5195684611
64 0.4699345106
68 0.0621100470
84 2.0792066985
evaluations raw_y
1 29.5735168857
3 0.7071614060
33 0.3111693968
84 12.3994109001
evaluations raw_y
1 390.7050321237
2 29.3422779164
11 7.1924510115
17 1.6718734570
60 1.0686064026
84 10.4447127976
evaluations raw_y
1 282.7092807542
2 68.9389407403
9 46.9500723476
14 28.0712430478
15 26.3587233861
19 11.4940249476
25 8.3973605496
26 5.4696411417
28 4.0962810593
31 1.6750437318
41 1.4143416667
74 1.1796805079
84 12.3943429405
evaluations raw_y
1 1753.0456132775
2 964.6917951930
4 384.0683258714
5 272.2791831354
6 5.5588884128
8 2.7989638307
60 2.0733270408
84 7.8043381043
evaluations raw_y
1 349.8985557069
2 165.5943274447
4 104.4188076977
7 68.9389407403
8 9.9260645228
17 6.1283925027
38 4.3072441739
48 1.0308278188
60 0.6191947390
67 0.2144345783
84 2.0838585115
evaluations raw_y
1 121.5566948169
3 87.8817696744
4 74.8105280708
5 70.6918795350
10 49.3049735527
18 17.2289766955
28 9.6740309253
39 4.7187220316
63 4.1108747058
82 3.4522764621
84 17.4622980094
evaluations raw_y
1 131.1034984730
3 60.5463741583
10 29.2345974995
17 21.6964275613
18 14.8932293523
33 14.0151218532
40 7.9522843794
52 5.6624870172
63 5.5474665182
68 4.4945683626
70 3.4407386967
81 1.5244632321
83 0.8601846742
84 4.9779705039
evaluations raw_y
1 233.5850493814
6 53.3688031349
16 41.2176254756
31 14.3122945866
38 8.8274928875
40 2.1611231989
64 0.8136919842
78 0.2106736893
84 0.9344016194
evaluations raw_y
1 904.2956159685
2 757.2150476277
3 321.3983597961
4 186.9418130191
11 51.8839993483
23 37.9052916588
26 18.9207771885
32 1.2095347857
36 1.1710881554
84 4.4761826653
evaluations raw_y
1 449.9452253574
2 271.2368153557
6 255.3973378907
7 91.9938608636
16 52.6922496528
19 36.7297920344
28 2.5720313528
84 20.4948192605
evaluations raw_y
1 2465.7700582988
2 90.3088442956
26 64.6385059102
28 37.9052916588
40 35.1473239600
45 24.3607689234
51 3.0664819358
71 2.6870946666
84 17.6623188830
evaluations raw_y
1 380.0620899261
2 23.2350395451
23 18.4714312347
32 17.2430744838
40 16.2206270818
43 15.6418785523
49 14.2977458636
61 7.8169164774
70 3.1366432070
84 9.0703946190
evaluations raw_y
1 64.4220932786
7 39.8297901771
8 20.6319318428
19 17.4372208453
25 14.3832031091
30 10.7733235556
33 7.0587086454
38 3.0469085144
60 0.6587229601
84 7.5181228524
evaluations raw_y
1 207.1109250515
2 67.1967934981
4 50.3635368489
6 36.5890392650
7 26.1483935063
11 20.1826949376
13 5.0027268376
38 3.0469085144
48 1.5610208368
63 1.0656012815
84 1.5553463183
evaluations raw_y
1 149.4485634923
4 113.8285033655
5 101.8633370111
20 47.2163077246
27 46.9217112202
31 42.0793648780
47 32.7753269570
50 19.6601868754
72 15.6485229303
74 9.4169578545
84 29.0941836323
evaluations raw_y
1 240.3549410877
2 77.5209903576
3 19.2080994442
37 10.7295935757
46 3.0469085144
67 2.2775923131
84 1.0867090864
evaluations raw_y
1 133.6603306585
3 48.2735414710
5 33.7269377314
15 6.8364693381
24 3.4052295871
32 1.7173454969
65 0.5504590793
74 0.4285119002
84 0.9903786717
evaluations raw_y
1 1520.8279353286
2 138.9323262841
4 72.3117988529
6 56.2998746835
8 50.1897054621
18 6.2449884262
38 5.8862958429
64 3.9053111398
79 2.3765625243
84 11.4103054008
evaluations raw_y
1 16.1592413144
6 15.7829755204
7 13.3718561452
15 1.4876258634
31 0.8653098304
80 0.3806427762
84 4.2242349309
evaluations raw_y
1 72.2256378291
2 14.0572606465
5 8.9914871091
10 8.0844627587
11 3.8004286476
52 0.3719064659
84 5.3637268301
evaluations raw_y
1 387.5106302149
2 357.0555519269
3 137.0671609819
4 77.9604784014
5 33.2751706147
15 20.7235838478
33 15.5030525796
38 9.2976616465
47 8.1511934505
51 5.8897104471
52 1.7399304445
84 0.9903786717
evaluations raw_y
1 169.8908900853
6 153.0569454930
8 63.4467605519
9 39.0993760759
24 35.1235382344
28 20.7319723147
29 11.3496169033
33 9.9196718353
36 3.1745125093
46 1.3669533257
67 1.1783849512
70 0.2991889542
84 0.1666687670
evaluations raw_y
1 84.7742257657
15 43.1584609300
23 26.8062170572
28 26.0022210408
44 24.7978625326
48 8.8582174376
55 3.8248714867
56 2.5368414761
62 0.1289405947
84 12.2110089606
evaluations raw_y
1 514.9486926475
3 209.7824213765
9 164.5262153440
12 12.0374537207
32 8.0105252013
62 4.7666766260
69 3.0006126206
84 8.4283728258
evaluations raw_y
1 444.2241835682
