evaluations raw_y
1 113.9471262640
6 71.1276981625
25 64.1945499420
26 43.4958639889
28 34.6200885096
29 26.1636794503
55 12.8171300650
61 3.7533552871
80 0.6965486454
81 0.2970826099
90 23.2008497790
evaluations raw_y
1 113.9471262640
6 71.1276981625
25 64.1945499420
26 43.4958639889
28 34.6200885096
29 26.1636794503
55 12.8171300650
61 3.7533552871
80 0.6965486454
81 0.2970826099
90 23.2008497790
evaluations raw_y
1 113.9471262640
6 71.1276981625
25 64.1945499420
26 43.4958639889
28 34.6200885096
29 26.1636794503
55 12.8171300650
61 3.7533552871
80 0.6965486454
81 0.2970826099
90 23.2008497790
evaluations raw_y
1 113.9471262640
6 71.1276981625
25 64.1945499420
26 43.4958639889
28 34.6200885096
29 26.1636794503
55 12.8171300650
61 3.7533552871
80 0.6965486454
81 0.2970826099
90 23.2008497790
evaluations raw_y
1 113.9471262640
6 71.1276981625
25 64.1945499420
26 43.4958639889
28 34.6200885096
29 26.1636794503
55 12.8171300650
61 3.7533552871
80 0.6965486454
81 0.2970826099
90 23.2008497790
evaluations raw_y
1 377.7721727413
3 191.8252716608
5 7.9589481164
18 4.9532765830
90 63485.1960031682
evaluations raw_y
1 377.7721727413
3 191.8252716608
5 7.9589481164
18 4.9532765830
90 63485.1960031682
evaluations raw_y
1 377.7721727413
3 191.8252716608
5 7.9589481164
18 4.9532765830
90 63485.1960031682
evaluations raw_y
1 377.7721727413
3 191.8252716608
5 7.9589481164
18 4.9532765830
90 63485.1960031682
evaluations raw_y
1 377.7721727413
3 191.8252716608
5 7.9589481164
18 4.9532765830
90 63485.1960031682
evaluations raw_y
1 310692.6726554669
3 54776.8159460093
4 19494.8668286487
15 16145.3944408916
16 10556.2508891212
23 3699.1185739844
31 3458.8174392648
37 28.4792968434
38 19.2872805497
39 12.5551891109
40 12.5301822569
45 12.0603258205
47 7.3460509515
48 6.2546712873
52 6.2111459379
54 6.0031120157
60 4.0223817109
61 3.5724894950
62 2.9195841779
76 2.5725105423
80 1.4234130366
82 1.4037699970
84 1.3917890956
90 102375.5609139423
evaluations raw_y
1 310692.6726554669
3 54776.8159460093
4 19494.8668286487
15 16145.3944408916
16 10556.2508891212
23 3699.1185739844
31 3458.8174392648
37 28.4792968434
38 19.2872805497
39 12.5551891109
40 12.5301822569
45 12.0603258205
47 7.3460509515
48 6.2546712873
52 6.2111459379
54 6.0031120157
60 4.0223817109
61 3.5724894950
62 2.9195841779
76 2.5725105423
80 1.4234130366
82 1.4037699970
84 1.3917890956
90 102375.5609139423
evaluations raw_y
1 310692.6726554669
3 54776.8159460093
4 19494.8668286487
15 16145.3944408916
16 10556.2508891212
23 3699.1185739844
31 3458.8174392648
37 28.4792968434
38 19.2872805497
39 12.5551891109
40 12.5301822569
45 12.0603258205
47 7.3460509515
48 6.2546712873
52 6.2111459379
54 6.0031120157
60 4.0223817109
61 3.5724894950
62 2.9195841779
76 2.5725105423
80 1.4234130366
82 1.4037699970
84 1.3917890956
90 102375.5609139423
evaluations raw_y
1 310692.6726554669
3 54776.8159460093
4 19494.8668286487
15 16145.3944408916
16 10556.2508891212
23 3699.1185739844
31 3458.8174392648
37 28.4792968434
38 19.2872805497
39 12.5551891109
40 12.5301822569
45 12.0603258205
47 7.3460509515
48 6.2546712873
52 6.2111459379
54 6.0031120157
60 4.0223817109
61 3.5724894950
62 2.9195841779
76 2.5725105423
80 1.4234130366
82 1.4037699970
84 1.3917890956
90 102375.5609139423
evaluations raw_y
1 310692.6726554669
3 54776.8159460093
4 19494.8668286487
15 16145.3944408916
16 10556.2508891212
23 3699.1185739844
31 3458.8174392648
37 28.4792968434
38 19.2872805497
39 12.5551891109
40 12.5301822569
45 12.0603258205
47 7.3460509515
48 6.2546712873
52 6.2111459379
54 6.0031120157
60 4.0223817109
61 3.5724894950
62 2.9195841779
76 2.5725105423
80 1.4234130366
82 1.4037699970
84 1.3917890956
90 102375.5609139423
evaluations raw_y
1 299978.3998528559
2 140344.4486727571
5 18289.6150088494
9 123.0212912320
19 71.7755781009
43 48.2274506345
45 23.9048710006
55 14.9038117717
66 5.2985761850
76 2.6884945218
90 0.6381374290
evaluations raw_y
1 299978.3998528559
2 140344.4486727571
5 18289.6150088494
9 123.0212912320
19 71.7755781009
43 48.2274506345
45 23.9048710006
55 14.9038117717
66 5.2985761850
76 2.6884945218
90 0.6381374290
evaluations raw_y
1 299978.3998528559
2 140344.4486727571
5 18289.6150088494
9 123.0212912320
19 71.7755781009
43 48.2274506345
45 23.9048710006
55 14.9038117717
66 5.2985761850
76 2.6884945218
90 0.6381374290
evaluations raw_y
1 299978.3998528559
2 140344.4486727571
5 18289.6150088494
9 123.0212912320
19 71.7755781009
43 48.2274506345
45 23.9048710006
55 14.9038117717
66 5.2985761850
76 2.6884945218
90 0.6381374290
evaluations raw_y
1 299978.3998528559
2 140344.4486727571
5 18289.6150088494
9 123.0212912320
19 71.7755781009
43 48.2274506345
45 23.9048710006
55 14.9038117717
66 5.2985761850
76 2.6884945218
90 0.6381374290
evaluations raw_y
1 77882.4510470535
2 54452.0105434610
5 220.9596747835
13 216.8942834390
20 206.0663403633
21 173.6189701450
23 98.8356900199
35 40.7748792882
36 23.8511192576
45 23.3140172341
50 20.1029416964
54 9.4354492085
68 7.3455400247
76 7.3393906142
83 7.2500975215
84 4.1657267210
85 3.5323911212
90 196838.3028623129
evaluations raw_y
1 77882.4510470535
2 54452.0105434610
5 220.9596747835
13 216.8942834390
20 206.0663403633
21 173.6189701450
23 98.8356900199
35 40.7748792882
36 23.8511192576
45 23.3140172341
50 20.1029416964
54 9.4354492085
68 7.3455400247
76 7.3393906142
83 7.2500975215
84 4.1657267210
85 3.5323911212
90 196838.3028623129
evaluations raw_y
1 77882.4510470535
2 54452.0105434610
