evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
36 9960.1593875408
50 7067.8909045817
52 6909.4849080964
54 6045.0612680499
81 6036.6464885849
82 5647.6716283652
90 46468.2076606747
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
36 9960.1593875408
50 7067.8909045817
52 6909.4849080964
54 6045.0612680499
81 6036.6464885849
82 5647.6716283652
90 46468.2076606747
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
36 9960.1593875408
50 7067.8909045817
52 6909.4849080964
54 6045.0612680499
81 6036.6464885849
82 5647.6716283652
90 46468.2076606747
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
36 9960.1593875408
50 7067.8909045817
52 6909.4849080964
54 6045.0612680499
81 6036.6464885849
82 5647.6716283652
90 46468.2076606747
evaluations raw_y
1 8052485.4825305063
2 2542711.4207475907
4 602691.0299818841
5 22277.3632705766
36 9960.1593875408
50 7067.8909045817
52 6909.4849080964
54 6045.0612680499
81 6036.6464885849
82 5647.6716283652
90 46468.2076606747
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 147627.4947478815
18 76289.6612413703
23 56596.5463453618
38 10789.2738973745
39 1723.6276509534
43 1665.6510307276
90 13113.4954848235
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 147627.4947478815
18 76289.6612413703
23 56596.5463453618
38 10789.2738973745
39 1723.6276509534
43 1665.6510307276
90 13113.4954848235
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 147627.4947478815
18 76289.6612413703
23 56596.5463453618
38 10789.2738973745
39 1723.6276509534
43 1665.6510307276
90 13113.4954848235
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 147627.4947478815
18 76289.6612413703
23 56596.5463453618
38 10789.2738973745
39 1723.6276509534
43 1665.6510307276
90 13113.4954848235
evaluations raw_y
1 21723097.5807432123
2 2126745.7320691561
4 343673.7136443210
13 147627.4947478815
18 76289.6612413703
23 56596.5463453618
38 10789.2738973745
39 1723.6276509534
43 1665.6510307276
90 13113.4954848235
evaluations raw_y
1 9077118.6137494724
4 5572962.0645948807
8 2411142.8289400754
12 1821403.2901038255
14 68818.6462424248
16 4934.1309046807
64 4246.6941986190
71 1668.1316761098
78 1639.4661141772
83 1607.1557063677
89 1567.2557486538
90 3145302.4032726204
evaluations raw_y
1 9077118.6137494724
4 5572962.0645948807
8 2411142.8289400754
12 1821403.2901038255
14 68818.6462424248
16 4934.1309046807
64 4246.6941986190
71 1668.1316761098
