evaluations raw_y
1 14746225.3560423274
4 6295739.9703294858
6 3637331.4929694859
18 1961177.9011839731
34 53167.4845924895
43 2075.9479712037
48 1192.5729986419
90 1152.6375349501
evaluations raw_y
1 14746225.3560423274
4 6295739.9703294858
6 3637331.4929694859
18 1961177.9011839731
34 53167.4845924895
43 2075.9479712037
48 1192.5729986419
90 1152.6375349501
evaluations raw_y
1 14746225.3560423274
4 6295739.9703294858
6 3637331.4929694859
18 1961177.9011839731
34 53167.4845924895
43 2075.9479712037
48 1192.5729986419
90 1152.6375349501
evaluations raw_y
1 14746225.3560423274
4 6295739.9703294858
6 3637331.4929694859
18 1961177.9011839731
34 53167.4845924895
43 2075.9479712037
48 1192.5729986419
90 1152.6375349501
evaluations raw_y
1 14746225.3560423274
4 6295739.9703294858
6 3637331.4929694859
18 1961177.9011839731
34 53167.4845924895
43 2075.9479712037
48 1192.5729986419
90 1152.6375349501
evaluations raw_y
1 9096826937.7655620575
2 32716365.8875956200
3 3419490.8562879362
6 931638.3804729012
35 653500.1541290374
38 455609.8689187961
46 124619.6110596136
49 121331.2396959298
64 119971.5811730767
78 106716.4534002772
81 70287.8330379611
90 77997.4591578787
evaluations raw_y
1 9096826937.7655620575
2 32716365.8875956200
3 3419490.8562879362
6 931638.3804729012
35 653500.1541290374
38 455609.8689187961
46 124619.6110596136
49 121331.2396959298
64 119971.5811730767
78 106716.4534002772
81 70287.8330379611
90 77997.4591578787
evaluations raw_y
1 9096826937.7655620575
2 32716365.8875956200
3 3419490.8562879362
6 931638.3804729012
35 653500.1541290374
38 455609.8689187961
46 124619.6110596136
49 121331.2396959298
64 119971.5811730767
78 106716.4534002772
81 70287.8330379611
90 77997.4591578787
evaluations raw_y
1 9096826937.7655620575
2 32716365.8875956200
3 3419490.8562879362
6 931638.3804729012
35 653500.1541290374
38 455609.8689187961
46 124619.6110596136
49 121331.2396959298
64 119971.5811730767
78 106716.4534002772
81 70287.8330379611
90 77997.4591578787
evaluations raw_y
1 9096826937.7655620575
2 32716365.8875956200
3 3419490.8562879362
6 931638.3804729012
35 653500.1541290374
38 455609.8689187961
46 124619.6110596136
49 121331.2396959298
64 119971.5811730767
78 106716.4534002772
81 70287.8330379611
90 77997.4591578787
evaluations raw_y
1 732504623.9962007999
2 69690058.7318811566
3 61984118.7053786665
4 28775958.9593182020
16 16473277.8358854596
20 3808955.8749510422
30 3297776.6682873624
31 2478601.2310650838
43 2217030.4166645706
46 1927622.5745620013
47 1864131.3203595916
54 1522472.5015865311
75 965282.8920773481
77 915088.1530145127
83 913900.4936632819
90 1077873.6955276369
evaluations raw_y
1 732504623.9962007999
2 69690058.7318811566
3 61984118.7053786665
4 28775958.9593182020
16 16473277.8358854596
20 3808955.8749510422
30 3297776.6682873624
31 2478601.2310650838
43 2217030.4166645706
46 1927622.5745620013
47 1864131.3203595916
54 1522472.5015865311
