evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
46 0.8380609633
47 0.8017123751
52 0.7516214000
54 0.7239749126
55 0.7224195418
57 0.7159641476
58 0.6545226041
68 0.6404086478
90 0.9519134582
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
46 0.8380609633
47 0.8017123751
52 0.7516214000
54 0.7239749126
55 0.7224195418
57 0.7159641476
58 0.6545226041
68 0.6404086478
90 0.9519134582
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
46 0.8380609633
47 0.8017123751
52 0.7516214000
54 0.7239749126
55 0.7224195418
57 0.7159641476
58 0.6545226041
68 0.6404086478
90 0.9519134582
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
46 0.8380609633
47 0.8017123751
52 0.7516214000
54 0.7239749126
55 0.7224195418
57 0.7159641476
58 0.6545226041
68 0.6404086478
90 0.9519134582
evaluations raw_y
1 212.4942217906
2 93.2013453977
3 1.3757099370
9 1.0528372674
46 0.8380609633
47 0.8017123751
52 0.7516214000
54 0.7239749126
55 0.7224195418
57 0.7159641476
58 0.6545226041
68 0.6404086478
90 0.9519134582
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 1.6823695814
32 1.1510637069
42 0.7356974836
65 0.5008513823
84 0.4237531296
89 0.2380939607
90 0.2514676041
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 1.6823695814
32 1.1510637069
42 0.7356974836
65 0.5008513823
84 0.4237531296
89 0.2380939607
90 0.2514676041
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 1.6823695814
32 1.1510637069
42 0.7356974836
65 0.5008513823
84 0.4237531296
89 0.2380939607
90 0.2514676041
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 1.6823695814
32 1.1510637069
42 0.7356974836
65 0.5008513823
84 0.4237531296
89 0.2380939607
90 0.2514676041
evaluations raw_y
1 78.8347367934
2 74.3968095486
3 53.7161133002
4 4.5402805556
13 1.6823695814
32 1.1510637069
42 0.7356974836
65 0.5008513823
84 0.4237531296
89 0.2380939607
90 0.2514676041
evaluations raw_y
1 64.8077485781
2 7.0300604495
11 6.7791008982
13 1.8553402837
38 0.3454113720
46 0.2153686189
57 0.1832872996
58 0.1221215603
63 0.1159043233
90 0.1549196550
evaluations raw_y
1 64.8077485781
2 7.0300604495
11 6.7791008982
13 1.8553402837
38 0.3454113720
46 0.2153686189
57 0.1832872996
58 0.1221215603
63 0.1159043233
90 0.1549196550
evaluations raw_y
1 64.8077485781
2 7.0300604495
11 6.7791008982
13 1.8553402837
38 0.3454113720
46 0.2153686189
57 0.1832872996
58 0.1221215603
63 0.1159043233
90 0.1549196550
evaluations raw_y
1 64.8077485781
2 7.0300604495
11 6.7791008982
13 1.8553402837
38 0.3454113720
46 0.2153686189
57 0.1832872996
58 0.1221215603
63 0.1159043233
90 0.1549196550
evaluations raw_y
1 64.8077485781
2 7.0300604495
11 6.7791008982
13 1.8553402837
38 0.3454113720
46 0.2153686189
57 0.1832872996
58 0.1221215603
63 0.1159043233
90 0.1549196550
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
13 11.3390810581
18 9.2494245431
19 7.4701738450
26 0.6338314241
31 0.4667099301
38 0.1943266932
54 0.1804216893
57 0.1789052460
90 0.2094887204
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
13 11.3390810581
18 9.2494245431
19 7.4701738450
26 0.6338314241
31 0.4667099301
38 0.1943266932
54 0.1804216893
57 0.1789052460
90 0.2094887204
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
13 11.3390810581
18 9.2494245431
19 7.4701738450
26 0.6338314241
31 0.4667099301
38 0.1943266932
54 0.1804216893
57 0.1789052460
90 0.2094887204
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
13 11.3390810581
18 9.2494245431
19 7.4701738450
26 0.6338314241
31 0.4667099301
38 0.1943266932
54 0.1804216893
57 0.1789052460
90 0.2094887204
evaluations raw_y
1 54.9264812122
2 27.6244666523
7 15.7233901299
9 13.0601396002
13 11.3390810581
18 9.2494245431
19 7.4701738450
26 0.6338314241
31 0.4667099301
38 0.1943266932
54 0.1804216893
57 0.1789052460
90 0.2094887204
evaluations raw_y
1 5.7002119477
8 3.2950732754
17 2.1161836522
21 0.5673981923
38 0.4859044633
54 0.4695224362
63 0.3618789704
71 0.3354809440
73 0.3295097464
74 0.3081381391
89 0.2753669382
90 0.2859133261
evaluations raw_y
1 5.7002119477
8 3.2950732754
17 2.1161836522
21 0.5673981923
38 0.4859044633
54 0.4695224362
63 0.3618789704
71 0.3354809440
73 0.3295097464
74 0.3081381391
89 0.2753669382
90 0.2859133261
evaluations raw_y
1 5.7002119477
8 3.2950732754
17 2.1161836522
21 0.5673981923
38 0.4859044633
54 0.4695224362
63 0.3618789704
71 0.3354809440
73 0.3295097464
74 0.3081381391
89 0.2753669382
90 0.2859133261
evaluations raw_y
1 5.7002119477
8 3.2950732754
17 2.1161836522
21 0.5673981923
38 0.4859044633
54 0.4695224362
63 0.3618789704
71 0.3354809440
73 0.3295097464
74 0.3081381391
89 0.2753669382
90 0.2859133261
evaluations raw_y
1 5.7002119477
8 3.2950732754
17 2.1161836522
21 0.5673981923
38 0.4859044633
54 0.4695224362
63 0.3618789704
71 0.3354809440
73 0.3295097464
74 0.3081381391
89 0.2753669382
90 0.2859133261
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
12 0.3515233785
39 0.2735888294
41 0.1999092603
42 0.1654671418
52 0.1347255402
73 0.1344088331
74 0.1286873546
89 0.1254055319
90 0.1288841850
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
12 0.3515233785
39 0.2735888294
41 0.1999092603
42 0.1654671418
52 0.1347255402
73 0.1344088331
74 0.1286873546
89 0.1254055319
90 0.1288841850
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
12 0.3515233785
39 0.2735888294
41 0.1999092603
42 0.1654671418
52 0.1347255402
73 0.1344088331
74 0.1286873546
89 0.1254055319
90 0.1288841850
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
12 0.3515233785
39 0.2735888294
41 0.1999092603
42 0.1654671418
52 0.1347255402
73 0.1344088331
74 0.1286873546
89 0.1254055319
90 0.1288841850
evaluations raw_y
1 108.3133995997
2 4.4329261579
8 1.4954057887
12 0.3515233785
39 0.2735888294
41 0.1999092603
42 0.1654671418
52 0.1347255402
73 0.1344088331
74 0.1286873546
89 0.1254055319
90 0.1288841850
evaluations raw_y
1 4.5791680225
12 4.4236287105
21 4.3385664103
24 3.2993406298
46 2.1976156036
48 2.0466792589
49 2.0318859498
50 2.0097422991
54 1.9739715701
58 1.9026621958
63 1.7183163961
64 1.5250429813
66 1.4693693409
78 1.2210104681
83 1.2191200034
87 0.2947314013
90 1.0363120817
evaluations raw_y
1 4.5791680225
12 4.4236287105
21 4.3385664103
24 3.2993406298
46 2.1976156036
48 2.0466792589
49 2.0318859498
50 2.0097422991
54 1.9739715701
58 1.9026621958
63 1.7183163961
64 1.5250429813
66 1.4693693409
78 1.2210104681
83 1.2191200034
87 0.2947314013
90 1.0363120817
evaluations raw_y
1 4.5791680225
12 4.4236287105
21 4.3385664103
24 3.2993406298
46 2.1976156036
48 2.0466792589
49 2.0318859498
50 2.0097422991
54 1.9739715701
58 1.9026621958
63 1.7183163961
64 1.5250429813
66 1.4693693409
78 1.2210104681
83 1.2191200034
87 0.2947314013
90 1.0363120817
