evaluations raw_y
1 31.8680294084
6 14.3076619156
17 9.3695199156
46 8.3514322803
49 5.4162745572
89 4.8587442195
90 6.1059685456
evaluations raw_y
1 31.8680294084
6 14.3076619156
17 9.3695199156
46 8.3514322803
49 5.4162745572
89 4.8587442195
90 6.1059685456
evaluations raw_y
1 31.8680294084
6 14.3076619156
17 9.3695199156
46 8.3514322803
49 5.4162745572
89 4.8587442195
90 6.1059685456
evaluations raw_y
1 31.8680294084
6 14.3076619156
17 9.3695199156
46 8.3514322803
49 5.4162745572
89 4.8587442195
90 6.1059685456
evaluations raw_y
1 31.8680294084
6 14.3076619156
17 9.3695199156
46 8.3514322803
49 5.4162745572
89 4.8587442195
90 6.1059685456
evaluations raw_y
1 113.8825738907
2 76.4304224802
3 46.4586239917
8 36.5786208405
10 31.4130646866
26 29.8332236718
27 29.3727386573
39 28.6093389156
42 22.1309128506
59 16.6687432618
63 4.0127068835
73 2.7599144438
78 2.7103862618
90 6.5751466629
evaluations raw_y
1 113.8825738907
2 76.4304224802
3 46.4586239917
8 36.5786208405
10 31.4130646866
26 29.8332236718
27 29.3727386573
39 28.6093389156
42 22.1309128506
59 16.6687432618
63 4.0127068835
73 2.7599144438
78 2.7103862618
90 6.5751466629
evaluations raw_y
1 113.8825738907
2 76.4304224802
3 46.4586239917
8 36.5786208405
10 31.4130646866
26 29.8332236718
27 29.3727386573
39 28.6093389156
42 22.1309128506
59 16.6687432618
63 4.0127068835
73 2.7599144438
78 2.7103862618
90 6.5751466629
evaluations raw_y
1 113.8825738907
2 76.4304224802
3 46.4586239917
8 36.5786208405
10 31.4130646866
26 29.8332236718
27 29.3727386573
39 28.6093389156
42 22.1309128506
59 16.6687432618
63 4.0127068835
73 2.7599144438
78 2.7103862618
90 6.5751466629
evaluations raw_y
1 113.8825738907
2 76.4304224802
3 46.4586239917
8 36.5786208405
10 31.4130646866
26 29.8332236718
27 29.3727386573
39 28.6093389156
42 22.1309128506
59 16.6687432618
63 4.0127068835
73 2.7599144438
78 2.7103862618
90 6.5751466629
evaluations raw_y
1 136.2328393459
2 44.8547542035
8 30.4944893455
16 15.5729054694
28 8.9524359721
37 8.4360002021
56 7.2881285063
75 4.8392687138
90 6.2445341996
evaluations raw_y
1 136.2328393459
2 44.8547542035
8 30.4944893455
16 15.5729054694
28 8.9524359721
37 8.4360002021
56 7.2881285063
75 4.8392687138
90 6.2445341996
evaluations raw_y
1 136.2328393459
2 44.8547542035
8 30.4944893455
16 15.5729054694
28 8.9524359721
37 8.4360002021
56 7.2881285063
75 4.8392687138
90 6.2445341996
evaluations raw_y
1 136.2328393459
2 44.8547542035
8 30.4944893455
16 15.5729054694
28 8.9524359721
37 8.4360002021
56 7.2881285063
75 4.8392687138
90 6.2445341996
evaluations raw_y
1 136.2328393459
2 44.8547542035
8 30.4944893455
16 15.5729054694
28 8.9524359721
37 8.4360002021
56 7.2881285063
75 4.8392687138
90 6.2445341996
evaluations raw_y
1 13.4603913831
31 10.7272718796
51 9.7964944859
63 5.1336474580
71 3.7875482497
73 3.1824680699
89 2.0805473821
90 6.0955064291
evaluations raw_y
1 13.4603913831
31 10.7272718796
51 9.7964944859
63 5.1336474580
71 3.7875482497
73 3.1824680699
89 2.0805473821
90 6.0955064291
evaluations raw_y
1 13.4603913831
31 10.7272718796
51 9.7964944859
63 5.1336474580
71 3.7875482497
73 3.1824680699
89 2.0805473821
90 6.0955064291
evaluations raw_y
1 13.4603913831
31 10.7272718796
51 9.7964944859
63 5.1336474580
71 3.7875482497
73 3.1824680699
89 2.0805473821
90 6.0955064291
evaluations raw_y
1 13.4603913831
31 10.7272718796
51 9.7964944859
63 5.1336474580
71 3.7875482497
73 3.1824680699
89 2.0805473821
90 6.0955064291
evaluations raw_y
1 200.4348755435
2 117.0443981084
4 75.5973061899
6 70.3921078011
7 69.3245770635
8 43.2372027388
9 30.1121066678
12 9.6761248445
49 3.1739190039
55 2.0775631670
78 2.0697374074
90 4.7390174490
evaluations raw_y
1 200.4348755435
2 117.0443981084
4 75.5973061899
6 70.3921078011
7 69.3245770635
8 43.2372027388
9 30.1121066678
12 9.6761248445
49 3.1739190039
55 2.0775631670
78 2.0697374074
90 4.7390174490
evaluations raw_y
1 200.4348755435
2 117.0443981084
4 75.5973061899
6 70.3921078011
7 69.3245770635
8 43.2372027388
9 30.1121066678
12 9.6761248445
49 3.1739190039
55 2.0775631670
78 2.0697374074
90 4.7390174490
evaluations raw_y
1 200.4348755435
2 117.0443981084
4 75.5973061899
6 70.3921078011
7 69.3245770635
8 43.2372027388
9 30.1121066678
12 9.6761248445
49 3.1739190039
55 2.0775631670
78 2.0697374074
90 4.7390174490
evaluations raw_y
1 200.4348755435
2 117.0443981084
4 75.5973061899
6 70.3921078011
7 69.3245770635
8 43.2372027388
9 30.1121066678
12 9.6761248445
49 3.1739190039
55 2.0775631670
78 2.0697374074
90 4.7390174490
evaluations raw_y
1 285.6530486136
2 1.6386285805
90 89.5042175546
evaluations raw_y
1 285.6530486136
2 1.6386285805
90 89.5042175546
evaluations raw_y
1 285.6530486136
2 1.6386285805
90 89.5042175546
evaluations raw_y
1 285.6530486136
2 1.6386285805
90 89.5042175546
evaluations raw_y
1 285.6530486136
2 1.6386285805
90 89.5042175546
evaluations raw_y
1 43.7749212409
5 34.7150496531
16 8.1138012218
46 6.5631757893
49 5.3583259463
78 5.1520758673
90 4.4557331684
evaluations raw_y
1 43.7749212409
5 34.7150496531
16 8.1138012218
46 6.5631757893
49 5.3583259463
78 5.1520758673
90 4.4557331684
evaluations raw_y
1 43.7749212409
5 34.7150496531
16 8.1138012218
46 6.5631757893
49 5.3583259463
78 5.1520758673
90 4.4557331684
evaluations raw_y
1 43.7749212409
5 34.7150496531
16 8.1138012218
46 6.5631757893
49 5.3583259463
78 5.1520758673
90 4.4557331684
evaluations raw_y
1 43.7749212409
5 34.7150496531
16 8.1138012218
46 6.5631757893
49 5.3583259463
78 5.1520758673
90 4.4557331684
evaluations raw_y
1 360.0085218947
2 90.1872178984
3 21.5047516118
8 8.8981577680
90 12.3201331022
evaluations raw_y
1 360.0085218947
2 90.1872178984
3 21.5047516118
8 8.8981577680
90 12.3201331022
evaluations raw_y
1 360.0085218947
2 90.1872178984
3 21.5047516118
8 8.8981577680
90 12.3201331022
evaluations raw_y
1 360.0085218947
2 90.1872178984
3 21.5047516118
8 8.8981577680
90 12.3201331022
evaluations raw_y
1 360.0085218947
2 90.1872178984
3 21.5047516118
8 8.8981577680
90 12.3201331022
evaluations raw_y
1 139.3884623102
2 88.7363186971
5 65.0555326906
7 48.7381789855
9 32.6934299959
10 19.6684832102
23 14.0660404105
27 3.7061805139
47 3.6704108084
63 3.1321733367
89 2.9731741553
90 2.7145921102
evaluations raw_y
1 139.3884623102
2 88.7363186971
5 65.0555326906
7 48.7381789855
9 32.6934299959
10 19.6684832102
23 14.0660404105
27 3.7061805139
47 3.6704108084
63 3.1321733367
89 2.9731741553
90 2.7145921102
evaluations raw_y
1 139.3884623102
2 88.7363186971
5 65.0555326906
7 48.7381789855
9 32.6934299959
10 19.6684832102
23 14.0660404105
27 3.7061805139
47 3.6704108084
63 3.1321733367
89 2.9731741553
90 2.7145921102
evaluations raw_y
1 139.3884623102
2 88.7363186971
5 65.0555326906
7 48.7381789855
9 32.6934299959
10 19.6684832102
23 14.0660404105
27 3.7061805139
47 3.6704108084
63 3.1321733367
89 2.9731741553
90 2.7145921102
evaluations raw_y
1 139.3884623102
2 88.7363186971
5 65.0555326906
7 48.7381789855
9 32.6934299959
10 19.6684832102
23 14.0660404105
27 3.7061805139
47 3.6704108084
63 3.1321733367
89 2.9731741553
90 2.7145921102
evaluations raw_y
1 119.6667253854
3 60.0885183384
5 40.2565062327
8 38.0662592841
18 14.4617833549
46 3.3747893156
71 2.4945327161
90 9.7771094242
evaluations raw_y
1 119.6667253854
3 60.0885183384
5 40.2565062327
8 38.0662592841
18 14.4617833549
46 3.3747893156
71 2.4945327161
90 9.7771094242
evaluations raw_y
1 119.6667253854
3 60.0885183384
5 40.2565062327
8 38.0662592841
18 14.4617833549
46 3.3747893156
71 2.4945327161
90 9.7771094242
evaluations raw_y
1 119.6667253854
3 60.0885183384
5 40.2565062327
8 38.0662592841
18 14.4617833549
46 3.3747893156
71 2.4945327161
90 9.7771094242
evaluations raw_y
1 119.6667253854
3 60.0885183384
5 40.2565062327
8 38.0662592841
18 14.4617833549
46 3.3747893156
71 2.4945327161
90 9.7771094242
evaluations raw_y
1 11.4934989132
12 8.8830895852
63 5.6494857790
84 4.7959081767
90 39.6413503213
evaluations raw_y
1 11.4934989132
12 8.8830895852
63 5.6494857790
84 4.7959081767
90 39.6413503213
evaluations raw_y
1 11.4934989132
12 8.8830895852
63 5.6494857790
84 4.7959081767
90 39.6413503213
evaluations raw_y
1 11.4934989132
12 8.8830895852
63 5.6494857790
84 4.7959081767
90 39.6413503213
evaluations raw_y
1 11.4934989132
12 8.8830895852
63 5.6494857790
84 4.7959081767
90 39.6413503213
evaluations raw_y
1 55.1638509417
2 37.3964671304
13 20.1519437417
15 16.8671546098
29 10.4867691111
49 8.5272780457
77 7.9169148793
78 6.4308420037
90 8.3651327452
evaluations raw_y
1 55.1638509417
2 37.3964671304
13 20.1519437417
15 16.8671546098
29 10.4867691111
49 8.5272780457
77 7.9169148793
78 6.4308420037
90 8.3651327452
evaluations raw_y
1 55.1638509417
2 37.3964671304
13 20.1519437417
15 16.8671546098
29 10.4867691111
49 8.5272780457
77 7.9169148793
78 6.4308420037
90 8.3651327452
evaluations raw_y
1 55.1638509417
2 37.3964671304
13 20.1519437417
15 16.8671546098
29 10.4867691111
49 8.5272780457
77 7.9169148793
78 6.4308420037
90 8.3651327452
evaluations raw_y
1 55.1638509417
2 37.3964671304
13 20.1519437417
15 16.8671546098
29 10.4867691111
49 8.5272780457
77 7.9169148793
78 6.4308420037
90 8.3651327452
evaluations raw_y
1 105.3315122708
2 72.7810568074
3 59.9074002203
7 49.2540567811
11 23.1092648932
12 2.0711812762
37 1.6695563462
57 0.8288100533
90 0.1776826759
evaluations raw_y
1 105.3315122708
2 72.7810568074
3 59.9074002203
7 49.2540567811
11 23.1092648932
12 2.0711812762
37 1.6695563462
57 0.8288100533
90 0.1776826759
evaluations raw_y
1 105.3315122708
2 72.7810568074
3 59.9074002203
7 49.2540567811
11 23.1092648932
12 2.0711812762
37 1.6695563462
57 0.8288100533
90 0.1776826759
evaluations raw_y
1 105.3315122708
2 72.7810568074
3 59.9074002203
7 49.2540567811
11 23.1092648932
12 2.0711812762
37 1.6695563462
57 0.8288100533
