evaluations raw_y
1 21.8413447245
2 2.0502409439
52 2.0003275339
71 1.9147414424
74 1.8953497455
75 1.8459396399
80 1.7609839009
90 2.0259896482
evaluations raw_y
1 21.8413447245
2 2.0502409439
52 2.0003275339
71 1.9147414424
74 1.8953497455
75 1.8459396399
80 1.7609839009
90 2.0259896482
evaluations raw_y
1 21.8413447245
2 2.0502409439
52 2.0003275339
71 1.9147414424
74 1.8953497455
75 1.8459396399
80 1.7609839009
90 2.0259896482
evaluations raw_y
1 21.8413447245
2 2.0502409439
52 2.0003275339
71 1.9147414424
74 1.8953497455
75 1.8459396399
80 1.7609839009
90 2.0259896482
evaluations raw_y
1 21.8413447245
2 2.0502409439
52 2.0003275339
71 1.9147414424
74 1.8953497455
75 1.8459396399
80 1.7609839009
90 2.0259896482
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 12.7261530024
22 2.4952235639
36 1.0783221117
48 0.9804473840
49 0.7793018094
63 0.7054089838
64 0.7040541997
68 0.6964608733
71 0.6840300708
73 0.6302669489
74 0.1371481006
75 0.0867133157
78 0.0702018895
80 0.0397712428
90 0.2351344086
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 12.7261530024
22 2.4952235639
36 1.0783221117
48 0.9804473840
49 0.7793018094
63 0.7054089838
64 0.7040541997
68 0.6964608733
71 0.6840300708
73 0.6302669489
74 0.1371481006
75 0.0867133157
78 0.0702018895
80 0.0397712428
90 0.2351344086
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 12.7261530024
22 2.4952235639
36 1.0783221117
48 0.9804473840
49 0.7793018094
63 0.7054089838
64 0.7040541997
68 0.6964608733
71 0.6840300708
73 0.6302669489
74 0.1371481006
75 0.0867133157
78 0.0702018895
80 0.0397712428
90 0.2351344086
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 12.7261530024
22 2.4952235639
36 1.0783221117
48 0.9804473840
49 0.7793018094
63 0.7054089838
64 0.7040541997
68 0.6964608733
71 0.6840300708
73 0.6302669489
74 0.1371481006
75 0.0867133157
78 0.0702018895
80 0.0397712428
90 0.2351344086
evaluations raw_y
1 56.5574588036
2 13.1298592949
15 12.7261530024
22 2.4952235639
36 1.0783221117
48 0.9804473840
49 0.7793018094
63 0.7054089838
64 0.7040541997
68 0.6964608733
71 0.6840300708
73 0.6302669489
74 0.1371481006
75 0.0867133157
78 0.0702018895
80 0.0397712428
90 0.2351344086
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
17 7.1199739007
30 6.6445681022
37 5.3243001832
47 5.2219549245
49 5.0144828797
68 4.9963874556
71 4.9218117854
90 21.5054604256
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
17 7.1199739007
30 6.6445681022
37 5.3243001832
47 5.2219549245
49 5.0144828797
68 4.9963874556
71 4.9218117854
90 21.5054604256
evaluations raw_y
1 23.6535453495
3 14.6367047044
5 8.2431768676
17 7.1199739007
30 6.6445681022
37 5.3243001832
47 5.2219549245
49 5.0144828797
68 4.9963874556
71 4.9218117854
90 21.5054604256
