evaluations raw_y
1 13859307.9169774689
2 3865854.1519401302
5 42903.5677855545
38 11861.1888094930
58 9853.2376026414
80 9786.1031955439
90 9818.3558513831
evaluations raw_y
1 13859307.9169774689
2 3865854.1519401302
5 42903.5677855545
38 11861.1888094930
58 9853.2376026414
80 9786.1031955439
90 9818.3558513831
evaluations raw_y
1 13859307.9169774689
2 3865854.1519401302
5 42903.5677855545
38 11861.1888094930
58 9853.2376026414
80 9786.1031955439
90 9818.3558513831
evaluations raw_y
1 13859307.9169774689
2 3865854.1519401302
5 42903.5677855545
38 11861.1888094930
58 9853.2376026414
80 9786.1031955439
90 9818.3558513831
evaluations raw_y
1 13859307.9169774689
2 3865854.1519401302
5 42903.5677855545
38 11861.1888094930
58 9853.2376026414
80 9786.1031955439
90 9818.3558513831
evaluations raw_y
1 15268296.5208311155
2 635948.1348286225
7 341658.7662935859
18 314295.6973610182
22 135208.1483541479
30 39794.8638615134
46 30390.4694533069
48 29999.0025968045
54 28170.9414809531
55 27908.1220940610
57 27870.7975757783
74 27755.6528076649
84 27753.9292288946
85 27576.0863775223
90 27772.3044679697
evaluations raw_y
1 15268296.5208311155
2 635948.1348286225
7 341658.7662935859
18 314295.6973610182
22 135208.1483541479
30 39794.8638615134
46 30390.4694533069
48 29999.0025968045
54 28170.9414809531
55 27908.1220940610
57 27870.7975757783
74 27755.6528076649
84 27753.9292288946
85 27576.0863775223
90 27772.3044679697
evaluations raw_y
1 15268296.5208311155
2 635948.1348286225
7 341658.7662935859
18 314295.6973610182
22 135208.1483541479
30 39794.8638615134
46 30390.4694533069
48 29999.0025968045
54 28170.9414809531
55 27908.1220940610
57 27870.7975757783
74 27755.6528076649
84 27753.9292288946
85 27576.0863775223
90 27772.3044679697
evaluations raw_y
1 15268296.5208311155
2 635948.1348286225
7 341658.7662935859
18 314295.6973610182
22 135208.1483541479
30 39794.8638615134
46 30390.4694533069
48 29999.0025968045
54 28170.9414809531
55 27908.1220940610
57 27870.7975757783
74 27755.6528076649
84 27753.9292288946
85 27576.0863775223
90 27772.3044679697
evaluations raw_y
