evaluations raw_y
1 39452560.4395524263
2 22145286.2385778949
3 1910173.4731774589
5 165461.7264488636
7 67688.8622079394
36 54143.5977732412
51 21977.1552665260
63 12725.6841781690
69 838.8761623070
73 457.1302074386
87 12.3379069943
126 8.2823603303
149 77.8717770818
evaluations raw_y
1 39452560.4395524263
2 22145286.2385778949
3 1910173.4731774589
5 165461.7264488636
7 67688.8622079394
17 61918.2943763219
18 1914.2272362457
44 875.5618081097
76 234.5033155841
103 60.6957260189
129 57.6033277818
137 19.6007076970
147 14.7335998258
148 7.3943455029
149 63.8169579572
evaluations raw_y
1 39452560.4395524263
2 22145286.2385778949
3 1910173.4731774589
5 165461.7264488636
7 67688.8622079394
23 18813.8611024314
38 637.5785914990
93 457.9274096108
107 426.7373160857
124 423.2667693524
139 421.8571054369
149 463.4175335046
evaluations raw_y
1 39452560.4395524263
2 22145286.2385778949
3 1910173.4731774589
5 165461.7264488636
7 67688.8622079394
31 14719.9309428073
54 5994.0819217527
58 3690.5145264405
69 388.3923479105
114 152.4336139982
125 135.5530541941
132 114.5304979545
143 110.0057120763
149 586.9735897801
evaluations raw_y
1 39452560.4395524263
2 22145286.2385778949
3 1910173.4731774589
5 165461.7264488636
7 67688.8622079394
25 895.1280965513
83 52.8747232298
93 29.6042790062
107 14.8454984539
109 14.7713982983
149 207.8678901731
evaluations raw_y
1 12712880.3029422704
2 7575343.6124854600
4 1090661.0265587296
7 725071.7904859991
9 165573.2641529591
14 394.1613885705
96 96.4979859434
103 81.5670071399
149 232.8194038570
evaluations raw_y
1 12712880.3029422704
2 7575343.6124854600
4 1090661.0265587296
7 725071.7904859991
9 165573.2641529591
14 394.1613885705
59 186.9323148693
110 112.5062616617
117 103.1926106577
149 103.2090407026
evaluations raw_y
1 12712880.3029422704
2 7575343.6124854600
4 1090661.0265587296
7 725071.7904859991
9 165573.2641529591
14 394.1613885705
39 131.7508549092
111 130.3106672641
112 85.7200842795
115 84.9385523430
120 84.7091492245
134 80.5205214948
135 80.4690891584
139 79.2854291060
141 78.9856060952
149 88.8859822565
evaluations raw_y
1 12712880.3029422704
2 7575343.6124854600
4 1090661.0265587296
7 725071.7904859991
9 165573.2641529591
14 394.1613885705
28 358.1845930897
100 356.8307490726
106 338.2530868709
112 337.9134076794
114 330.2395049661
149 339.9206407329
evaluations raw_y
1 12712880.3029422704
2 7575343.6124854600
4 1090661.0265587296
7 725071.7904859991
9 165573.2641529591
14 394.1613885705
116 104.6230361950
124 45.5102124861
146 45.4801848200
149 112.4921836514
evaluations raw_y
1 2977669.6090656449
2 60048.3212341289
39 46890.4641894173
73 1154.1734366367
143 1149.0140108851
149 1173.9267445457
evaluations raw_y
1 2977669.6090656449
2 60048.3212341289
49 22192.6472032120
50 8290.9001897489
74 2756.7254949805
75 1601.6078857361
117 1553.0531454849
143 1530.3893594868
149 1527.2688053107
evaluations raw_y
1 2977669.6090656449
2 60048.3212341289
38 28207.8129319401
60 13898.4555900391
70 4039.9184610192
102 1150.7359672936
114 338.9412883322
131 338.4870477548
132 338.3688552665
149 3967.6363505174
evaluations raw_y
1 2977669.6090656449
2 60048.3212341289
39 43013.6353455686
40 2779.9338505117
61 316.9437096998
83 298.7424107469
93 132.8580048210
127 132.8285394598
149 189.4796682425
evaluations raw_y
1 2977669.6090656449
2 60048.3212341289
25 42370.5181760231
29 28936.1301459298
33 7511.6712382051
35 248.6139543826
59 113.0861042705
122 89.2588528055
124 64.2521297030
148 61.6404882758
149 384.1311591909
evaluations raw_y
1 881609.7050324176
2 504505.5561949640
8 176546.5067389023
27 128913.8103908064
29 475.9152001143
90 86.7203195354
109 71.6724728639
126 66.3173696135
136 66.0680830643
149 187.4197875730
evaluations raw_y
1 881609.7050324176
2 504505.5561949640
8 176546.5067389023
20 129556.2403145328
21 5693.8885858650
82 137.8568260233
85 67.1494410318
96 39.5383153685
147 39.1561648511
149 45.6084438439
evaluations raw_y
1 881609.7050324176
2 504505.5561949640
8 176546.5067389023
21 147514.7296630449
28 22235.3712893458
65 565.3727348508
88 540.7551368515
93 512.6614625674
107 510.1399716517
119 486.8651158573
140 486.5162309309
149 512.4742425059
evaluations raw_y
1 881609.7050324176
2 504505.5561949640
8 176546.5067389023
26 69215.2853407816
57 14362.5423349989
67 1726.3148194725
85 1086.1838384679
87 247.7179158434
102 63.5238268498
143 60.5009209068
149 230.8635823508
evaluations raw_y
1 881609.7050324176
2 504505.5561949640
8 176546.5067389023
44 5174.1838445759
84 360.1333810770
101 321.9165946175
114 255.5642590278
140 253.8116327620
141 236.2848327304
142 233.1404565789
148 228.1446980534
