evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
20 12978893.4461552575
23 6177688.5637288028
44 6052388.7327428479
47 1127986.7472174051
56 726281.3746395638
64 366452.1470508472
101 259896.3473305343
102 200826.9882852925
103 75556.1247723018
104 50965.1045977905
120 26920.7193095410
124 15977.5045190551
130 10902.6767513233
141 6895.6612455585
149 11722.7143974665
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
33 15503313.2427997887
36 13902846.0497364718
58 12198965.5764127504
63 8655259.7195544802
68 5179589.3180916309
69 2540205.3346815030
70 2437613.2169801998
90 2317882.4991810014
92 1678334.3613128227
102 1099846.3989021331
107 957180.4799931062
120 881073.2439923058
124 855367.2397541886
126 619327.8117106442
133 344138.9676750723
137 253001.1297013785
149 314791.0259000136
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
25 15348166.2713965774
34 6398515.0633776262
50 3420366.7531927852
84 2325747.5410263203
87 1813006.1271230592
92 1053651.1563129222
93 327315.2929482557
116 269638.3475574231
126 216456.9095194310
127 74331.1226404406
134 37441.5317153989
149 91425.6154003387
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
19 11782712.4308666773
22 7301882.3721992159
52 5120952.6407888616
53 1407806.1652288111
73 1113919.0591798585
84 490937.7288678914
90 103312.2386795882
95 48256.0626798014
112 32204.0981167194
123 9635.9975140733
145 7795.2713301832
147 5527.3530748163
149 18555.8266595498
evaluations raw_y
1 136097950.2756888568
2 16800540.6902478449
40 16781277.5540886298
42 4754945.4149870742
56 2766749.2351912172
65 1886540.3988865030
83 1820785.6152651615
88 477895.3989787032
91 429572.0063718577
99 270246.8111701036
103 199309.4676936815
122 55377.2080433012
140 43951.8495706718
149 181074.5348372206
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
25 11061008.0946858600
26 8611972.4246942271
34 4571445.7680704594
50 1364161.0107742792
84 236012.8510817244
88 27075.4748339983
114 19014.9157163859
118 17273.5620437243
119 13582.2669513935
121 7198.5945617144
122 2783.1566912181
149 36053.4356590805
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
40 9336042.0548544377
47 6171220.9182194956
65 3976843.0907622306
77 2233037.3623814327
83 1931571.7254624045
87 417414.1984818027
94 243134.3052063216
102 74004.7212953510
132 36148.3769160219
143 33532.9554711831
149 29435.2289573304
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
22 19431285.3935421854
26 18443260.6009409986
29 6841172.1984591894
61 4819412.2188815959
62 2376944.9892994082
82 1544875.2696899627
88 676638.8218856247
98 642805.2014461658
100 626209.6913551062
103 593841.2354753255
104 345801.6981663730
106 263836.3211137452
113 256246.0362801506
122 249457.6916299889
125 118500.2385598130
132 83389.7069704715
149 537367.8531036788
evaluations raw_y
1 33855135.3531912342
8 21603457.7792056389
20 18275854.6780838668
31 5073870.7137793507
33 1256815.7116542966
60 1256267.5579329433
65 720548.1172914003
66 652999.8796090677
70 291677.0045357673
90 142520.9798174656
91 55904.7152919528
112 28078.2606851877
117 16322.0819950681
118 15218.2079534646
122 8604.9557870669
123 6779.3342027929
127 5017.8768884287
149 88609.3831080278
