evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
23 184.2950498818
28 184.1689942788
29 136.5085941249
31 106.1701401531
48 83.5515171439
51 64.8649195626
70 62.7511697525
74 41.1267778834
106 38.3088290177
111 31.9841963493
127 30.5849783373
133 24.8640883049
149 42.9959801292
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
24 199.7416501041
35 84.6970337918
65 64.7218416453
72 63.3494532170
90 58.0292090902
95 45.8697626190
139 44.0675777373
142 42.0012928927
146 40.6896274790
149 40.8251278912
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
30 157.9129173286
35 155.2668073413
40 146.6231052280
52 135.4025199023
57 111.9797618892
62 81.4348143718
76 78.8443344458
77 49.7008500208
100 22.8512725423
123 22.4089800062
149 54.4018212707
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
43 175.2250538780
53 78.5735672508
69 74.7206835800
70 58.8188817570
76 52.6818465983
79 44.8515077600
85 35.2926288744
149 36.6376487738
evaluations raw_y
1 502.6258355241
5 248.8427417244
14 199.8790371646
20 120.7548060025
27 102.7532980932
34 98.0273423708
41 94.1476794514
47 80.6155042420
62 63.2238097564
76 57.8462612519
80 42.8784603778
121 40.5427115304
139 38.4343066072
142 32.7155634345
149 41.2262473754
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
41 90.0742899035
60 65.1490993657
72 50.7599495231
116 48.2679179199
117 40.8336335722
134 39.1965295131
140 38.9134682844
144 37.0703586086
147 33.8829280596
149 40.5723087616
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
23 89.4905458643
26 76.1026342209
46 49.3449535666
68 39.2619301896
77 33.7135608673
109 28.2949022607
114 26.3075469660
117 16.0012820802
125 14.9676501806
149 18.9726968131
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
22 46.4855023603
108 46.4571546684
110 41.7747566585
112 36.9748478429
119 34.5085697450
120 30.2353322194
122 28.7190089426
124 27.6928988420
128 27.3713640271
130 25.4693442474
132 21.7846408810
133 21.7205030826
149 26.8397524510
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
62 86.8928433873
68 78.4598832246
69 57.8658548277
82 41.7816665295
125 37.6959387590
129 31.9488542878
149 39.2734711078
evaluations raw_y
1 309.9210984497
2 154.8517315531
5 135.6482471985
10 91.0821248807
24 53.8633578423
55 48.8801604549
101 39.4146678280
107 36.1380763605
119 35.9987558751
140 34.6152990206
142 33.3553919195
147 33.1235565918
149 35.3938676477
evaluations raw_y
1 73.4182572459
45 70.4314790163
51 44.9718096514
56 43.8156037278
65 32.8497798805
143 32.5160818538
149 33.3489308341
evaluations raw_y
1 73.4182572459
28 72.5897366468
44 46.8898151577
47 46.5394462472
88 29.7509414932
122 27.9805832013
126 27.4460274203
133 25.9982791226
138 25.0881066159
145 25.0470972317
149 24.7523229182
evaluations raw_y
1 73.4182572459
84 65.5408942567
92 61.7094026878
96 34.3685109564
149 38.7166510994
evaluations raw_y
1 73.4182572459
24 63.3174215767
77 56.5995898153
81 55.3568113460
100 45.7371195395
106 43.1850072352
111 33.8303883423
127 32.1211203071
146 31.6456855815
149 31.9699182549
evaluations raw_y
1 73.4182572459
39 67.1325700871
57 56.1786655165
71 29.8675365918
78 21.8777762412
115 16.7685575314
137 14.6120426371
142 13.7218319491
149 18.4633223107
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
23 62.5181616006
32 60.2429054158
66 34.0039942178
82 30.1030121767
125 29.6873411451
128 29.4468524394
132 27.6006712393
139 27.0134522466
141 26.9121984416
149 28.5838926725
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
70 66.5988467587
84 44.9111139531
105 41.3423137376
109 36.7759925008
136 36.2521944474
144 36.0448131458
146 19.0687648900
149 26.7888809866
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
26 59.0159703600
42 45.7530221478
48 44.7488492166
88 35.3925411248
95 28.9702046475
107 22.3146621803
131 22.1750482157
133 21.4293790545
134 18.9798733815
138 13.2111927019
141 13.1061874477
149 19.6051487669
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
86 47.3162151202
104 43.4602490114
136 43.1971666278
141 42.5567061279
144 39.5671064656
148 38.4439558676
149 45.3958438035
evaluations raw_y
1 253.8130351175
5 246.2137215524
9 68.0168630028
51 49.2301387542
58 43.3780503469
67 38.4154260668
76 38.1887455486
89 37.5695096378
110 34.4792490825
120 31.7774455159
122 23.8153395542
124 23.3819002200
146 23.0131148205
147 22.4186288374
149 28.8492696543
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
22 117.6114656499
28 103.5942886447
33 52.2622852500
52 51.9171383542
56 41.1541573761
72 30.4430816286
94 7.0396807793
119 4.5201347320
136 3.8841269723
139 3.5263162309
149 6.0072007144
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
16 78.6506827472
30 72.3371174189
31 48.7978538771
55 31.1361294782
78 30.8320540943
96 20.9286334296
111 17.7780614484
112 16.6856099294
128 12.9482295065
129 10.5992278185
143 10.1614224904
144 10.0065403660
145 8.7170735131
149 15.3408162870
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
17 68.1012383778
20 31.9948438783
109 31.7337324582
111 31.7152549325
117 31.5975452178
133 31.4563032137
135 31.2035671732
141 30.9971469776
149 31.5719085740
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
16 114.2900421809
33 112.3807926293
34 88.7104654631
42 87.9040799848
44 62.0482939093
49 56.7179846048
85 51.5503576910
117 49.3591519728
119 44.3206351961
125 44.0509487518
127 43.1910731454
133 41.1925088673
142 41.1722007030
149 49.8015893039
evaluations raw_y
1 210.6013129739
2 173.5862936288
3 135.0424504129
11 118.2875364625
16 78.5902214145
27 64.5019239527
31 52.7455109401
68 33.9878746055
102 32.9810040748
109 29.1748257050
114 26.4796375685
118 18.6074717639
123 17.7884113731
128 15.2018389861
130 11.4663148007
146 10.7085737389
149 10.5616445304
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
16 154.2021794824
17 95.6717083212
37 35.3714858664
90 28.8843855056
93 24.6050580040
111 20.7834271037
119 18.4276168434
137 18.3948868283
143 18.3247784547
148 18.2688368675
149 18.3156994409
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
24 140.6349079644
26 120.4519190175
32 90.1797617637
35 90.1417833490
48 84.7725285728
66 80.7022935651
74 50.8872042757
94 42.6631467921
104 36.5781137119
107 27.7275518998
135 26.1085757830
144 22.6099004232
145 19.6695010764
149 22.2542542067
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
21 118.2070557710
54 113.2729367888
55 67.6133370473
58 67.3510761685
63 49.6215630631
66 46.0632653000
84 44.5718062130
118 42.6367847062
126 42.0931380258
131 36.7651229221
145 36.7150380636
149 37.7374267090
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
46 142.9995831639
51 113.0973870981
54 111.4563923933
56 109.7698763233
57 94.0652116444
58 73.6023723487
60 54.7396336813
102 50.2633280356
115 41.9387395712
141 40.7089010071
145 35.4902230347
149 60.6101524689
evaluations raw_y
1 557.3706513169
2 474.1094535162
7 451.6719174538
10 371.8916482570
14 165.7472038971
27 158.1128042249
41 127.9037858581
53 84.3918607501
70 62.1167907977
82 42.8146299183
118 34.5049377400
126 32.0574353339
127 23.7422044807
130 15.7110923136
146 14.4309375288
149 29.7271021856
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
57 35.3343938670
77 28.4457546888
114 23.4447823882
137 18.2802876231
141 14.6557748535
144 14.6054190907
145 11.5049831111
149 11.6538313464
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
33 43.2703417244
66 29.1335880350
78 22.7917544660
89 17.2906343600
131 16.8237344504
138 16.0965735901
141 15.4239961118
149 20.1455911865
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
38 61.7446837175
70 44.2100514221
85 39.1766042921
105 31.5257054304
122 19.8962641099
137 18.6962229904
147 13.8492048840
149 26.3719814903
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
74 43.6633519503
116 31.4012268764
137 31.3797447198
139 28.1879415101
142 26.9772908626
149 27.4396472731
evaluations raw_y
1 1600.7213990902
2 288.0956843183
4 65.4370348247
35 54.0368050041
92 53.2317575095
100 52.3822838863
130 51.6623076086
136 50.5654867275
149 54.8725363305
evaluations raw_y
1 1395.0588967643
2 139.7134234807
23 133.1936042793
35 58.3269831228
90 53.0385705434
91 42.1102975546
93 29.9304411728
118 27.8982890581
131 20.6413263895
132 18.5862585671
149 18.5744811910
evaluations raw_y
1 1395.0588967643
2 139.7134234807
25 135.7389669902
59 132.7407735390
61 128.0150072488
63 73.9667316651
65 67.0346963481
70 52.7145124651
76 49.9387423261
79 41.4278902207
125 35.4289285097
138 25.4840279299
140 18.9866198144
141 18.5950365144
149 23.4856472658
evaluations raw_y
1 1395.0588967643
2 139.7134234807
16 110.6319876926
18 103.1951616854
19 61.8707525256
20 59.3915136709
68 58.9430854851
74 58.2337417752
86 52.9820158777
123 47.5525884057
130 46.9775530607
132 45.9838051441
135 44.1750143773
136 41.4347968183
138 41.3437900455
149 53.2187587007
evaluations raw_y
1 1395.0588967643
2 139.7134234807
25 119.2757574550
27 92.2336762605
50 80.9642545544
53 58.1968826298
115 47.3589519512
117 46.5688840693
119 46.0781827791
125 44.2417182957
131 42.6990908489
134 42.6172594208
145 40.0986447551
149 43.5601783038
evaluations raw_y
1 1395.0588967643
2 139.7134234807
29 102.0655463388
57 87.8542495161
61 83.1390738804
77 70.1856016265
127 69.0291693360
128 59.7802096593
133 57.9483171446
146 57.1360315053
147 54.5658320828
149 67.6379822892
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
48 43.1189822157
94 42.6032385459
106 30.2748482995
110 24.1455141096
128 22.0370802600
131 21.7707522598
147 21.6724084448
148 21.6446806710
149 21.1681872536
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
39 28.2761671411
80 18.6596155249
111 6.4292959313
123 3.6237862880
149 3.9014706892
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
49 26.7880460962
108 20.2406016375
121 18.4755668559
123 16.9510034321
149 16.8627250830
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
100 28.6200930224
115 27.1544081062
132 24.0357679627
138 21.1854685651
139 16.9894401684
145 16.8829349168
147 11.4110357058
149 16.9904756883
evaluations raw_y
1 245.5913197314
7 135.4453495489
13 46.8399066121
148 46.3663915185
149 52.7708934224
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
22 113.5864051773
39 101.9600621539
44 78.6828393343
46 58.0586417781
50 55.1979577878
111 48.9085754354
112 47.6352217661
129 47.5240535227
133 44.6705642153
143 43.7893495564
149 43.6751737257
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
27 80.4693202594
45 77.1997772021
51 75.0711757096
55 72.1294786571
71 44.5239122315
75 35.2888231834
91 26.1659589853
136 24.0480855402
145 19.0375657663
149 25.8741344277
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
26 101.1691968155
48 70.9599771673
65 53.0231098966
71 51.2676363354
98 51.2166966609
101 35.8486173757
123 27.3886086252
125 22.1035993947
133 21.0156156029
149 56.3199764852
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
26 103.2232333023
30 71.8717939416
44 59.6329773011
48 38.6697519076
96 27.9136100615
111 20.4009168270
138 20.0838289285
147 19.7554956955
149 19.7603004620
evaluations raw_y
1 380.1298418643
2 272.7255836044
3 191.2504555499
4 162.6369239368
8 130.1026822203
36 129.9392089142
49 115.3431339154
53 64.3518151831
87 51.3284734442
90 41.8998258962
93 40.6191348647
129 36.0555235193
138 34.2030971030
145 31.7199202977
149 45.2241793994
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
25 99.2629607860
27 76.5011349196
72 55.6866929551
120 44.0416897192
138 42.7560044028
140 40.4676529372
147 38.7671631441
149 40.1400488196
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
17 95.3284593299
25 77.5027977504
29 76.2309549470
35 62.8816712739
70 55.9612468605
72 41.5712359929
76 29.4414661897
93 23.3121893008
127 23.0530795573
129 19.0646322592
136 18.2629386341
141 14.5747164572
142 12.7598804724
149 13.7658205067
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
60 103.1934395603
66 97.1241133905
71 91.4073144430
73 82.3199150765
74 67.8757354325
75 55.8521741946
78 54.4012916231
119 53.4166196889
124 40.6117940329
149 67.9640070467
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
20 94.9723429376
49 84.3784177921
50 37.5540508180
83 16.4271315192
97 15.9271236804
123 13.4804871886
134 12.8854351090
146 12.5052905846
149 13.9639880112
evaluations raw_y
1 4197.3401690254
2 1196.7052270887
3 772.3842563080
6 269.4840096313
7 143.3986171111
12 124.0483310923
48 119.2437475260
51 58.6511296394
65 58.0537021275
74 52.3959296295
112 44.5543125515
120 39.9140272940
129 36.1924637540
133 31.5329528326
143 29.7051440115
144 25.6598980658
145 25.0322563017
149 28.4538350303
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
38 165.1728985309
40 135.8716474327
52 114.5932036960
94 113.7745010104
95 49.5141202203
135 37.6776053929
149 55.6123958907
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
18 134.8276416046
33 89.5297483322
43 69.9824380166
57 63.2301904212
59 53.1786517404
72 53.1150978365
75 47.9069641286
79 36.0244924290
104 35.1970576924
113 31.4267517921
124 30.1781036740
139 24.6144168546
149 42.3308139990
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
28 124.8696818656
31 91.2469331938
45 72.7812416023
69 62.9744963540
75 48.4368635341
78 29.4276849247
138 28.7670937819
147 27.2322334392
149 29.5542280037
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
35 149.8872361784
38 105.4731822226
54 74.1203689779
66 55.5131044578
73 50.3213790115
118 42.4963104438
131 40.5083061495
149 41.2422941494
evaluations raw_y
1 1151.5054802889
3 248.2333711703
11 221.4043536961
12 172.0531669770
24 166.4173900743
26 129.7331476175
30 105.7615689911
56 82.7568048776
68 58.6027715163
90 53.7296151502
97 48.8071112830
109 38.6532131235
124 34.4150406055
146 32.4079741723
149 38.3358022422
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
101 81.5131338672
107 78.6682591381
149 94.2304935518
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
45 83.2552336511
47 78.1749750412
56 56.8086517285
75 50.9139946234
97 49.8330686614
101 40.4058653016
134 34.1981940891
149 33.2009485726
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
34 71.2243978813
42 47.7142644993
63 33.3081516082
87 29.7082383430
88 23.1430017558
127 21.7070047061
129 20.2490976845
130 19.3680841585
138 14.2146737594
140 12.9549960351
149 27.1662753100
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
16 76.7643532553
30 72.4315000487
31 70.3355456084
56 68.3088066828
57 62.9294372765
58 59.3393844350
62 50.2749386903
63 37.3205520193
127 34.9440459216
130 34.3508971175
133 30.5819266109
149 29.3159902211
evaluations raw_y
1 533.9644425615
4 349.1913931881
5 171.6352498570
7 98.5466871829
8 89.7443756542
40 75.1739677566
48 62.8501511413
60 46.1716483537
82 44.6131282506
83 26.9060861186
86 25.7548325837
107 21.7180802143
130 15.3983839486
133 7.3429458879
144 6.1176602071
149 7.9479426861
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
31 64.6127906607
57 57.3475592129
58 57.1904781020
64 42.6801362443
73 41.4816999895
126 36.8637523872
139 36.7872409354
142 31.8345769087
149 35.7008940888
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
28 70.9940527124
59 37.2891250934
95 35.3995462364
113 30.4328014169
115 27.8433412712
119 21.9852256234
122 18.1520408026
133 17.8711034933
136 16.7376910472
144 15.7921384095
149 22.1683844071
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
27 70.8681962827
29 62.9268346169
44 57.8420153824
64 50.3768442695
67 48.3913790542
72 39.1545358201
79 37.3071400023
88 32.4265403303
112 28.0950566997
118 25.5453690342
121 22.9575991270
122 15.8123654193
148 14.0316067744
149 22.3656902569
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
60 82.8392134900
66 74.2212297416
67 67.0886047464
80 64.8434883915
82 64.8040074128
88 60.0261300944
98 54.5700708096
142 51.3962911056
147 50.5107973179
149 45.7070244829
evaluations raw_y
1 363.3210245345
2 354.0156383979
3 269.9693400261
5 147.6238408420
6 84.1523090313
50 78.6899889063
87 57.8139921413
91 53.4050270535
101 29.8309630898
124 29.3713889720
138 23.2765218154
146 21.1140200463
149 21.7827697459
