evaluations raw_y
1 191.9764652706
2 45.2309397698
6 25.1796653889
84 22.5166185727
85 12.9307951794
92 12.6725327020
93 12.0892146038
119 10.2557018330
120 7.5487081328
122 5.5320374456
134 4.7645609687
149 13.7286022711
evaluations raw_y
1 191.9764652706
2 45.2309397698
6 25.1796653889
133 24.2931963259
134 23.0039983626
143 22.9552446762
149 32.5131101377
evaluations raw_y
1 191.9764652706
2 45.2309397698
6 25.1796653889
24 12.5541234616
50 7.4112801988
79 6.1870837418
87 3.7439597645
92 2.9977611873
107 2.6511049384
126 1.5479111868
144 1.3341476988
149 1.7598810064
evaluations raw_y
1 191.9764652706
2 45.2309397698
6 25.1796653889
43 2.7757114343
131 2.3689859406
142 2.1470176840
144 1.9512104271
149 1.7344452842
evaluations raw_y
1 191.9764652706
2 45.2309397698
6 25.1796653889
33 14.2411516587
107 10.4113170447
115 4.6194245761
129 4.1218450781
138 3.5442980018
149 4.6171469229
evaluations raw_y
1 112.4254778954
3 61.1150060667
5 21.6544129115
12 19.9999362278
144 2.6926062835
149 8.7053358097
evaluations raw_y
1 112.4254778954
3 61.1150060667
5 21.6544129115
12 19.9999362278
65 9.7916428705
121 9.0748531147
124 8.7843436930
133 6.4742279951
145 6.3548198816
149 7.5914809183
evaluations raw_y
1 112.4254778954
3 61.1150060667
5 21.6544129115
12 19.9999362278
51 17.3660070979
81 15.0862293000
100 10.0453952538
110 9.3020714539
115 7.3563458387
126 7.0921408693
131 6.1899882879
134 4.8012933199
139 3.3027132080
149 3.6740261284
evaluations raw_y
1 112.4254778954
3 61.1150060667
5 21.6544129115
12 19.9999362278
16 7.5821935415
57 6.9032508734
85 4.2739261490
88 2.7012497294
99 2.3081991314
120 2.1339138112
128 1.9711707275
140 1.8551026216
149 2.8922525193
evaluations raw_y
1 112.4254778954
3 61.1150060667
5 21.6544129115
12 19.9999362278
62 10.0522225990
63 3.7423657181
66 1.1278553458
111 0.9063001036
119 0.3153936327
136 0.2524912020
140 0.2428845346
147 0.2322862876
149 0.4960367190
evaluations raw_y
1 36.3098740470
10 15.5775703318
51 11.7248566163
59 7.5332757108
96 6.0765312012
101 5.8026497259
149 6.7034792348
evaluations raw_y
1 36.3098740470
10 15.5775703318
22 14.4850685302
73 9.1987757740
