evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
16 19.8808049584
17 13.4648850232
22 5.9243080714
47 5.7004249591
49 4.9992505497
55 3.9364143888
68 2.6226255884
74 1.7439279501
86 0.9737563689
89 0.8128607672
92 0.3661422113
95 0.2974135857
101 0.2707201470
113 0.2504892273
130 0.2037206653
136 0.1298913726
140 0.0771200858
149 0.2813837464
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
22 5.0626090972
29 3.8056511811
49 1.0371341989
66 0.2600559932
84 0.1149168440
89 0.1137074462
92 0.1089494678
94 0.0896947172
96 0.0751406958
113 0.0443757082
117 0.0218393191
121 0.0159288872
147 0.0146834475
148 0.0054503561
149 0.0249217974
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
16 16.4935586261
17 14.9922814944
20 8.6263914752
21 5.9889428283
44 3.0082655988
66 2.0251240466
73 0.2805151825
98 0.1581582407
108 0.1577038426
110 0.1255280600
115 0.1005796862
116 0.0329186603
132 0.0291724541
137 0.0155244695
149 0.0308890356
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
19 21.6442238910
21 12.6848505374
25 5.4506850119
59 4.1661940225
61 3.0726001417
69 2.4920970953
73 1.4398293680
82 0.8107899190
85 0.4743497470
92 0.4408502391
110 0.4231065083
111 0.0788865301
132 0.0779049064
133 0.0677483298
148 0.0498353592
149 0.0752084409
evaluations raw_y
1 51.7627641903
2 46.0203198329
8 39.3102132227
13 28.3158673366
16 8.4288077255
20 2.1661806585
45 2.0173610845
52 1.4475546694
58 1.3847632515
61 0.3495373414
84 0.2026066026
97 0.1050196245
106 0.0709711077
109 0.0501439193
120 0.0150319595
134 0.0078974819
137 0.0068291096
139 0.0044275404
140 0.0026894306
149 0.0076553887
evaluations raw_y
1 28.2842833136
24 24.6865562856
28 22.8779281477
35 20.3965951097
45 17.2783236517
46 15.9130224944
47 10.6689238531
60 7.5179615565
71 5.3800319246
85 5.3068820391
86 2.7986468860
91 2.7763194222
93 1.9907228573
96 1.2562116412
124 1.0911684155
130 0.4241435386
138 0.2470384337
145 0.0782417877
149 0.0611850581
evaluations raw_y
1 28.2842833136
58 24.1772442602
59 12.2954568760
63 12.0706495272
66 9.8263202531
67 8.2545878331
86 1.5569256440
113 0.9309995646
114 0.4619688014
126 0.2357522675
