evaluations raw_y
1 55.9738978089
37 55.9259790191
71 55.2872601701
90 51.3117003509
124 50.4700918624
125 45.7461853045
149 43.2859236413
evaluations raw_y
1 55.9738978089
72 21.9632996186
149 25.8133801393
evaluations raw_y
1 55.9738978089
50 46.3625750748
69 42.9480928805
83 39.3958482218
86 38.8485245095
87 23.3764775353
149 35.9985099153
evaluations raw_y
1 55.9738978089
57 37.7990926690
94 32.3247365360
115 27.9239026522
124 16.9800731999
149 31.4728917227
evaluations raw_y
1 55.9738978089
93 55.2504122012
130 51.0137427215
135 50.4299297700
142 49.0998649698
146 48.9776044106
148 48.4791042089
149 48.6129935776
evaluations raw_y
1 93.3077096758
15 63.2082807956
56 53.0988288414
59 22.4485690202
141 17.0474660975
149 18.9421912212
evaluations raw_y
1 93.3077096758
15 63.2082807956
30 51.5066277402
50 41.5323219308
127 37.7742246638
140 33.3444718236
149 44.0134181905
evaluations raw_y
1 93.3077096758
15 63.2082807956
33 57.9541052848
39 51.8682477200
64 43.3569653102
144 42.0837625306
147 41.8447540030
149 42.3952902118
evaluations raw_y
1 93.3077096758
15 63.2082807956
16 58.0415725047
60 55.5460338667
70 53.3632976455
106 43.8157679081
113 38.5593289515
136 37.4293344529
139 34.3962945431
145 31.2678340749
149 33.3237702164
evaluations raw_y
1 93.3077096758
15 63.2082807956
22 51.3387411869
32 51.1746341269
66 42.3840513883
105 32.4643202561
143 31.1655002960
149 32.7971503341
evaluations raw_y
1 142.0492756721
2 62.2187132456
41 54.7255221947
42 46.0752389805
133 44.2318018676
137 38.9490378693
140 38.4266154596
142 38.1800366502
143 37.7516560547
149 39.3383645805
evaluations raw_y
1 142.0492756721
2 62.2187132456
34 61.7192579037
38 38.3407122290
64 19.1228573798
115 18.4254027727
134 18.3418528226
139 11.2972122853
149 14.0659830858
evaluations raw_y
1 142.0492756721
2 62.2187132456
90 57.7690663834
93 52.1726413509
99 35.7622041621
105 27.3762252151
122 21.0124524678
149 51.5237841052
evaluations raw_y
1 142.0492756721
2 62.2187132456
59 42.1038181135
92 36.4221390860
115 36.0157754762
123 35.4849589010
133 30.9922991424
139 29.9144622826
143 29.1147940044
145 23.2942185205
149 29.7313932860
evaluations raw_y
1 142.0492756721
2 62.2187132456
54 52.4217627564
107 46.5394302892
130 44.3495804023
137 42.4175656022
