evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
44 215338.5330408449
48 209577.2619861814
53 49455.2152853788
64 9764.4939418401
77 3569.3697137652
87 1293.6169902925
123 761.4962767201
149 827.0989096215
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
53 172040.3051348632
62 131824.2581725442
65 64761.8922382017
83 55541.3320050734
85 44671.8166511664
93 28461.3614326500
122 28252.5547371239
125 27320.1706541591
135 26947.5589965194
142 26718.6501037429
146 26606.9085649602
148 26339.5141213182
149 25809.6195976956
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
38 297133.6930828935
52 251825.3992890242
65 138196.0285475306
66 58211.2231188581
69 38592.2005516311
98 33368.1116965132
103 31799.9664007847
109 29891.3800960175
113 27604.0573495560
114 25821.0289307159
120 23336.6383713932
128 21572.4051701329
132 19691.3659888231
149 20246.2858886208
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
24 322326.3263713341
26 238883.1239770696
30 145832.5005294924
54 138255.7867490482
69 137438.3206693744
74 21838.8573476898
96 17097.5213681849
104 16281.8071657288
106 10871.9739369601
117 9849.4928270447
118 8523.8787397835
122 6308.2652204854
130 5914.3552371918
149 8599.9823357493
evaluations raw_y
1 23174708.5763272457
2 6685776.5970951999
4 2457919.1829050668
7 326540.3585737348
53 105751.0023397522
56 74267.5406417988
68 57688.1948890666
72 40942.5463585753
86 29243.6498331387
91 5693.1733734249
132 4412.5647558248
149 5051.4520089632
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
27 36080.7857405217
56 3367.8508138396
85 3228.6149471272
88 749.0546097128
105 522.8598502506
114 336.5740574677
118 333.2241675968
120 227.1547873696
149 251.8203511008
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
20 43511.8121738160
52 19580.1018798743
58 11230.7602406779
68 6674.1823853109
78 6593.1811801751
101 6305.6879209785
103 5426.7601214380
109 4315.2061637094
116 4255.6694466445
147 4164.8162239151
148 4060.4212384533
149 4091.0842972798
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
3 4983643.6426414382
8 3720091.1477626329
11 789116.5894904899
12 110488.8000663173
30 84691.7218165615
64 51631.7157503693
86 44194.5164676624
95 41641.0357790110
108 41623.0813583477
110 41532.4260769296
117 40190.9019197660
119 39357.8830066170
121 38726.3079422432
127 38376.3004618625
130 38016.7281208654
140 35165.1665950199
143 32549.1307894357
144 31632.6479965424
149 25078.8883130495
evaluations raw_y
1 20357357.8514282331
2 9475582.4695359096
