evaluations raw_y
1 591.1225097986
2 507.1959454269
3 391.6498484534
4 383.9628181260
5 182.8354600585
14 120.1781037945
41 69.4005746981
74 60.9761734872
98 57.9325794896
106 50.5967688558
116 50.4690853293
127 46.8120533285
133 45.8081252417
134 45.5163512153
139 44.8775171181
146 43.9491768307
147 39.6951233512
149 43.3208040409
evaluations raw_y
1 591.1225097986
2 507.1959454269
3 391.6498484534
4 383.9628181260
5 182.8354600585
14 120.1781037945
72 116.5473486257
74 108.3426962763
76 97.2733632212
93 96.8288166635
104 94.5263055634
109 83.0831644519
124 77.7461360100
143 77.5642392273
146 76.4079657493
149 81.3631325013
evaluations raw_y
1 591.1225097986
2 507.1959454269
3 391.6498484534
4 383.9628181260
5 182.8354600585
14 120.1781037945
42 115.9569984054
57 110.7511623060
58 109.8765844499
59 79.3708468859
76 73.5101982840
90 72.4957102194
99 70.8542620593
104 62.0007377055
122 61.8283253368
136 60.1422240382
137 54.9545449523
141 50.3365986906
143 49.2022500069
146 46.5895083111
149 46.7142634290
evaluations raw_y
1 591.1225097986
2 507.1959454269
3 391.6498484534
4 383.9628181260
5 182.8354600585
14 120.1781037945
53 110.6431383566
54 99.8768468748
62 65.8522082523
126 62.5750577092
129 61.2759221886
130 58.9916242536
149 62.3321855428
evaluations raw_y
1 591.1225097986
2 507.1959454269
3 391.6498484534
4 383.9628181260
5 182.8354600585
14 120.1781037945
83 118.5289149125
108 116.9147673847
125 115.8239562151
126 114.0065433629
127 112.8646325920
128 112.5986454098
130 110.0212847008
135 108.8461313182
149 115.2088271689
evaluations raw_y
1 4211.8318629175
2 566.3099300337
5 451.6250572512
6 261.1589637585
24 192.7479710140
26 115.1872274000
44 105.6242960756
48 67.1110728604
65 66.3484061764
68 63.2885718553
84 19.5136989506
124 17.1343924052
135 15.6828479164
144 15.6574880349
149 15.6272864867
evaluations raw_y
1 4211.8318629175
2 566.3099300337
5 451.6250572512
6 261.1589637585
16 134.8214751905
20 60.6667310512
28 46.0095170614
81 37.1617051995
102 34.2525355708
107 30.6227328144
118 29.7384190198
125 28.5153871690
129 27.4702990800
143 27.4369082151
149 27.7214162663
evaluations raw_y
1 4211.8318629175
2 566.3099300337
5 451.6250572512
6 261.1589637585
40 257.5755020317
45 240.9162119819
48 160.0533280042
55 137.5545184386
68 102.7489814474
79 87.1539490473
90 62.5141471313
102 57.0863063292
126 54.4235085783
131 53.5261116282
137 53.5119744948
147 48.4044241558
149 52.3110648673
evaluations raw_y
1 4211.8318629175
2 566.3099300337
5 451.6250572512
6 261.1589637585
34 167.4464995004
37 163.3656611592
55 110.3711646760
58 59.5305550382
89 56.6924306514
91 55.5442109619
128 44.9516547354
129 41.4928629387
134 37.3213230412
