evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
20 23.5135789596
24 3.0988442629
28 -0.0000000000
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
30 62.5715766119
31 44.9762073172
34 35.8382427371
40 27.9459140314
47 22.3713825470
59 18.2421200155
61 16.1494633758
65 14.1779155908
84 12.3980064637
89 10.9334359822
90 10.0645615868
95 6.6279267981
98 2.8699611282
104 1.1050657540
107 -0.0000000000
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
23 41.1768474203
25 32.0414342111
27 27.2941839949
33 26.2327257457
36 15.9744870614
41 8.4436508494
75 6.1618374481
84 0.0657287466
87 -0.0000000000
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
27 56.0643664865
29 38.7608367275
30 22.5776028582
31 19.6429124926
32 15.2824234203
60 2.5558776292
62 -0.0000000000
evaluations raw_y
1 102.4339252017
3 89.1539061404
4 87.8709712202
8 65.6141450632
28 38.5480270698
29 35.4863999704
30 31.0873757148
31 17.8538947383
36 17.4321428209
39 13.2385765043
47 9.6672216963
53 -0.0000000000
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
18 29.5375909707
21 25.4252081817
23 13.6898287544
25 7.5082270399
26 2.1990147514
33 -0.0000000000
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
33 41.1322411389
34 28.2525597296
35 2.8933132607
43 -0.0000000000
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
20 40.7159974276
23 30.5434184727
24 29.8918821774
32 20.6254123361
34 16.1463733867
36 13.5596814864
39 6.7559729344
40 6.6560196020
49 -0.0000000000
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
23 40.6196575564
24 34.0941972952
25 29.1904172070
30 21.4409340874
32 19.3367375028
39 2.1922428898
49 -0.0000000000
evaluations raw_y
1 104.5388540496
7 63.9761679281
12 46.7930914752
24 4.8729047590
40 3.3332894031
45 1.7742300581
46 -0.0000000000
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
55 12.1719416785
57 9.5187400949
58 9.4801696400
75 -0.0000000000
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
30 33.8774696371
31 26.4284694502
33 17.3805527454
53 10.1633801680
54 5.4708044651
57 0.4896815694
58 -0.0000000000
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
26 29.9832291922
27 28.1780989456
29 22.5864224560
31 15.3344855415
38 3.4567792427
50 1.6105861577
62 -0.0000000000
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
32 20.4464177155
38 7.8905953679
45 1.9500443872
48 -0.0000000000
evaluations raw_y
1 156.0981922269
2 110.9416544851
3 103.4274139392
5 84.6210766345
6 76.2826575539
10 34.0861552002
26 20.9539267460
27 18.1691551564
32 11.4300001226
33 7.9677765260
46 2.5720706995
47 -0.0000000000
evaluations raw_y
1 152.6707823949
2 80.0287934532
5 69.5967433962
7 39.1821924253
21 31.2052711130
22 28.3828032808
35 27.6508692446
36 25.4289914814
41 12.4857359106
42 10.9418961214
48 1.9023857749
49 -0.0000000000
evaluations raw_y
1 152.6707823949
2 80.0287934532
5 69.5967433962
7 39.1821924253
26 29.1174891784
32 16.2307089109
33 15.1435668836
36 0.3260188018
50 -0.0000000000
evaluations raw_y
1 152.6707823949
2 80.0287934532
5 69.5967433962
7 39.1821924253
39 20.8054346379
40 20.8048644214
45 15.9284713268
46 13.8133120150
54 1.3305884902
59 -0.0000000000
evaluations raw_y
1 152.6707823949
2 80.0287934532
5 69.5967433962
7 39.1821924253
18 34.6384420119
19 33.5742477404
28 20.0971284100
29 10.3704393131
35 0.7796899008
39 -0.0000000000
evaluations raw_y
1 152.6707823949
